Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,Total Energy,Binding Energy,Ligand SASA
GPX_Bacillus,subtilis@GSH,0,1,0,0,-6471.03,-18.3836,0.535098
GPX_Bacillus,subtilis@GSH,0,1,1,1,-6493.23,-18.6593,0.534459
GPX_Bacillus,subtilis@GSH,0,2,0,0,-6465.13,-21.5285,0.511337
GPX_Bacillus,subtilis@GSH,0,2,1,1,-6487.97,-22.9414,0.510969
GPX_Bacillus,subtilis@GSH,0,3,0,0,-6471.97,-24.7932,0.524109
GPX_Bacillus,subtilis@GSH,0,3,1,1,-6497.54,-25.855,0.521416
GPX_Bacillus,subtilis@GSH,0,4,0,0,-6474.27,-15.8481,0.525426
GPX_Bacillus,subtilis@GSH,0,4,1,1,-6488.55,-13.1294,0.550191
GPX_Bacillus,subtilis@GSH,0,5,0,0,-6473.26,-18.8819,0.529943
GPX_Bacillus,subtilis@GSH,0,5,1,1,-6495.26,-18.9533,0.522574
GPX_Bacillus,subtilis@GSH,0,6,0,0,-6465.08,-11.1635,0.515111
GPX_Bacillus,subtilis@GSH,0,6,1,1,-6490.38,-13.4511,0.520319
GPX_Bacillus,subtilis@GSH,0,7,0,0,-6472.37,-15.1412,0.530728
GPX_Bacillus,subtilis@GSH,0,7,1,1,-6494.09,-17.2624,0.523673
GPX_Bacillus,subtilis@GSH,0,8,0,0,-6473.97,-22.7735,0.518028
GPX_Bacillus,subtilis@GSH,0,8,1,1,-6488.5,-17.3509,0.515107
GPX_Bacillus,subtilis@GSH,0,9,0,0,-6476.8,-21.3336,0.51841
GPX_Bacillus,subtilis@GSH,0,9,1,1,-6496.79,-16.9801,0.518178
GPX_Bacillus,subtilis@GSH,0,10,0,0,-6470.71,-13.9148,0.559976
GPX_Bacillus,subtilis@GSH,0,10,1,1,-6488.35,-13.7344,0.561452
GPX_Bacillus,subtilis@GSH,0,11,0,0,-6468.76,-14.3596,0.52492
GPX_Bacillus,subtilis@GSH,0,11,1,1,-6494.14,-15.4075,0.521997
GPX_Bacillus,subtilis@GSH,0,12,0,0,-6484.31,-22.6659,0.518699
GPX_Bacillus,subtilis@GSH,0,12,1,1,-6499.03,-19.9539,0.517586
GPX_Bacillus,subtilis@GSH,0,13,0,0,-6481.34,-25.1702,0.537728
GPX_Bacillus,subtilis@GSH,0,13,1,1,-6495.65,-13.6317,0.52556
GPX_Bacillus,subtilis@GSH,0,14,0,0,-6467.1,-15.3283,0.512718
GPX_Bacillus,subtilis@GSH,0,14,1,1,-6494.48,-15.9015,0.513675
GPX_Bacillus,subtilis@GSH,0,15,0,0,-6474.33,-15.1021,0.529042
GPX_Bacillus,subtilis@GSH,0,15,1,1,-6497.95,-13.8735,0.531813
GPX_Bacillus,subtilis@GSH,0,16,0,0,-6483.62,-20.6257,0.519488
GPX_Bacillus,subtilis@GSH,0,16,1,1,-6507.68,-20.6834,0.520262
GPX_Bacillus,subtilis@GSH,0,17,0,0,-6462.08,-17.8932,0.528704
GPX_Bacillus,subtilis@GSH,0,17,1,1,-6485.89,-20.9003,0.524899
GPX_Bacillus,subtilis@GSH,0,18,0,0,-6465.16,-11.4264,0.540416
