Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,Total Energy,Binding Energy,Ligand SASA
GPX_Gossypium,hirsutum@GSH,0,1,0,0,-6398.72,-20.6331,0.534198
GPX_Gossypium,hirsutum@GSH,0,1,1,1,-6418.62,-21.3376,0.532941
GPX_Gossypium,hirsutum@GSH,0,2,0,0,-6393.86,-14.1807,0.528245
GPX_Gossypium,hirsutum@GSH,0,2,1,1,-6415.56,-15.9,0.524814
GPX_Gossypium,hirsutum@GSH,0,3,0,0,-6396.17,-17.843,0.514596
GPX_Gossypium,hirsutum@GSH,0,3,1,1,-6418.29,-21.9743,0.512221
GPX_Gossypium,hirsutum@GSH,0,4,0,0,-6402.85,-20.4825,0.536377
GPX_Gossypium,hirsutum@GSH,0,4,1,1,-6425.53,-21.2514,0.533613
GPX_Gossypium,hirsutum@GSH,0,5,0,0,-6397.04,-14.5394,0.535412
GPX_Gossypium,hirsutum@GSH,0,5,1,1,-6422.19,-15.3984,0.529121
GPX_Gossypium,hirsutum@GSH,0,6,0,0,-6393.34,-16.7266,0.533079
GPX_Gossypium,hirsutum@GSH,0,6,1,1,-6418.26,-16.9385,0.535383
GPX_Gossypium,hirsutum@GSH,0,7,0,0,-6402.93,-14.4809,0.550178
GPX_Gossypium,hirsutum@GSH,0,7,1,1,-6424.1,-15.4914,0.54567
GPX_Gossypium,hirsutum@GSH,0,8,0,0,-6399.36,-21.0045,0.52645
GPX_Gossypium,hirsutum@GSH,0,8,1,1,-6418.38,-21.6203,0.524715
GPX_Gossypium,hirsutum@GSH,0,9,0,0,-6398.93,-18.6783,0.518935
GPX_Gossypium,hirsutum@GSH,0,9,1,1,-6417.38,-19.4618,0.513446
GPX_Gossypium,hirsutum@GSH,0,10,0,0,-6397.18,-21.5569,0.526046
GPX_Gossypium,hirsutum@GSH,0,10,1,1,-6416.16,-22.4954,0.518202
GPX_Gossypium,hirsutum@GSH,0,11,0,0,-6400.97,-20.5751,0.527435
GPX_Gossypium,hirsutum@GSH,0,11,1,1,-6418.46,-22.6717,0.521823
GPX_Gossypium,hirsutum@GSH,0,12,0,0,-6394.59,-23.7069,0.523548
GPX_Gossypium,hirsutum@GSH,0,12,1,1,-6416.78,-23.3616,0.523215
GPX_Gossypium,hirsutum@GSH,0,13,0,0,-6407.92,-20.6726,0.500995
GPX_Gossypium,hirsutum@GSH,0,13,1,1,-6428.6,-21.9518,0.501728
GPX_Gossypium,hirsutum@GSH,0,14,0,0,-6406.48,-20.258,0.522384
GPX_Gossypium,hirsutum@GSH,0,14,1,1,-6415.9,-15.7228,0.55305
GPX_Gossypium,hirsutum@GSH,0,15,0,0,-6405.17,-19.8245,0.537366
GPX_Gossypium,hirsutum@GSH,0,15,1,1,-6415.06,-22.4212,0.556548
GPX_Gossypium,hirsutum@GSH,0,16,0,0,-6400.11,-18.9769,0.532351
GPX_Gossypium,hirsutum@GSH,0,16,1,1,-6422.18,-16.802,0.525225
GPX_Gossypium,hirsutum@GSH,0,17,0,0,-6401.4,-16.1014,0.538844
GPX_Gossypium,hirsutum@GSH,0,17,1,1,-6419.61,-15.6381,0.541432
GPX_Gossypium,hirsutum@GSH,0,18,0,0,-6404.86,-20.9229,0.536909
GPX_Gossypium,hirsutum@GSH,0,18,1,1,-6427.21,-21.8024,0.534926
GPX_Gossypium,hirsutum@GSH,0,19,0,0,-6396.59,-15.9862,0.532483
GPX_Gossypium,hirsutum@GSH,0,19,1,1,-6416.09,-18.9092,0.518146
GPX_Gossypium,hirsutum@GSH,0,20,0,0,-6398.92,-21.1379,0.524704
GPX_Gossypium,hirsutum@GSH,0,20,1,1,-6420.43,-22.0464,0.526564
GPX_Gossypium,hirsutum@GSH,0,21,0,0,-6401.06,-22.9108,0.531341
GPX_Gossypium,hirsutum@GSH,0,21,1,1,-6423.26,-23.4399,0.52892
GPX_Gossypium,hirsutum@GSH,0,22,0,0,-6399.86,-21.7572,0.527379
GPX_Gossypium,hirsutum@GSH,0,22,1,1,-6414.48,-22.8753,0.525182
GPX_Gossypium,hirsutum@GSH,0,23,0,0,-6395.82,-21.4861,0.52591
GPX_Gossypium,hirsutum@GSH,0,24,0,0,-6402.6,-20.1638,0.533693
GPX_Gossypium,hirsutum@GSH,0,24,1,1,-6426.31,-20.9216,0.52836
GPX_Gossypium,hirsutum@GSH,0,25,0,0,-6404.16,-18.5439,0.547365
GPX_Gossypium,hirsutum@GSH,0,25,1,1,-6426.81,-21.447,0.536234
GPX_Gossypium,hirsutum@GSH,0,26,0,0,-6389.98,-16.1311,0.519311
GPX_Gossypium,hirsutum@GSH,0,26,1,1,-6410.07,-16.3184,0.518039
GPX_Gossypium,hirsutum@GSH,0,27,0,0,-6402.68,-23.0604,0.512368
GPX_Gossypium,hirsutum@GSH,0,27,1,1,-6421.15,-22.1009,0.519617
GPX_Gossypium,hirsutum@GSH,0,28,0,0,-6400.09,-14.9047,0.533796
GPX_Gossypium,hirsutum@GSH,0,28,1,1,-6408.2,-11.101,0.530588
GPX_Gossypium,hirsutum@GSH,0,29,0,0,-6400.62,-20.1315,0.531404
GPX_Gossypium,hirsutum@GSH,0,29,1,1,-6420.42,-19.501,0.533948
GPX_Gossypium,hirsutum@GSH,0,30,0,0,-6408.49,-23.3527,0.504561
GPX_Gossypium,hirsutum@GSH,0,30,1,1,-6429.61,-24.2316,0.501949
GPX_Gossypium,hirsutum@GSH,0,31,0,0,-6390.81,-16.1179,0.519364
GPX_Gossypium,hirsutum@GSH,0,31,1,1,-6415.28,-16.6564,0.519661
GPX_Gossypium,hirsutum@GSH,0,32,0,0,-6407.0,-29.5458,0.504378
GPX_Gossypium,hirsutum@GSH,0,32,1,1,-6428.66,-30.0106,0.499889
GPX_Gossypium,hirsutum@GSH,0,33,0,0,-6395.17,-16.2042,0.521202
GPX_Gossypium,hirsutum@GSH,0,33,1,1,-6416.68,-17.7718,0.514773
GPX_Gossypium,hirsutum@GSH,0,34,0,0,-6398.4,-14.4319,0.541406
GPX_Gossypium,hirsutum@GSH,0,34,1,1,-6421.93,-15.9517,0.542032
GPX_Gossypium,hirsutum@GSH,0,35,0,0,-6397.75,-8.33621,0.545749
GPX_Gossypium,hirsutum@GSH,0,35,1,1,-6418.86,-8.49462,0.543244
GPX_Gossypium,hirsutum@GSH,0,36,0,0,-6398.52,-18.191,0.51239
GPX_Gossypium,hirsutum@GSH,0,36,1,1,-6422.8,-19.1232,0.508897
GPX_Gossypium,hirsutum@GSH,0,37,0,0,-6405.47,-21.2263,0.528974
GPX_Gossypium,hirsutum@GSH,0,37,1,1,-6427.93,-21.559,0.526434
GPX_Gossypium,hirsutum@GSH,0,38,0,0,-6397.09,-20.9464,0.519499
GPX_Gossypium,hirsutum@GSH,0,38,1,1,-6419.82,-21.8416,0.515653
GPX_Gossypium,hirsutum@GSH,0,39,0,0,-6399.63,-17.1819,0.527632
GPX_Gossypium,hirsutum@GSH,0,39,1,1,-6426.69,-17.3695,0.537495
GPX_Gossypium,hirsutum@GSH,0,40,0,0,-6407.26,-21.3323,0.535692
GPX_Gossypium,hirsutum@GSH,0,40,1,1,-6427.7,-20.5999,0.533689
GPX_Gossypium,hirsutum@GSH,0,41,0,0,-6403.5,-20.4618,0.53766
GPX_Gossypium,hirsutum@GSH,0,41,1,1,-6421.73,-21.1301,0.53513
GPX_Gossypium,hirsutum@GSH,0,42,0,0,-6402.11,-21.967,0.530239
GPX_Gossypium,hirsutum@GSH,0,42,1,1,-6420.4,-22.6409,0.5286
GPX_Gossypium,hirsutum@GSH,0,43,0,0,-6402.97,-18.8792,0.534568
GPX_Gossypium,hirsutum@GSH,0,44,0,0,-6411.26,-23.3355,0.509052
GPX_Gossypium,hirsutum@GSH,0,44,1,1,-6437.19,-24.0792,0.509516
GPX_Gossypium,hirsutum@GSH,0,45,0,0,-6401.7,-19.9876,0.532443
GPX_Gossypium,hirsutum@GSH,0,45,1,1,-6423.59,-20.4734,0.526767
GPX_Gossypium,hirsutum@GSH,0,46,0,0,-6408.75,-22.3325,0.512543
GPX_Gossypium,hirsutum@GSH,0,46,1,1,-6415.0,-14.4943,0.492037
GPX_Gossypium,hirsutum@GSH,0,47,0,0,-6404.44,-20.0672,0.526136
GPX_Gossypium,hirsutum@GSH,0,47,1,1,-6428.05,-21.2694,0.530774
GPX_Gossypium,hirsutum@GSH,0,48,0,0,-6401.94,-20.1555,0.535344
GPX_Gossypium,hirsutum@GSH,0,48,1,1,-6427.21,-20.8942,0.536044
GPX_Gossypium,hirsutum@GSH,0,49,0,0,-6398.89,-19.7035,0.534691
GPX_Gossypium,hirsutum@GSH,0,49,1,1,-6420.8,-20.9394,0.530924
GPX_Gossypium,hirsutum@GSH,0,50,0,0,-6395.47,-18.7267,0.538751
GPX_Gossypium,hirsutum@GSH,0,50,1,1,-6415.89,-21.4532,0.532035
GPX_Gossypium,hirsutum@GSH,0,51,0,0,-6407.56,-23.2862,0.514092
GPX_Gossypium,hirsutum@GSH,0,51,1,1,-6429.37,-23.9797,0.511397
GPX_Gossypium,hirsutum@GSH,0,52,0,0,-6394.35,-15.6929,0.536067
GPX_Gossypium,hirsutum@GSH,0,52,1,1,-6417.34,-16.4185,0.528474
GPX_Gossypium,hirsutum@GSH,0,53,0,0,-6405.95,-17.7902,0.524072
GPX_Gossypium,hirsutum@GSH,0,53,1,1,-6423.64,-18.4977,0.520894
GPX_Gossypium,hirsutum@GSH,0,54,0,0,-6399.69,-20.3263,0.539033
GPX_Gossypium,hirsutum@GSH,0,54,1,1,-6414.02,-16.3895,0.531242
GPX_Gossypium,hirsutum@GSH,0,55,0,0,-6402.39,-24.2911,0.512138
GPX_Gossypium,hirsutum@GSH,0,55,1,1,-6429.35,-24.0301,0.506586
GPX_Gossypium,hirsutum@GSH,0,56,0,0,-6404.73,-13.9169,0.543678
GPX_Gossypium,hirsutum@GSH,0,56,1,1,-6430.32,-15.1285,0.542661
GPX_Gossypium,hirsutum@GSH,0,57,0,0,-6399.94,-15.4846,0.541607
GPX_Gossypium,hirsutum@GSH,0,57,1,1,-6424.93,-16.1991,0.540657
GPX_Gossypium,hirsutum@GSH,0,58,0,0,-6406.24,-28.7959,0.502307
GPX_Gossypium,hirsutum@GSH,0,58,1,1,-6421.08,-31.9862,0.493006
GPX_Gossypium,hirsutum@GSH,0,59,0,0,-6396.14,-14.8358,0.528043
GPX_Gossypium,hirsutum@GSH,0,59,1,1,-6407.93,-11.7991,0.518267
GPX_Gossypium,hirsutum@GSH,0,60,0,0,-6400.3,-16.7078,0.524779
GPX_Gossypium,hirsutum@GSH,0,60,1,1,-6413.03,-12.4332,0.521129
GPX_Gossypium,hirsutum@GSH,0,61,0,0,-6402.1,-20.8898,0.525095
GPX_Gossypium,hirsutum@GSH,0,61,1,1,-6421.03,-21.8845,0.519487
GPX_Gossypium,hirsutum@GSH,0,62,0,0,-6404.5,-7.85901,0.557444
GPX_Gossypium,hirsutum@GSH,0,62,1,1,-6426.83,-9.29837,0.551667
GPX_Gossypium,hirsutum@GSH,0,63,0,0,-6395.76,-15.3388,0.534304
GPX_Gossypium,hirsutum@GSH,0,63,1,1,-6418.02,-16.0393,0.534326
GPX_Gossypium,hirsutum@GSH,0,64,0,0,-6395.11,-11.4433,0.519178
GPX_Gossypium,hirsutum@GSH,0,64,1,1,-6417.82,-11.3901,0.517653
GPX_Gossypium,hirsutum@GSH,0,65,0,0,-6400.3,-27.4136,0.508226
GPX_Gossypium,hirsutum@GSH,0,65,1,1,-6420.79,-28.8466,0.50666
GPX_Gossypium,hirsutum@GSH,0,66,0,0,-6399.57,-16.7377,0.537498
GPX_Gossypium,hirsutum@GSH,0,66,1,1,-6422.99,-18.6562,0.539099
GPX_Gossypium,hirsutum@GSH,0,67,0,0,-6409.56,-28.0561,0.510292
GPX_Gossypium,hirsutum@GSH,0,67,1,1,-6427.89,-28.4718,0.506388
GPX_Gossypium,hirsutum@GSH,0,68,0,0,-6401.51,-21.245,0.529991
GPX_Gossypium,hirsutum@GSH,0,68,1,1,-6415.67,-17.9687,0.5312
GPX_Gossypium,hirsutum@GSH,0,69,0,0,-6399.72,-21.4492,0.49749
GPX_Gossypium,hirsutum@GSH,0,69,1,1,-6423.09,-23.8927,0.494487
GPX_Gossypium,hirsutum@GSH,0,70,0,0,-6409.43,-24.3809,0.502709
GPX_Gossypium,hirsutum@GSH,0,70,1,1,-6432.31,-24.2732,0.503599
GPX_Gossypium,hirsutum@GSH,0,71,0,0,-6400.58,-16.6762,0.538893
GPX_Gossypium,hirsutum@GSH,0,71,1,1,-6418.17,-16.9384,0.543853
GPX_Gossypium,hirsutum@GSH,0,72,0,0,-6399.1,-22.6951,0.526179
GPX_Gossypium,hirsutum@GSH,0,72,1,1,-6407.15,-16.3007,0.51154
GPX_Gossypium,hirsutum@GSH,0,73,0,0,-6401.99,-18.8726,0.528432
GPX_Gossypium,hirsutum@GSH,0,73,1,1,-6423.55,-20.0699,0.523642
GPX_Gossypium,hirsutum@GSH,0,74,0,0,-6402.39,-21.3657,0.528889
GPX_Gossypium,hirsutum@GSH,0,74,1,1,-6424.58,-21.9566,0.525621
GPX_Gossypium,hirsutum@GSH,0,75,0,0,-6395.16,-19.2906,0.52169
GPX_Gossypium,hirsutum@GSH,0,75,1,1,-6418.84,-20.0757,0.526199
GPX_Gossypium,hirsutum@GSH,0,76,0,0,-6398.82,-20.3682,0.527713
GPX_Gossypium,hirsutum@GSH,0,76,1,1,-6422.86,-21.7574,0.524395
GPX_Gossypium,hirsutum@GSH,0,77,0,0,-6408.1,-23.916,0.505796
GPX_Gossypium,hirsutum@GSH,0,77,1,1,-6429.89,-25.3233,0.501338
GPX_Gossypium,hirsutum@GSH,0,78,0,0,-6403.22,-29.2674,0.498431
GPX_Gossypium,hirsutum@GSH,0,78,1,1,-6424.78,-29.9393,0.495848
GPX_Gossypium,hirsutum@GSH,0,79,0,0,-6399.86,-19.4981,0.540152
GPX_Gossypium,hirsutum@GSH,0,79,1,1,-6422.81,-20.5072,0.538804
GPX_Gossypium,hirsutum@GSH,0,80,0,0,-6396.1,-20.4423,0.527504
GPX_Gossypium,hirsutum@GSH,0,80,1,1,-6418.52,-21.131,0.520162
GPX_Gossypium,hirsutum@GSH,0,81,0,0,-6403.97,-15.9699,0.538271
GPX_Gossypium,hirsutum@GSH,0,82,0,0,-6408.83,-21.7485,0.53736
GPX_Gossypium,hirsutum@GSH,0,82,1,1,-6432.81,-21.2087,0.535904
GPX_Gossypium,hirsutum@GSH,0,83,0,0,-6403.9,-24.3584,0.503728
GPX_Gossypium,hirsutum@GSH,0,83,1,1,-6426.58,-23.5197,0.503141
GPX_Gossypium,hirsutum@GSH,0,84,0,0,-6397.32,-23.0189,0.531244
GPX_Gossypium,hirsutum@GSH,0,84,1,1,-6420.94,-23.0317,0.52858
GPX_Gossypium,hirsutum@GSH,0,85,0,0,-6388.8,-11.2994,0.541475
GPX_Gossypium,hirsutum@GSH,0,85,1,1,-6412.52,-11.881,0.537409
GPX_Gossypium,hirsutum@GSH,0,86,0,0,-6400.09,-15.2066,0.534908
GPX_Gossypium,hirsutum@GSH,0,86,1,1,-6422.04,-16.0766,0.528738
GPX_Gossypium,hirsutum@GSH,0,87,0,0,-6405.52,-21.7358,0.534456
GPX_Gossypium,hirsutum@GSH,0,87,1,1,-6427.52,-23.7391,0.530133
GPX_Gossypium,hirsutum@GSH,0,88,0,0,-6407.26,-26.12,0.511326
GPX_Gossypium,hirsutum@GSH,0,88,1,1,-6430.44,-26.6731,0.508266
GPX_Gossypium,hirsutum@GSH,0,89,0,0,-6397.08,-23.6764,0.511969
GPX_Gossypium,hirsutum@GSH,0,89,1,1,-6418.52,-28.0583,0.482188
GPX_Gossypium,hirsutum@GSH,0,90,0,0,-6400.3,-22.463,0.510638
GPX_Gossypium,hirsutum@GSH,0,90,1,1,-6420.02,-21.518,0.509731
GPX_Gossypium,hirsutum@GSH,0,91,0,0,-6402.48,-27.8653,0.490387
GPX_Gossypium,hirsutum@GSH,0,91,1,1,-6425.05,-29.5613,0.496237
GPX_Gossypium,hirsutum@GSH,0,92,0,0,-6403.23,-15.3323,0.531818
GPX_Gossypium,hirsutum@GSH,0,92,1,1,-6419.07,-12.6188,0.531845
GPX_Gossypium,hirsutum@GSH,0,93,0,0,-6399.59,-29.264,0.496156
GPX_Gossypium,hirsutum@GSH,0,93,1,1,-6420.89,-27.8113,0.495925
GPX_Gossypium,hirsutum@GSH,0,94,0,0,-6406.84,-21.4605,0.532993
