Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,Total Energy,Binding Energy,Ligand SASA
GPX_Lactococcus,lactis@GSH,0,1,0,0,-6441.76,-20.7199,0.412619
GPX_Lactococcus,lactis@GSH,0,1,1,1,-6455.78,-20.5196,0.418756
GPX_Lactococcus,lactis@GSH,0,2,0,0,-6442.15,-16.8514,0.399268
GPX_Lactococcus,lactis@GSH,0,2,1,1,-6462.06,-18.344,0.417577
GPX_Lactococcus,lactis@GSH,0,3,0,0,-6442.7,-18.742,0.406963
GPX_Lactococcus,lactis@GSH,0,3,1,1,-6461.51,-18.9715,0.39882
GPX_Lactococcus,lactis@GSH,0,4,0,0,-6436.91,-16.4549,0.425737
GPX_Lactococcus,lactis@GSH,0,4,1,1,-6440.1,-10.3523,0.402108
GPX_Lactococcus,lactis@GSH,0,5,0,0,-6431.44,-25.753,0.418428
GPX_Lactococcus,lactis@GSH,0,5,1,1,-6448.17,-26.794,0.409455
GPX_Lactococcus,lactis@GSH,0,6,0,0,-6446.7,-18.0504,0.413326
GPX_Lactococcus,lactis@GSH,0,6,1,1,-6468.88,-19.1291,0.414259
GPX_Lactococcus,lactis@GSH,0,7,0,0,-6436.69,-16.5193,0.43964
GPX_Lactococcus,lactis@GSH,0,7,1,1,-6458.67,-17.7349,0.451015
GPX_Lactococcus,lactis@GSH,0,8,0,0,-6441.02,-14.1472,0.430452
GPX_Lactococcus,lactis@GSH,0,8,1,1,-6461.24,-13.1094,0.426828
GPX_Lactococcus,lactis@GSH,0,9,0,0,-6445.83,-16.7606,0.410414
GPX_Lactococcus,lactis@GSH,0,9,1,1,-6467.8,-18.3791,0.401632
GPX_Lactococcus,lactis@GSH,0,10,0,0,-6448.92,-19.6357,0.392672
GPX_Lactococcus,lactis@GSH,0,10,1,1,-6467.5,-19.3112,0.417524
GPX_Lactococcus,lactis@GSH,0,11,0,0,-6440.27,-25.8202,0.41289
GPX_Lactococcus,lactis@GSH,0,11,1,1,-6457.18,-26.6223,0.408654
GPX_Lactococcus,lactis@GSH,0,12,0,0,-6439.17,-18.1767,0.396625
GPX_Lactococcus,lactis@GSH,0,12,1,1,-6447.19,-16.9091,0.386491
GPX_Lactococcus,lactis@GSH,0,13,0,0,-6437.28,-16.126,0.407645
GPX_Lactococcus,lactis@GSH,0,13,1,1,-6464.56,-17.8543,0.413576
GPX_Lactococcus,lactis@GSH,0,14,0,0,-6436.09,-15.6667,0.436461
GPX_Lactococcus,lactis@GSH,0,14,1,1,-6464.47,-20.6572,0.405597
GPX_Lactococcus,lactis@GSH,0,15,0,0,-6440.2,-16.7423,0.412836
GPX_Lactococcus,lactis@GSH,0,15,1,1,-6457.03,-17.6809,0.406835
GPX_Lactococcus,lactis@GSH,0,16,0,0,-6437.11,-14.026,0.411568
GPX_Lactococcus,lactis@GSH,0,17,0,0,-6447.8,-17.6224,0.41374
GPX_Lactococcus,lactis@GSH,0,17,1,1,-6450.68,-15.9856,0.387438
GPX_Lactococcus,lactis@GSH,0,18,0,0,-6442.24,-25.7396,0.411039
GPX_Lactococcus,lactis@GSH,0,18,1,1,-6463.86,-25.692,0.409153
GPX_Lactococcus,lactis@GSH,0,19,0,0,-6439.84,-17.2303,0.395281
GPX_Lactococcus,lactis@GSH,0,19,1,1,-6460.72,-17.5866,0.404067
GPX_Lactococcus,lactis@GSH,0,20,0,0,-6441.98,-19.3313,0.413356
GPX_Lactococcus,lactis@GSH,0,20,1,1,-6459.56,-18.7635,0.405387
GPX_Lactococcus,lactis@GSH,0,21,0,0,-6428.33,-23.2093,0.416625
GPX_Lactococcus,lactis@GSH,0,22,0,0,-6436.81,-26.6514,0.409677
GPX_Lactococcus,lactis@GSH,0,22,1,1,-6447.19,-25.1736,0.407559
GPX_Lactococcus,lactis@GSH,0,23,0,0,-6452.36,-20.002,0.412025
GPX_Lactococcus,lactis@GSH,0,23,1,1,-6471.76,-19.4809,0.410477
GPX_Lactococcus,lactis@GSH,0,24,0,0,-6429.06,-14.793,0.425187
GPX_Lactococcus,lactis@GSH,0,24,1,1,-6444.01,-12.8671,0.412123
GPX_Lactococcus,lactis@GSH,0,25,0,0,-6443.28,-17.3894,0.41043
GPX_Lactococcus,lactis@GSH,0,25,1,1,-6461.6,-19.23,0.402889
GPX_Lactococcus,lactis@GSH,0,26,0,0,-6452.99,-19.1287,0.401489
GPX_Lactococcus,lactis@GSH,0,27,0,0,-6445.04,-17.3081,0.399518
GPX_Lactococcus,lactis@GSH,0,27,1,1,-6468.79,-18.3045,0.401972
GPX_Lactococcus,lactis@GSH,0,28,0,0,-6442.76,-21.195,0.419821
GPX_Lactococcus,lactis@GSH,0,28,1,1,-6456.27,-20.1546,0.41037
GPX_Lactococcus,lactis@GSH,0,29,0,0,-6440.69,-17.3268,0.428106
GPX_Lactococcus,lactis@GSH,0,29,1,1,-6441.12,-23.0843,0.401101
GPX_Lactococcus,lactis@GSH,0,30,0,0,-6428.41,-22.1625,0.408918
GPX_Lactococcus,lactis@GSH,0,31,0,0,-6441.66,-10.9786,0.404427
GPX_Lactococcus,lactis@GSH,0,31,1,1,-6449.97,-14.7979,0.38021
GPX_Lactococcus,lactis@GSH,0,32,0,0,-6435.42,-23.936,0.411941
GPX_Lactococcus,lactis@GSH,0,32,1,1,-6460.67,-24.0941,0.412349
GPX_Lactococcus,lactis@GSH,0,33,0,0,-6442.48,-10.6124,0.411287
GPX_Lactococcus,lactis@GSH,0,33,1,1,-6462.06,-10.4425,0.409829
GPX_Lactococcus,lactis@GSH,0,34,0,0,-6442.72,-20.7643,0.406917
GPX_Lactococcus,lactis@GSH,0,34,1,1,-6465.4,-19.5115,0.407092
GPX_Lactococcus,lactis@GSH,0,35,0,0,-6434.03,-20.3774,0.426558
GPX_Lactococcus,lactis@GSH,0,35,1,1,-6456.84,-20.2263,0.431227
GPX_Lactococcus,lactis@GSH,0,36,0,0,-6441.69,-19.9607,0.410242
GPX_Lactococcus,lactis@GSH,0,36,1,1,-6460.87,-19.9401,0.414539
GPX_Lactococcus,lactis@GSH,0,37,0,0,-6443.52,-17.0825,0.416365
GPX_Lactococcus,lactis@GSH,0,37,1,1,-6466.27,-17.6388,0.417759
GPX_Lactococcus,lactis@GSH,0,38,0,0,-6445.97,-19.089,0.407043
GPX_Lactococcus,lactis@GSH,0,38,1,1,-6465.31,-18.5598,0.411766
GPX_Lactococcus,lactis@GSH,0,39,0,0,-6440.01,-19.8522,0.426088
GPX_Lactococcus,lactis@GSH,0,39,1,1,-6460.79,-19.6987,0.410986
GPX_Lactococcus,lactis@GSH,0,40,0,0,-6436.59,-20.4384,0.436062
GPX_Lactococcus,lactis@GSH,0,40,1,1,-6456.91,-20.9521,0.43628
GPX_Lactococcus,lactis@GSH,0,41,0,0,-6439.5,-23.1115,0.404097
GPX_Lactococcus,lactis@GSH,0,41,1,1,-6462.34,-23.3379,0.404951
GPX_Lactococcus,lactis@GSH,0,42,0,0,-6429.91,-12.1007,0.421455
GPX_Lactococcus,lactis@GSH,0,42,1,1,-6456.79,-15.7983,0.413012
GPX_Lactococcus,lactis@GSH,0,43,0,0,-6440.05,-20.4488,0.43494
GPX_Lactococcus,lactis@GSH,0,44,0,0,-6441.57,-19.8631,0.405528
GPX_Lactococcus,lactis@GSH,0,44,1,1,-6466.64,-19.6029,0.40838
GPX_Lactococcus,lactis@GSH,0,45,0,0,-6440.45,-19.3859,0.414197
