Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,Total Energy,Binding Energy,Ligand SASA
GPX_Neisseria,meningitidis@GSH,0,1,0,0,-7160.38,-8.76249,0.312283
GPX_Neisseria,meningitidis@GSH,0,1,1,1,-7183.57,-12.4061,0.305343
GPX_Neisseria,meningitidis@GSH,0,2,0,0,-7162.92,-13.7162,0.289547
GPX_Neisseria,meningitidis@GSH,0,2,1,1,-7176.94,-12.0718,0.287253
GPX_Neisseria,meningitidis@GSH,0,3,0,0,-7158.21,-12.9806,0.288916
GPX_Neisseria,meningitidis@GSH,0,3,1,1,-7183.02,-12.0662,0.29146
GPX_Neisseria,meningitidis@GSH,0,4,0,0,-7155.39,-11.0715,0.330131
GPX_Neisseria,meningitidis@GSH,0,4,1,1,-7188.03,-13.9031,0.323207
GPX_Neisseria,meningitidis@GSH,0,5,0,0,-7157.62,-14.6809,0.314062
GPX_Neisseria,meningitidis@GSH,0,5,1,1,-7176.95,-14.3307,0.31575
GPX_Neisseria,meningitidis@GSH,0,6,0,0,-7151.76,-12.1899,0.281304
GPX_Neisseria,meningitidis@GSH,0,6,1,1,-7173.22,-13.1262,0.278509
GPX_Neisseria,meningitidis@GSH,0,7,0,0,-7151.4,-14.8852,0.287019
GPX_Neisseria,meningitidis@GSH,0,7,1,1,-7175.98,-16.6591,0.294425
GPX_Neisseria,meningitidis@GSH,0,8,0,0,-7159.82,-14.4624,0.308364
GPX_Neisseria,meningitidis@GSH,0,8,1,1,-7182.02,-14.1156,0.309058
GPX_Neisseria,meningitidis@GSH,0,9,0,0,-7158.99,-13.1316,0.324973
GPX_Neisseria,meningitidis@GSH,0,9,1,1,-7183.37,-13.0795,0.326409
GPX_Neisseria,meningitidis@GSH,0,10,0,0,-7164.67,-14.2887,0.296872
GPX_Neisseria,meningitidis@GSH,0,10,1,1,-7187.23,-14.1022,0.284638
GPX_Neisseria,meningitidis@GSH,0,11,0,0,-7168.45,-11.8012,0.302068
GPX_Neisseria,meningitidis@GSH,0,11,1,1,-7195.17,-11.3709,0.3063
GPX_Neisseria,meningitidis@GSH,0,12,0,0,-7158.13,-15.3708,0.297149
GPX_Neisseria,meningitidis@GSH,0,12,1,1,-7182.59,-13.8687,0.299168
GPX_Neisseria,meningitidis@GSH,0,13,0,0,-7159.78,-16.6088,0.28979
GPX_Neisseria,meningitidis@GSH,0,13,1,1,-7169.45,-16.7014,0.298804
GPX_Neisseria,meningitidis@GSH,0,14,0,0,-7160.58,-13.5909,0.289478
GPX_Neisseria,meningitidis@GSH,0,15,0,0,-7159.44,-14.1962,0.29665
GPX_Neisseria,meningitidis@GSH,0,15,1,1,-7180.61,-14.8876,0.287206
GPX_Neisseria,meningitidis@GSH,0,16,0,0,-7157.65,-14.429,0.309823
GPX_Neisseria,meningitidis@GSH,0,16,1,1,-7173.67,-13.6224,0.303605
GPX_Neisseria,meningitidis@GSH,0,17,0,0,-7158.15,-13.2966,0.299069
GPX_Neisseria,meningitidis@GSH,0,17,1,1,-7169.16,-14.5539,0.290417
GPX_Neisseria,meningitidis@GSH,0,18,0,0,-7162.74,-14.0978,0.312021
GPX_Neisseria,meningitidis@GSH,0,18,1,1,-7184.88,-12.5232,0.309644
GPX_Neisseria,meningitidis@GSH,0,19,0,0,-7157.59,-11.586,0.343059
GPX_Neisseria,meningitidis@GSH,0,19,1,1,-7178.73,-11.1615,0.330883
GPX_Neisseria,meningitidis@GSH,0,20,0,0,-7159.89,-13.9509,0.301481
GPX_Neisseria,meningitidis@GSH,0,20,1,1,-7183.49,-15.1771,0.292027
GPX_Neisseria,meningitidis@GSH,0,21,0,0,-7158.29,-9.96399,0.374274
GPX_Neisseria,meningitidis@GSH,0,21,1,1,-7182.69,-11.923,0.361708
GPX_Neisseria,meningitidis@GSH,0,22,0,0,-7162.08,-12.507,0.304809
GPX_Neisseria,meningitidis@GSH,0,22,1,1,-7186.07,-14.2782,0.307623
GPX_Neisseria,meningitidis@GSH,0,23,0,0,-7161.07,-12.7548,0.309331
GPX_Neisseria,meningitidis@GSH,0,23,1,1,-7173.6,-8.4374,0.309026
GPX_Neisseria,meningitidis@GSH,0,24,0,0,-7151.47,-14.9483,0.307749
GPX_Neisseria,meningitidis@GSH,0,24,1,1,-7165.49,-12.7383,0.318879
GPX_Neisseria,meningitidis@GSH,0,25,0,0,-7154.44,-12.3638,0.350352
GPX_Neisseria,meningitidis@GSH,0,25,1,1,-7180.3,-12.0089,0.349287
GPX_Neisseria,meningitidis@GSH,0,26,0,0,-7159.21,-10.5422,0.288292
GPX_Neisseria,meningitidis@GSH,0,26,1,1,-7180.14,-12.0786,0.287558
GPX_Neisseria,meningitidis@GSH,0,27,0,0,-7151.96,-12.5574,0.361384
GPX_Neisseria,meningitidis@GSH,0,27,1,1,-7174.15,-11.3192,0.35307
GPX_Neisseria,meningitidis@GSH,0,28,0,0,-7159.29,-12.8848,0.34712
GPX_Neisseria,meningitidis@GSH,0,28,1,1,-7181.42,-13.9532,0.333507
GPX_Neisseria,meningitidis@GSH,0,29,0,0,-7150.55,-13.3714,0.331533
GPX_Neisseria,meningitidis@GSH,0,29,1,1,-7166.03,-12.5077,0.332125
GPX_Neisseria,meningitidis@GSH,0,30,0,0,-7159.15,-14.9363,0.295343
GPX_Neisseria,meningitidis@GSH,0,30,1,1,-7183.48,-15.9905,0.286871
GPX_Neisseria,meningitidis@GSH,0,31,0,0,-7156.85,-9.19104,0.333401
GPX_Neisseria,meningitidis@GSH,0,31,1,1,-7184.82,-11.2684,0.351168
GPX_Neisseria,meningitidis@GSH,0,32,0,0,-7159.22,-18.8085,0.304934
GPX_Neisseria,meningitidis@GSH,0,32,1,1,-7177.43,-14.6092,0.304487
GPX_Neisseria,meningitidis@GSH,0,33,0,0,-7166.96,-13.1223,0.310989
GPX_Neisseria,meningitidis@GSH,0,33,1,1,-7194.1,-14.0531,0.307616
GPX_Neisseria,meningitidis@GSH,0,34,0,0,-7152.14,-11.0406,0.327556
GPX_Neisseria,meningitidis@GSH,0,34,1,1,-7172.25,-9.53,0.321679
GPX_Neisseria,meningitidis@GSH,0,35,0,0,-7157.96,-8.41739,0.308824
GPX_Neisseria,meningitidis@GSH,0,35,1,1,-7186.95,-8.91054,0.310108
GPX_Neisseria,meningitidis@GSH,0,36,0,0,-7158.47,-16.4305,0.294882
GPX_Neisseria,meningitidis@GSH,0,36,1,1,-7179.94,-15.7213,0.291944
GPX_Neisseria,meningitidis@GSH,0,37,0,0,-7145.9,-9.85656,0.312597
GPX_Neisseria,meningitidis@GSH,0,37,1,1,-7179.78,-14.34,0.303315
GPX_Neisseria,meningitidis@GSH,0,38,0,0,-7157.69,-11.3001,0.309679
GPX_Neisseria,meningitidis@GSH,0,38,1,1,-7179.26,-10.6894,0.29969
GPX_Neisseria,meningitidis@GSH,0,39,0,0,-7157.52,-13.996,0.268652
GPX_Neisseria,meningitidis@GSH,0,39,1,1,-7177.47,-14.3141,0.269387
GPX_Neisseria,meningitidis@GSH,0,40,0,0,-7153.79,-9.43808,0.326007
GPX_Neisseria,meningitidis@GSH,0,40,1,1,-7176.74,-8.74624,0.31922
GPX_Neisseria,meningitidis@GSH,0,41,0,0,-7157.03,-14.3941,0.287865
GPX_Neisseria,meningitidis@GSH,0,41,1,1,-7177.33,-10.6652,0.28631
GPX_Neisseria,meningitidis@GSH,0,42,0,0,-7163.91,-8.49021,0.333351
GPX_Neisseria,meningitidis@GSH,0,42,1,1,-7189.02,-8.97348,0.336671
GPX_Neisseria,meningitidis@GSH,0,43,0,0,-7165.6,-14.0506,0.290207
GPX_Neisseria,meningitidis@GSH,0,43,1,1,-7190.32,-14.2507,0.29583
GPX_Neisseria,meningitidis@GSH,0,44,0,0,-7158.16,-6.53196,0.34283
GPX_Neisseria,meningitidis@GSH,0,44,1,1,-7188.15,-10.6174,0.36346
GPX_Neisseria,meningitidis@GSH,0,45,0,0,-7167.11,-13.32,0.314023
GPX_Neisseria,meningitidis@GSH,0,45,1,1,-7182.31,-11.5957,0.319271
GPX_Neisseria,meningitidis@GSH,0,46,0,0,-7173.9,-13.5695,0.33064
GPX_Neisseria,meningitidis@GSH,0,46,1,1,-7190.39,-12.5664,0.308488
GPX_Neisseria,meningitidis@GSH,0,47,0,0,-7147.19,-6.75522,0.331378
GPX_Neisseria,meningitidis@GSH,0,47,1,1,-7164.4,-8.42745,0.331889
GPX_Neisseria,meningitidis@GSH,0,48,0,0,-7165.65,-12.4503,0.340713
GPX_Neisseria,meningitidis@GSH,0,48,1,1,-7186.59,-10.8979,0.337167
GPX_Neisseria,meningitidis@GSH,0,49,0,0,-7153.16,-12.8719,0.328603
GPX_Neisseria,meningitidis@GSH,0,49,1,1,-7179.98,-16.0501,0.313977
GPX_Neisseria,meningitidis@GSH,0,50,0,0,-7155.81,-8.75592,0.338647
GPX_Neisseria,meningitidis@GSH,0,50,1,1,-7185.11,-12.3526,0.317803
GPX_Neisseria,meningitidis@GSH,0,51,0,0,-7170.47,-15.6413,0.289901
GPX_Neisseria,meningitidis@GSH,0,51,1,1,-7192.68,-15.3415,0.291229
GPX_Neisseria,meningitidis@GSH,0,52,0,0,-7155.22,-11.0093,0.275089
GPX_Neisseria,meningitidis@GSH,0,52,1,1,-7176.56,-17.2798,0.272376
GPX_Neisseria,meningitidis@GSH,0,53,0,0,-7174.77,-10.915,0.29638
GPX_Neisseria,meningitidis@GSH,0,53,1,1,-7195.3,-10.5269,0.295126
GPX_Neisseria,meningitidis@GSH,0,54,0,0,-7156.2,-14.8889,0.317557
GPX_Neisseria,meningitidis@GSH,0,54,1,1,-7177.37,-14.4972,0.32084
GPX_Neisseria,meningitidis@GSH,0,55,0,0,-7162.83,-14.9535,0.317784
GPX_Neisseria,meningitidis@GSH,0,55,1,1,-7184.6,-13.134,0.309979
GPX_Neisseria,meningitidis@GSH,0,56,0,0,-7153.13,-6.53338,0.339275
GPX_Neisseria,meningitidis@GSH,0,56,1,1,-7172.64,-5.83317,0.346065
GPX_Neisseria,meningitidis@GSH,0,57,0,0,-7166.4,-18.923,0.298846
GPX_Neisseria,meningitidis@GSH,0,57,1,1,-7188.86,-16.2742,0.295179
GPX_Neisseria,meningitidis@GSH,0,58,0,0,-7158.29,-14.6244,0.329577
GPX_Neisseria,meningitidis@GSH,0,58,1,1,-7187.28,-13.9469,0.329371
GPX_Neisseria,meningitidis@GSH,0,59,0,0,-7161.92,-17.2532,0.297335
GPX_Neisseria,meningitidis@GSH,0,59,1,1,-7173.29,-15.0603,0.295851
GPX_Neisseria,meningitidis@GSH,0,60,0,0,-7162.73,-12.1462,0.347246
GPX_Neisseria,meningitidis@GSH,0,60,1,1,-7181.17,-11.8247,0.364544
GPX_Neisseria,meningitidis@GSH,0,61,0,0,-7170.37,-12.832,0.291472
GPX_Neisseria,meningitidis@GSH,0,61,1,1,-7193.85,-12.5654,0.29022
GPX_Neisseria,meningitidis@GSH,0,62,0,0,-7150.97,-16.9749,0.297995
GPX_Neisseria,meningitidis@GSH,0,62,1,1,-7169.18,-17.1782,0.312167
GPX_Neisseria,meningitidis@GSH,0,63,0,0,-7159.05,-9.77429,0.29779
GPX_Neisseria,meningitidis@GSH,0,63,1,1,-7177.8,-10.5299,0.294039
GPX_Neisseria,meningitidis@GSH,0,64,0,0,-7149.48,-8.22101,0.351718
GPX_Neisseria,meningitidis@GSH,0,64,1,1,-7174.96,-9.83382,0.34714
GPX_Neisseria,meningitidis@GSH,0,65,0,0,-7164.88,-13.9104,0.334834
GPX_Neisseria,meningitidis@GSH,0,65,1,1,-7184.72,-12.4294,0.325768
GPX_Neisseria,meningitidis@GSH,0,66,0,0,-7149.82,-9.64807,0.332208
GPX_Neisseria,meningitidis@GSH,0,66,1,1,-7174.07,-9.80906,0.339582
GPX_Neisseria,meningitidis@GSH,0,67,0,0,-7159.1,-9.49828,0.325209
GPX_Neisseria,meningitidis@GSH,0,67,1,1,-7181.07,-9.76747,0.318606
GPX_Neisseria,meningitidis@GSH,0,68,0,0,-7150.27,-13.2517,0.312765
GPX_Neisseria,meningitidis@GSH,0,68,1,1,-7164.32,-12.3176,0.319189
GPX_Neisseria,meningitidis@GSH,0,69,0,0,-7158.3,-13.5742,0.294062
GPX_Neisseria,meningitidis@GSH,0,69,1,1,-7176.65,-11.4266,0.288277
GPX_Neisseria,meningitidis@GSH,0,70,0,0,-7154.05,-12.222,0.325999
GPX_Neisseria,meningitidis@GSH,0,70,1,1,-7175.39,-12.2166,0.329457
GPX_Neisseria,meningitidis@GSH,0,71,0,0,-7157.76,-14.3172,0.324774
GPX_Neisseria,meningitidis@GSH,0,71,1,1,-7175.32,-13.3864,0.307107
GPX_Neisseria,meningitidis@GSH,0,72,0,0,-7155.27,-13.9165,0.290565
GPX_Neisseria,meningitidis@GSH,0,72,1,1,-7187.64,-15.6474,0.290277
GPX_Neisseria,meningitidis@GSH,0,73,0,0,-7162.57,-14.2746,0.30282
GPX_Neisseria,meningitidis@GSH,0,73,1,1,-7188.42,-14.5873,0.297056
GPX_Neisseria,meningitidis@GSH,0,74,0,0,-7162.41,-16.2591,0.316407
GPX_Neisseria,meningitidis@GSH,0,74,1,1,-7188.24,-17.2226,0.309979
GPX_Neisseria,meningitidis@GSH,0,75,0,0,-7161.96,-12.6798,0.30204
GPX_Neisseria,meningitidis@GSH,0,75,1,1,-7186.47,-13.0397,0.295629
GPX_Neisseria,meningitidis@GSH,0,76,0,0,-7167.08,-15.1127,0.322261
GPX_Neisseria,meningitidis@GSH,0,76,1,1,-7191.64,-14.2021,0.308289
GPX_Neisseria,meningitidis@GSH,0,77,0,0,-7171.27,-15.9388,0.329381
GPX_Neisseria,meningitidis@GSH,0,77,1,1,-7196.27,-15.8674,0.327497
GPX_Neisseria,meningitidis@GSH,0,78,0,0,-7169.26,-15.4133,0.309632
GPX_Neisseria,meningitidis@GSH,0,78,1,1,-7188.37,-11.3747,0.336504
GPX_Neisseria,meningitidis@GSH,0,79,0,0,-7172.43,-10.4079,0.343671
GPX_Neisseria,meningitidis@GSH,0,79,1,1,-7188.37,-11.8544,0.325592
GPX_Neisseria,meningitidis@GSH,0,80,0,0,-7160.81,-16.5726,0.289745
GPX_Neisseria,meningitidis@GSH,0,80,1,1,-7177.06,-14.579,0.305565
GPX_Neisseria,meningitidis@GSH,0,81,0,0,-7167.56,-14.7223,0.299435
GPX_Neisseria,meningitidis@GSH,0,81,1,1,-7193.44,-17.6387,0.308594
GPX_Neisseria,meningitidis@GSH,0,82,0,0,-7157.86,-15.7898,0.290981
GPX_Neisseria,meningitidis@GSH,0,82,1,1,-7184.56,-15.8854,0.292775
GPX_Neisseria,meningitidis@GSH,0,83,0,0,-7162.31,-8.23307,0.31346
GPX_Neisseria,meningitidis@GSH,0,83,1,1,-7182.24,-7.68967,0.315113
GPX_Neisseria,meningitidis@GSH,0,84,0,0,-7149.56,-14.717,0.374134
GPX_Neisseria,meningitidis@GSH,0,84,1,1,-7171.16,-14.0265,0.373803
GPX_Neisseria,meningitidis@GSH,0,85,0,0,-7169.89,-14.1468,0.300014
GPX_Neisseria,meningitidis@GSH,0,85,1,1,-7185.1,-13.5216,0.304652
GPX_Neisseria,meningitidis@GSH,0,86,0,0,-7156.14,-11.7701,0.346863
GPX_Neisseria,meningitidis@GSH,0,86,1,1,-7179.95,-10.7723,0.342802
GPX_Neisseria,meningitidis@GSH,0,87,0,0,-7165.01,-13.9943,0.344288
GPX_Neisseria,meningitidis@GSH,0,87,1,1,-7187.99,-12.976,0.33857
GPX_Neisseria,meningitidis@GSH,0,88,0,0,-7165.31,-12.2435,0.340544
GPX_Neisseria,meningitidis@GSH,0,88,1,1,-7186.75,-11.2246,0.336993
GPX_Neisseria,meningitidis@GSH,0,89,0,0,-7154.63,-6.55239,0.350322
GPX_Neisseria,meningitidis@GSH,0,89,1,1,-7179.7,-7.72742,0.354007
GPX_Neisseria,meningitidis@GSH,0,90,0,0,-7163.84,-16.8337,0.282849
GPX_Neisseria,meningitidis@GSH,0,90,1,1,-7184.53,-15.487,0.283298
GPX_Neisseria,meningitidis@GSH,0,91,0,0,-7158.14,-5.76978,0.345226
GPX_Neisseria,meningitidis@GSH,0,91,1,1,-7189.74,-8.42367,0.323277
GPX_Neisseria,meningitidis@GSH,0,92,0,0,-7160.07,-13.5395,0.308698
GPX_Neisseria,meningitidis@GSH,0,92,1,1,-7179.86,-10.9844,0.309286
GPX_Neisseria,meningitidis@GSH,0,93,0,0,-7149.55,-10.0615,0.326261
GPX_Neisseria,meningitidis@GSH,0,93,1,1,-7175.2,-9.35928,0.325042
GPX_Neisseria,meningitidis@GSH,0,94,0,0,-7160.24,-14.9277,0.342581
GPX_Neisseria,meningitidis@GSH,0,94,1,1,-7167.97,-12.1808,0.285927
GPX_Neisseria,meningitidis@GSH,0,95,0,0,-7164.88,-13.9064,0.353799
GPX_Neisseria,meningitidis@GSH,0,95,1,1,-7187.71,-13.0996,0.355314
GPX_Neisseria,meningitidis@GSH,1,1,0,0,-7151.84,-12.0893,0.286955
GPX_Neisseria,meningitidis@GSH,1,1,1,1,-7193.91,-9.28396,0.339979
GPX_Neisseria,meningitidis@GSH,1,1,2,3,-7199.39,-13.0921,0.320929
GPX_Neisseria,meningitidis@GSH,1,1,3,5,-7200.18,-12.4638,0.333954
GPX_Neisseria,meningitidis@GSH,1,1,4,6,-7193.79,-8.7037,0.331418
GPX_Neisseria,meningitidis@GSH,1,1,5,7,-7193.21,-11.4496,0.324296
GPX_Neisseria,meningitidis@GSH,1,1,6,9,-7192.85,-11.1997,0.349124
GPX_Neisseria,meningitidis@GSH,1,1,7,10,-7198.45,-13.0892,0.402937
GPX_Neisseria,meningitidis@GSH,1,1,8,13,-7201.81,-12.0843,0.300277
GPX_Neisseria,meningitidis@GSH,1,1,9,15,-7203.51,-13.0341,0.341221
GPX_Neisseria,meningitidis@GSH,1,1,10,17,-7200.85,-10.6187,0.343185
GPX_Neisseria,meningitidis@GSH,1,1,11,24,-7199.31,-8.1559,0.384448
GPX_Neisseria,meningitidis@GSH,1,1,12,26,-7200.68,-7.50558,0.421449
GPX_Neisseria,meningitidis@GSH,1,1,13,29,-7202.03,-19.2639,0.393624
GPX_Neisseria,meningitidis@GSH,1,1,14,31,-7198.46,-15.3207,0.407771
GPX_Neisseria,meningitidis@GSH,1,1,15,32,-7202.45,-19.9478,0.378317
GPX_Neisseria,meningitidis@GSH,1,1,16,35,-7203.56,-21.2489,0.331485
GPX_Neisseria,meningitidis@GSH,1,1,17,36,-7200.11,-14.6798,0.360205
GPX_Neisseria,meningitidis@GSH,1,1,18,38,-7202.89,-17.9224,0.346664
GPX_Neisseria,meningitidis@GSH,1,1,19,39,-7209.22,-22.2056,0.361674
GPX_Neisseria,meningitidis@GSH,1,1,20,47,-7209.34,-21.1016,0.291424
