Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,distance_A35SG_L1S1
GPX_Bacillus,subtilis@GSH,0,1,0,0,6.73998
GPX_Bacillus,subtilis@GSH,0,1,1,1,6.71548
GPX_Bacillus,subtilis@GSH,0,2,0,0,6.99218
GPX_Bacillus,subtilis@GSH,0,2,1,1,6.98304
GPX_Bacillus,subtilis@GSH,0,3,0,0,6.69314
GPX_Bacillus,subtilis@GSH,0,3,1,1,6.74401
GPX_Bacillus,subtilis@GSH,0,4,0,0,7.01995
GPX_Bacillus,subtilis@GSH,0,4,1,1,6.98244
GPX_Bacillus,subtilis@GSH,0,5,0,0,6.81655
GPX_Bacillus,subtilis@GSH,0,5,1,1,6.83824
GPX_Bacillus,subtilis@GSH,0,6,0,0,6.85241
GPX_Bacillus,subtilis@GSH,0,6,1,1,6.95159
GPX_Bacillus,subtilis@GSH,0,7,0,0,6.84647
GPX_Bacillus,subtilis@GSH,0,7,1,1,6.71375
GPX_Bacillus,subtilis@GSH,0,8,0,0,6.6521
GPX_Bacillus,subtilis@GSH,0,8,1,1,6.87493
GPX_Bacillus,subtilis@GSH,0,9,0,0,6.47953
GPX_Bacillus,subtilis@GSH,0,9,1,1,6.58823
GPX_Bacillus,subtilis@GSH,0,10,0,0,6.67111
GPX_Bacillus,subtilis@GSH,0,10,1,1,6.46875
GPX_Bacillus,subtilis@GSH,0,11,0,0,6.75418
GPX_Bacillus,subtilis@GSH,0,11,1,1,6.68688
GPX_Bacillus,subtilis@GSH,0,12,0,0,6.94208
GPX_Bacillus,subtilis@GSH,0,12,1,1,6.96565
GPX_Bacillus,subtilis@GSH,0,13,0,0,6.43495
GPX_Bacillus,subtilis@GSH,0,13,1,1,6.58074
GPX_Bacillus,subtilis@GSH,0,14,0,0,6.89714
GPX_Bacillus,subtilis@GSH,0,14,1,1,6.87837
GPX_Bacillus,subtilis@GSH,0,15,0,0,7.04092
GPX_Bacillus,subtilis@GSH,0,15,1,1,7.04293
GPX_Bacillus,subtilis@GSH,0,16,0,0,6.87671
GPX_Bacillus,subtilis@GSH,0,16,1,1,6.84611
GPX_Bacillus,subtilis@GSH,0,17,0,0,6.77327
GPX_Bacillus,subtilis@GSH,0,17,1,1,6.6814
GPX_Bacillus,subtilis@GSH,0,18,0,0,7.40489
GPX_Bacillus,subtilis@GSH,0,18,1,1,7.41196
GPX_Bacillus,subtilis@GSH,0,19,0,0,6.92599
GPX_Bacillus,subtilis@GSH,0,19,1,1,6.91295
GPX_Bacillus,subtilis@GSH,0,20,0,0,6.58348
GPX_Bacillus,subtilis@GSH,0,20,1,1,6.77559
GPX_Bacillus,subtilis@GSH,0,21,0,0,6.69138
GPX_Bacillus,subtilis@GSH,0,21,1,1,6.69358
GPX_Bacillus,subtilis@GSH,0,22,0,0,6.9437
GPX_Bacillus,subtilis@GSH,0,22,1,1,6.92618
GPX_Bacillus,subtilis@GSH,0,23,0,0,6.95975
GPX_Bacillus,subtilis@GSH,0,23,1,1,6.947
GPX_Bacillus,subtilis@GSH,0,24,0,0,6.95715
GPX_Bacillus,subtilis@GSH,0,24,1,1,6.98389
GPX_Bacillus,subtilis@GSH,0,25,0,0,6.71628
GPX_Bacillus,subtilis@GSH,0,25,1,1,6.70372
GPX_Bacillus,subtilis@GSH,0,26,0,0,6.79586
GPX_Bacillus,subtilis@GSH,0,26,1,1,6.78057
GPX_Bacillus,subtilis@GSH,0,27,0,0,6.70115
GPX_Bacillus,subtilis@GSH,0,27,1,1,6.70864
GPX_Bacillus,subtilis@GSH,0,28,0,0,6.65373
GPX_Bacillus,subtilis@GSH,0,28,1,1,6.65766
GPX_Bacillus,subtilis@GSH,0,29,0,0,6.82977
GPX_Bacillus,subtilis@GSH,0,30,0,0,6.58655
GPX_Bacillus,subtilis@GSH,0,30,1,1,6.52879
GPX_Bacillus,subtilis@GSH,0,31,0,0,6.58229
GPX_Bacillus,subtilis@GSH,0,31,1,1,6.58655
GPX_Bacillus,subtilis@GSH,0,32,0,0,6.71319
GPX_Bacillus,subtilis@GSH,0,32,1,1,6.76549
GPX_Bacillus,subtilis@GSH,0,33,0,0,6.65188
GPX_Bacillus,subtilis@GSH,0,33,1,1,6.64157
GPX_Bacillus,subtilis@GSH,0,34,0,0,6.85964
GPX_Bacillus,subtilis@GSH,0,34,1,1,6.86532
GPX_Bacillus,subtilis@GSH,0,35,0,0,6.84165
GPX_Bacillus,subtilis@GSH,0,35,1,1,6.84689
GPX_Bacillus,subtilis@GSH,0,36,0,0,6.70726
GPX_Bacillus,subtilis@GSH,0,36,1,1,6.71287
GPX_Bacillus,subtilis@GSH,0,37,0,0,6.72905
GPX_Bacillus,subtilis@GSH,0,37,1,1,6.70214
GPX_Bacillus,subtilis@GSH,0,38,0,0,6.92279
GPX_Bacillus,subtilis@GSH,0,38,1,1,6.89831
GPX_Bacillus,subtilis@GSH,0,39,0,0,6.63332
GPX_Bacillus,subtilis@GSH,0,39,1,1,6.65948
GPX_Bacillus,subtilis@GSH,0,40,0,0,6.76917
GPX_Bacillus,subtilis@GSH,0,40,1,1,6.77192
GPX_Bacillus,subtilis@GSH,0,41,0,0,6.81174
GPX_Bacillus,subtilis@GSH,0,41,1,1,6.8403
GPX_Bacillus,subtilis@GSH,0,42,0,0,6.5828
GPX_Bacillus,subtilis@GSH,0,42,1,1,6.5934
GPX_Bacillus,subtilis@GSH,0,43,0,0,6.60644
GPX_Bacillus,subtilis@GSH,0,43,1,1,6.60646
GPX_Bacillus,subtilis@GSH,0,44,0,0,6.97118
GPX_Bacillus,subtilis@GSH,0,44,1,1,6.82597
GPX_Bacillus,subtilis@GSH,0,45,0,0,6.73401
GPX_Bacillus,subtilis@GSH,0,45,1,1,6.69121
GPX_Bacillus,subtilis@GSH,0,46,0,0,6.64967
GPX_Bacillus,subtilis@GSH,0,46,1,1,6.63804
GPX_Bacillus,subtilis@GSH,0,47,0,0,6.59922
GPX_Bacillus,subtilis@GSH,0,47,1,1,6.57331
GPX_Bacillus,subtilis@GSH,0,48,0,0,6.60638
GPX_Bacillus,subtilis@GSH,0,48,1,1,6.60036
GPX_Bacillus,subtilis@GSH,0,49,0,0,6.63574
GPX_Bacillus,subtilis@GSH,0,49,1,1,6.6308
GPX_Bacillus,subtilis@GSH,0,50,0,0,6.62001
GPX_Bacillus,subtilis@GSH,0,50,1,1,6.59483
GPX_Bacillus,subtilis@GSH,0,51,0,0,6.86549
GPX_Bacillus,subtilis@GSH,0,51,1,1,6.85612
GPX_Bacillus,subtilis@GSH,0,52,0,0,6.89606
GPX_Bacillus,subtilis@GSH,0,52,1,1,6.87926
GPX_Bacillus,subtilis@GSH,0,53,0,0,6.94155
