Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,distance_A43SG_L1S1
GPX_Gossypium,hirsutum@GSH,0,1,0,0,7.26681
GPX_Gossypium,hirsutum@GSH,0,1,1,1,7.21448
GPX_Gossypium,hirsutum@GSH,0,2,0,0,7.02308
GPX_Gossypium,hirsutum@GSH,0,2,1,1,7.07452
GPX_Gossypium,hirsutum@GSH,0,3,0,0,6.90545
GPX_Gossypium,hirsutum@GSH,0,3,1,1,6.76204
GPX_Gossypium,hirsutum@GSH,0,4,0,0,7.22165
GPX_Gossypium,hirsutum@GSH,0,4,1,1,7.22211
GPX_Gossypium,hirsutum@GSH,0,5,0,0,7.20657
GPX_Gossypium,hirsutum@GSH,0,5,1,1,7.21836
GPX_Gossypium,hirsutum@GSH,0,6,0,0,6.809
GPX_Gossypium,hirsutum@GSH,0,6,1,1,6.94345
GPX_Gossypium,hirsutum@GSH,0,7,0,0,7.25972
GPX_Gossypium,hirsutum@GSH,0,7,1,1,7.21976
GPX_Gossypium,hirsutum@GSH,0,8,0,0,7.27648
GPX_Gossypium,hirsutum@GSH,0,8,1,1,7.24925
GPX_Gossypium,hirsutum@GSH,0,9,0,0,7.1753
GPX_Gossypium,hirsutum@GSH,0,9,1,1,7.14294
GPX_Gossypium,hirsutum@GSH,0,10,0,0,7.20283
GPX_Gossypium,hirsutum@GSH,0,10,1,1,7.21115
GPX_Gossypium,hirsutum@GSH,0,11,0,0,7.15758
GPX_Gossypium,hirsutum@GSH,0,11,1,1,7.07532
GPX_Gossypium,hirsutum@GSH,0,12,0,0,7.02203
GPX_Gossypium,hirsutum@GSH,0,12,1,1,7.00667
GPX_Gossypium,hirsutum@GSH,0,13,0,0,7.12665
GPX_Gossypium,hirsutum@GSH,0,13,1,1,7.10227
GPX_Gossypium,hirsutum@GSH,0,14,0,0,7.09052
GPX_Gossypium,hirsutum@GSH,0,14,1,1,7.042
GPX_Gossypium,hirsutum@GSH,0,15,0,0,7.17514
GPX_Gossypium,hirsutum@GSH,0,15,1,1,7.24051
GPX_Gossypium,hirsutum@GSH,0,16,0,0,7.19928
GPX_Gossypium,hirsutum@GSH,0,16,1,1,7.16248
GPX_Gossypium,hirsutum@GSH,0,17,0,0,7.17426
GPX_Gossypium,hirsutum@GSH,0,17,1,1,7.15109
GPX_Gossypium,hirsutum@GSH,0,18,0,0,7.19228
GPX_Gossypium,hirsutum@GSH,0,18,1,1,7.1798
GPX_Gossypium,hirsutum@GSH,0,19,0,0,7.25436
GPX_Gossypium,hirsutum@GSH,0,19,1,1,7.19115
GPX_Gossypium,hirsutum@GSH,0,20,0,0,7.18992
GPX_Gossypium,hirsutum@GSH,0,20,1,1,7.22682
GPX_Gossypium,hirsutum@GSH,0,21,0,0,7.23308
GPX_Gossypium,hirsutum@GSH,0,21,1,1,7.21621
GPX_Gossypium,hirsutum@GSH,0,22,0,0,7.22469
GPX_Gossypium,hirsutum@GSH,0,22,1,1,7.23082
GPX_Gossypium,hirsutum@GSH,0,23,0,0,7.11164
GPX_Gossypium,hirsutum@GSH,0,24,0,0,7.24532
GPX_Gossypium,hirsutum@GSH,0,24,1,1,7.22398
GPX_Gossypium,hirsutum@GSH,0,25,0,0,7.13365
GPX_Gossypium,hirsutum@GSH,0,25,1,1,7.14496
GPX_Gossypium,hirsutum@GSH,0,26,0,0,6.98138
GPX_Gossypium,hirsutum@GSH,0,26,1,1,7.05235
GPX_Gossypium,hirsutum@GSH,0,27,0,0,7.22656
GPX_Gossypium,hirsutum@GSH,0,27,1,1,6.88236
GPX_Gossypium,hirsutum@GSH,0,28,0,0,7.22765
GPX_Gossypium,hirsutum@GSH,0,28,1,1,6.96597
GPX_Gossypium,hirsutum@GSH,0,29,0,0,7.40615
GPX_Gossypium,hirsutum@GSH,0,29,1,1,7.45364
GPX_Gossypium,hirsutum@GSH,0,30,0,0,7.18056
GPX_Gossypium,hirsutum@GSH,0,30,1,1,7.16508
GPX_Gossypium,hirsutum@GSH,0,31,0,0,6.58595
GPX_Gossypium,hirsutum@GSH,0,31,1,1,6.75346
GPX_Gossypium,hirsutum@GSH,0,32,0,0,7.26601
GPX_Gossypium,hirsutum@GSH,0,32,1,1,7.19114
GPX_Gossypium,hirsutum@GSH,0,33,0,0,6.77136
GPX_Gossypium,hirsutum@GSH,0,33,1,1,6.77558
GPX_Gossypium,hirsutum@GSH,0,34,0,0,7.37757
GPX_Gossypium,hirsutum@GSH,0,34,1,1,7.36647
GPX_Gossypium,hirsutum@GSH,0,35,0,0,7.63003
GPX_Gossypium,hirsutum@GSH,0,35,1,1,7.63151
GPX_Gossypium,hirsutum@GSH,0,36,0,0,6.71718
GPX_Gossypium,hirsutum@GSH,0,36,1,1,6.92316
GPX_Gossypium,hirsutum@GSH,0,37,0,0,7.21034
GPX_Gossypium,hirsutum@GSH,0,37,1,1,7.19461
GPX_Gossypium,hirsutum@GSH,0,38,0,0,7.02881
GPX_Gossypium,hirsutum@GSH,0,38,1,1,7.07425
