Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,distance_A35SG_L1S1
GPX_Lactococcus,lactis@GSH,0,1,0,0,6.7436
GPX_Lactococcus,lactis@GSH,0,1,1,1,6.81519
GPX_Lactococcus,lactis@GSH,0,2,0,0,5.87463
GPX_Lactococcus,lactis@GSH,0,2,1,1,5.80953
GPX_Lactococcus,lactis@GSH,0,3,0,0,5.8396
GPX_Lactococcus,lactis@GSH,0,3,1,1,5.7565
GPX_Lactococcus,lactis@GSH,0,4,0,0,5.88642
GPX_Lactococcus,lactis@GSH,0,4,1,1,5.70494
GPX_Lactococcus,lactis@GSH,0,5,0,0,6.00861
GPX_Lactococcus,lactis@GSH,0,5,1,1,5.88612
GPX_Lactococcus,lactis@GSH,0,6,0,0,5.89302
GPX_Lactococcus,lactis@GSH,0,6,1,1,5.87005
GPX_Lactococcus,lactis@GSH,0,7,0,0,6.70082
GPX_Lactococcus,lactis@GSH,0,7,1,1,5.72583
GPX_Lactococcus,lactis@GSH,0,8,0,0,6.7201
GPX_Lactococcus,lactis@GSH,0,8,1,1,6.71591
GPX_Lactococcus,lactis@GSH,0,9,0,0,5.84146
GPX_Lactococcus,lactis@GSH,0,9,1,1,5.75384
GPX_Lactococcus,lactis@GSH,0,10,0,0,5.73255
GPX_Lactococcus,lactis@GSH,0,10,1,1,5.64568
GPX_Lactococcus,lactis@GSH,0,11,0,0,6.83533
GPX_Lactococcus,lactis@GSH,0,11,1,1,6.74273
GPX_Lactococcus,lactis@GSH,0,12,0,0,5.78824
GPX_Lactococcus,lactis@GSH,0,12,1,1,5.82298
GPX_Lactococcus,lactis@GSH,0,13,0,0,5.86513
GPX_Lactococcus,lactis@GSH,0,13,1,1,5.93423
GPX_Lactococcus,lactis@GSH,0,14,0,0,5.93907
GPX_Lactococcus,lactis@GSH,0,14,1,1,5.95879
GPX_Lactococcus,lactis@GSH,0,15,0,0,5.84865
GPX_Lactococcus,lactis@GSH,0,15,1,1,6.80998
GPX_Lactococcus,lactis@GSH,0,16,0,0,5.88369
GPX_Lactococcus,lactis@GSH,0,17,0,0,5.81557
GPX_Lactococcus,lactis@GSH,0,17,1,1,5.72577
GPX_Lactococcus,lactis@GSH,0,18,0,0,6.80379
GPX_Lactococcus,lactis@GSH,0,18,1,1,6.76063
GPX_Lactococcus,lactis@GSH,0,19,0,0,6.72111
GPX_Lactococcus,lactis@GSH,0,19,1,1,6.7229
GPX_Lactococcus,lactis@GSH,0,20,0,0,5.81915
GPX_Lactococcus,lactis@GSH,0,20,1,1,5.80594
GPX_Lactococcus,lactis@GSH,0,21,0,0,8.02464
GPX_Lactococcus,lactis@GSH,0,22,0,0,6.5855
GPX_Lactococcus,lactis@GSH,0,22,1,1,7.47898
GPX_Lactococcus,lactis@GSH,0,23,0,0,6.74997
GPX_Lactococcus,lactis@GSH,0,23,1,1,5.72832
GPX_Lactococcus,lactis@GSH,0,24,0,0,6.66502
GPX_Lactococcus,lactis@GSH,0,24,1,1,6.55754
GPX_Lactococcus,lactis@GSH,0,25,0,0,5.87444
GPX_Lactococcus,lactis@GSH,0,25,1,1,5.8174
GPX_Lactococcus,lactis@GSH,0,26,0,0,5.75758
GPX_Lactococcus,lactis@GSH,0,27,0,0,5.90215
GPX_Lactococcus,lactis@GSH,0,27,1,1,5.92545
GPX_Lactococcus,lactis@GSH,0,28,0,0,6.88985
GPX_Lactococcus,lactis@GSH,0,28,1,1,6.74845
GPX_Lactococcus,lactis@GSH,0,29,0,0,5.85367
GPX_Lactococcus,lactis@GSH,0,29,1,1,5.58347
GPX_Lactococcus,lactis@GSH,0,30,0,0,5.79895
GPX_Lactococcus,lactis@GSH,0,31,0,0,6.29692
GPX_Lactococcus,lactis@GSH,0,31,1,1,6.11263
GPX_Lactococcus,lactis@GSH,0,32,0,0,6.75939
GPX_Lactococcus,lactis@GSH,0,32,1,1,6.81242
GPX_Lactococcus,lactis@GSH,0,33,0,0,5.85517
GPX_Lactococcus,lactis@GSH,0,33,1,1,5.83054
GPX_Lactococcus,lactis@GSH,0,34,0,0,6.76429
GPX_Lactococcus,lactis@GSH,0,34,1,1,6.69595
GPX_Lactococcus,lactis@GSH,0,35,0,0,6.15567
GPX_Lactococcus,lactis@GSH,0,35,1,1,6.19115
GPX_Lactococcus,lactis@GSH,0,36,0,0,5.87581
GPX_Lactococcus,lactis@GSH,0,36,1,1,5.90767
GPX_Lactococcus,lactis@GSH,0,37,0,0,6.21515
GPX_Lactococcus,lactis@GSH,0,37,1,1,6.18721
GPX_Lactococcus,lactis@GSH,0,38,0,0,6.83038
GPX_Lactococcus,lactis@GSH,0,38,1,1,6.89715
GPX_Lactococcus,lactis@GSH,0,39,0,0,5.87095
GPX_Lactococcus,lactis@GSH,0,39,1,1,5.82989
GPX_Lactococcus,lactis@GSH,0,40,0,0,6.71573
GPX_Lactococcus,lactis@GSH,0,40,1,1,6.73784
GPX_Lactococcus,lactis@GSH,0,41,0,0,5.97579
GPX_Lactococcus,lactis@GSH,0,41,1,1,5.91217
GPX_Lactococcus,lactis@GSH,0,42,0,0,5.8957
GPX_Lactococcus,lactis@GSH,0,42,1,1,5.93396
GPX_Lactococcus,lactis@GSH,0,43,0,0,7.09153
GPX_Lactococcus,lactis@GSH,0,44,0,0,5.86786
GPX_Lactococcus,lactis@GSH,0,44,1,1,5.8941
GPX_Lactococcus,lactis@GSH,0,45,0,0,5.8951
GPX_Lactococcus,lactis@GSH,0,45,1,1,5.835
GPX_Lactococcus,lactis@GSH,0,46,0,0,6.07896
GPX_Lactococcus,lactis@GSH,0,46,1,1,5.996
GPX_Lactococcus,lactis@GSH,0,47,0,0,6.64993
GPX_Lactococcus,lactis@GSH,0,47,1,1,6.66936
GPX_Lactococcus,lactis@GSH,0,48,0,0,6.18408
GPX_Lactococcus,lactis@GSH,0,48,1,1,6.19702
GPX_Lactococcus,lactis@GSH,0,49,0,0,6.03731
GPX_Lactococcus,lactis@GSH,0,49,1,1,6.04791
GPX_Lactococcus,lactis@GSH,0,50,0,0,6.60443
GPX_Lactococcus,lactis@GSH,0,50,1,1,6.6341
GPX_Lactococcus,lactis@GSH,0,51,0,0,5.98293
GPX_Lactococcus,lactis@GSH,0,51,1,1,6.05006
GPX_Lactococcus,lactis@GSH,0,52,0,0,5.92883
GPX_Lactococcus,lactis@GSH,0,52,1,1,5.8851
GPX_Lactococcus,lactis@GSH,0,53,0,0,5.90794
GPX_Lactococcus,lactis@GSH,0,53,1,1,5.8703
GPX_Lactococcus,lactis@GSH,0,54,0,0,5.90198
GPX_Lactococcus,lactis@GSH,0,54,1,1,5.86883
GPX_Lactococcus,lactis@GSH,0,55,0,0,6.11115
GPX_Lactococcus,lactis@GSH,0,55,1,1,6.08836
GPX_Lactococcus,lactis@GSH,0,56,0,0,7.08359
GPX_Lactococcus,lactis@GSH,0,56,1,1,7.22671
GPX_Lactococcus,lactis@GSH,0,57,0,0,5.95444
GPX_Lactococcus,lactis@GSH,0,57,1,1,5.92854
GPX_Lactococcus,lactis@GSH,0,58,0,0,5.90366
GPX_Lactococcus,lactis@GSH,0,58,1,1,7.83017
GPX_Lactococcus,lactis@GSH,0,59,0,0,6.01778
GPX_Lactococcus,lactis@GSH,0,59,1,1,5.72759
GPX_Lactococcus,lactis@GSH,0,60,0,0,5.75726
GPX_Lactococcus,lactis@GSH,0,60,1,1,5.73974
GPX_Lactococcus,lactis@GSH,0,61,0,0,6.66757
GPX_Lactococcus,lactis@GSH,0,61,1,1,6.63438
GPX_Lactococcus,lactis@GSH,0,62,0,0,5.87119
GPX_Lactococcus,lactis@GSH,0,62,1,1,5.8376
GPX_Lactococcus,lactis@GSH,0,63,0,0,6.04152
GPX_Lactococcus,lactis@GSH,0,63,1,1,6.00563
GPX_Lactococcus,lactis@GSH,0,64,0,0,5.90083
GPX_Lactococcus,lactis@GSH,0,64,1,1,5.86953
GPX_Lactococcus,lactis@GSH,0,65,0,0,5.82335
GPX_Lactococcus,lactis@GSH,0,65,1,1,5.79172
GPX_Lactococcus,lactis@GSH,0,66,0,0,5.82959
GPX_Lactococcus,lactis@GSH,0,66,1,1,5.78568
GPX_Lactococcus,lactis@GSH,0,67,0,0,5.84994
GPX_Lactococcus,lactis@GSH,0,67,1,1,5.68928
GPX_Lactococcus,lactis@GSH,0,68,0,0,5.89456
GPX_Lactococcus,lactis@GSH,0,68,1,1,5.76715
GPX_Lactococcus,lactis@GSH,0,69,0,0,5.62099
GPX_Lactococcus,lactis@GSH,0,69,1,1,6.59985
GPX_Lactococcus,lactis@GSH,0,70,0,0,8.55407
GPX_Lactococcus,lactis@GSH,0,70,1,1,8.48821
GPX_Lactococcus,lactis@GSH,0,71,0,0,6.18706
GPX_Lactococcus,lactis@GSH,0,71,1,1,6.24641
GPX_Lactococcus,lactis@GSH,0,72,0,0,6.68266
GPX_Lactococcus,lactis@GSH,0,72,1,1,7.63859
GPX_Lactococcus,lactis@GSH,0,73,0,0,5.92133
GPX_Lactococcus,lactis@GSH,0,73,1,1,5.92651
GPX_Lactococcus,lactis@GSH,0,74,0,0,6.73535
GPX_Lactococcus,lactis@GSH,0,74,1,1,6.6722
GPX_Lactococcus,lactis@GSH,0,75,0,0,6.84972
GPX_Lactococcus,lactis@GSH,0,75,1,1,6.80987
GPX_Lactococcus,lactis@GSH,0,76,0,0,6.6663
GPX_Lactococcus,lactis@GSH,0,76,1,1,6.67074
GPX_Lactococcus,lactis@GSH,0,77,0,0,6.03651
GPX_Lactococcus,lactis@GSH,0,77,1,1,6.0802
GPX_Lactococcus,lactis@GSH,0,78,0,0,5.90744
GPX_Lactococcus,lactis@GSH,0,78,1,1,5.85991
GPX_Lactococcus,lactis@GSH,0,79,0,0,6.8744
GPX_Lactococcus,lactis@GSH,0,79,1,1,6.7606
GPX_Lactococcus,lactis@GSH,0,80,0,0,5.88252
GPX_Lactococcus,lactis@GSH,0,80,1,1,5.82661
GPX_Lactococcus,lactis@GSH,0,81,0,0,6.79533
GPX_Lactococcus,lactis@GSH,0,81,1,1,6.79868
GPX_Lactococcus,lactis@GSH,0,82,0,0,5.91389
GPX_Lactococcus,lactis@GSH,0,82,1,1,5.97795
GPX_Lactococcus,lactis@GSH,0,83,0,0,6.73751
GPX_Lactococcus,lactis@GSH,0,83,1,1,6.75213
GPX_Lactococcus,lactis@GSH,0,84,0,0,5.85503
GPX_Lactococcus,lactis@GSH,0,84,1,1,6.84896
GPX_Lactococcus,lactis@GSH,0,85,0,0,5.80762
GPX_Lactococcus,lactis@GSH,0,85,1,1,5.90378
GPX_Lactococcus,lactis@GSH,0,86,0,0,6.71066
GPX_Lactococcus,lactis@GSH,0,86,1,1,6.68376
GPX_Lactococcus,lactis@GSH,0,87,0,0,5.84175
GPX_Lactococcus,lactis@GSH,0,87,1,1,5.6977
GPX_Lactococcus,lactis@GSH,0,88,0,0,5.7507
GPX_Lactococcus,lactis@GSH,0,88,1,1,5.77314
GPX_Lactococcus,lactis@GSH,0,89,0,0,5.86011
GPX_Lactococcus,lactis@GSH,0,89,1,1,5.83891
GPX_Lactococcus,lactis@GSH,0,90,0,0,6.69432
GPX_Lactococcus,lactis@GSH,0,90,1,1,6.6981
GPX_Lactococcus,lactis@GSH,0,91,0,0,5.90352
GPX_Lactococcus,lactis@GSH,0,91,1,1,5.84519
GPX_Lactococcus,lactis@GSH,0,92,0,0,7.94897
GPX_Lactococcus,lactis@GSH,0,92,1,1,5.8298
GPX_Lactococcus,lactis@GSH,0,93,0,0,6.8249
GPX_Lactococcus,lactis@GSH,0,93,1,1,6.86311
GPX_Lactococcus,lactis@GSH,0,94,0,0,5.77798
GPX_Lactococcus,lactis@GSH,0,95,0,0,6.99418
GPX_Lactococcus,lactis@GSH,0,95,1,1,6.95221
GPX_Lactococcus,lactis@GSH,1,1,0,0,5.81084
GPX_Lactococcus,lactis@GSH,1,1,1,1,6.96966
GPX_Lactococcus,lactis@GSH,1,1,2,2,7.22414
GPX_Lactococcus,lactis@GSH,1,1,3,4,6.67248
GPX_Lactococcus,lactis@GSH,1,1,4,6,7.9999
GPX_Lactococcus,lactis@GSH,1,1,5,9,7.08757
GPX_Lactococcus,lactis@GSH,1,1,6,14,6.70602
GPX_Lactococcus,lactis@GSH,1,1,7,16,7.18243
GPX_Lactococcus,lactis@GSH,1,1,8,21,7.02487
GPX_Lactococcus,lactis@GSH,1,1,9,25,6.98575
GPX_Lactococcus,lactis@GSH,1,1,10,27,7.19788
GPX_Lactococcus,lactis@GSH,1,1,11,28,6.78328
GPX_Lactococcus,lactis@GSH,1,1,12,31,7.33957
GPX_Lactococcus,lactis@GSH,1,1,13,36,6.86443
GPX_Lactococcus,lactis@GSH,1,1,14,37,3.96927
GPX_Lactococcus,lactis@GSH,1,1,15,44,6.67353
GPX_Lactococcus,lactis@GSH,1,1,16,45,7.18442
GPX_Lactococcus,lactis@GSH,1,1,17,46,7.44028
GPX_Lactococcus,lactis@GSH,1,1,18,47,7.58378
GPX_Lactococcus,lactis@GSH,1,1,19,49,7.52459
GPX_Lactococcus,lactis@GSH,1,1,20,50,6.29378
GPX_Lactococcus,lactis@GSH,1,1,21,52,7.5582
GPX_Lactococcus,lactis@GSH,1,1,22,53,7.18542
GPX_Lactococcus,lactis@GSH,1,1,23,63,7.23968
GPX_Lactococcus,lactis@GSH,1,1,24,65,7.09163
GPX_Lactococcus,lactis@GSH,1,1,25,71,7.07951
GPX_Lactococcus,lactis@GSH,1,1,26,78,9.19229
GPX_Lactococcus,lactis@GSH,1,1,27,80,8.45471
GPX_Lactococcus,lactis@GSH,1,1,28,81,4.01191
GPX_Lactococcus,lactis@GSH,1,1,29,83,8.07808
GPX_Lactococcus,lactis@GSH,1,1,30,85,7.4445
GPX_Lactococcus,lactis@GSH,1,1,31,87,7.81633
GPX_Lactococcus,lactis@GSH,1,1,32,95,7.73048
GPX_Lactococcus,lactis@GSH,1,1,33,98,7.07755
GPX_Lactococcus,lactis@GSH,1,1,34,100,7.33098
GPX_Lactococcus,lactis@GSH,1,2,0,0,5.75404
GPX_Lactococcus,lactis@GSH,1,2,1,1,6.45972
GPX_Lactococcus,lactis@GSH,1,2,2,7,7.69695
GPX_Lactococcus,lactis@GSH,1,2,3,13,8.15019
GPX_Lactococcus,lactis@GSH,1,2,4,16,7.57403
GPX_Lactococcus,lactis@GSH,1,2,5,18,6.98737
GPX_Lactococcus,lactis@GSH,1,2,6,23,7.27572
GPX_Lactococcus,lactis@GSH,1,2,7,24,6.72823
GPX_Lactococcus,lactis@GSH,1,2,8,26,6.07046
GPX_Lactococcus,lactis@GSH,1,2,9,27,6.73255
GPX_Lactococcus,lactis@GSH,1,2,10,28,6.58874
GPX_Lactococcus,lactis@GSH,1,2,11,43,6.42221
GPX_Lactococcus,lactis@GSH,1,2,12,52,6.93138
GPX_Lactococcus,lactis@GSH,1,2,13,59,6.17165
GPX_Lactococcus,lactis@GSH,1,2,14,61,6.58484
GPX_Lactococcus,lactis@GSH,1,2,15,65,6.46593
GPX_Lactococcus,lactis@GSH,1,2,16,75,6.43755
GPX_Lactococcus,lactis@GSH,1,2,17,77,7.06512
GPX_Lactococcus,lactis@GSH,1,2,18,79,6.60745
GPX_Lactococcus,lactis@GSH,1,2,19,83,6.51449
GPX_Lactococcus,lactis@GSH,1,2,20,87,6.7381
GPX_Lactococcus,lactis@GSH,1,2,21,88,6.58317
GPX_Lactococcus,lactis@GSH,1,2,22,91,6.64522
GPX_Lactococcus,lactis@GSH,1,2,23,96,7.73296
GPX_Lactococcus,lactis@GSH,1,3,0,0,5.70275
GPX_Lactococcus,lactis@GSH,1,3,1,1,7.6071
GPX_Lactococcus,lactis@GSH,1,3,2,3,7.89647
GPX_Lactococcus,lactis@GSH,1,3,3,5,8.16391
GPX_Lactococcus,lactis@GSH,1,3,4,8,8.4351
GPX_Lactococcus,lactis@GSH,1,3,5,9,5.09635
GPX_Lactococcus,lactis@GSH,1,3,6,11,3.92417
GPX_Lactococcus,lactis@GSH,1,3,7,12,3.79557
GPX_Lactococcus,lactis@GSH,1,3,8,15,3.97624
GPX_Lactococcus,lactis@GSH,1,3,9,17,3.72687
GPX_Lactococcus,lactis@GSH,1,3,10,20,3.92514
GPX_Lactococcus,lactis@GSH,1,3,11,21,6.08865
GPX_Lactococcus,lactis@GSH,1,3,12,22,3.77388
GPX_Lactococcus,lactis@GSH,1,3,13,24,4.41011
GPX_Lactococcus,lactis@GSH,1,3,14,26,4.12332
GPX_Lactococcus,lactis@GSH,1,3,15,27,3.78278
GPX_Lactococcus,lactis@GSH,1,3,16,31,4.75116
GPX_Lactococcus,lactis@GSH,1,3,17,35,7.13871
GPX_Lactococcus,lactis@GSH,1,3,18,38,6.86882
GPX_Lactococcus,lactis@GSH,1,3,19,39,8.82511
GPX_Lactococcus,lactis@GSH,1,3,20,40,6.9402
GPX_Lactococcus,lactis@GSH,1,3,21,42,6.54115
GPX_Lactococcus,lactis@GSH,1,3,22,45,8.41803
GPX_Lactococcus,lactis@GSH,1,3,23,46,9.58415
GPX_Lactococcus,lactis@GSH,1,3,24,52,10.8265
GPX_Lactococcus,lactis@GSH,1,3,25,58,10.0708
GPX_Lactococcus,lactis@GSH,1,3,26,59,7.70025
GPX_Lactococcus,lactis@GSH,1,3,27,60,8.00807
GPX_Lactococcus,lactis@GSH,1,3,28,62,8.5107
GPX_Lactococcus,lactis@GSH,1,3,29,72,8.29894
GPX_Lactococcus,lactis@GSH,1,3,30,73,9.43431
GPX_Lactococcus,lactis@GSH,1,3,31,76,9.81645
GPX_Lactococcus,lactis@GSH,1,3,32,78,9.64175
GPX_Lactococcus,lactis@GSH,1,3,33,80,9.5085
GPX_Lactococcus,lactis@GSH,1,3,34,81,11.8861
GPX_Lactococcus,lactis@GSH,1,3,35,85,11.4762
GPX_Lactococcus,lactis@GSH,1,3,36,95,9.16579
GPX_Lactococcus,lactis@GSH,1,3,37,96,9.57221
GPX_Lactococcus,lactis@GSH,1,3,38,97,9.44024
GPX_Lactococcus,lactis@GSH,1,3,39,99,9.40111
GPX_Lactococcus,lactis@GSH,1,3,40,100,9.39282
GPX_Lactococcus,lactis@GSH,1,4,0,0,5.88363
GPX_Lactococcus,lactis@GSH,1,4,1,1,7.0805
GPX_Lactococcus,lactis@GSH,1,4,2,3,7.08083
GPX_Lactococcus,lactis@GSH,1,4,3,6,7.26565
GPX_Lactococcus,lactis@GSH,1,4,4,7,6.83074
GPX_Lactococcus,lactis@GSH,1,4,5,9,4.02058
GPX_Lactococcus,lactis@GSH,1,4,6,18,4.59164
GPX_Lactococcus,lactis@GSH,1,4,7,20,4.09342
GPX_Lactococcus,lactis@GSH,1,4,8,23,4.17365
GPX_Lactococcus,lactis@GSH,1,4,9,26,5.05024
GPX_Lactococcus,lactis@GSH,1,4,10,27,7.69804
GPX_Lactococcus,lactis@GSH,1,4,11,29,4.83205
GPX_Lactococcus,lactis@GSH,1,4,12,30,7.36
GPX_Lactococcus,lactis@GSH,1,4,13,31,4.35449
GPX_Lactococcus,lactis@GSH,1,4,14,32,5.17894
GPX_Lactococcus,lactis@GSH,1,4,15,35,4.46228
GPX_Lactococcus,lactis@GSH,1,4,16,38,3.92212
GPX_Lactococcus,lactis@GSH,1,4,17,40,3.64281
GPX_Lactococcus,lactis@GSH,1,4,18,48,4.27827
GPX_Lactococcus,lactis@GSH,1,4,19,76,3.80269
GPX_Lactococcus,lactis@GSH,1,4,20,81,4.00727
GPX_Lactococcus,lactis@GSH,1,4,21,82,4.00816
GPX_Lactococcus,lactis@GSH,1,4,22,85,3.8429
GPX_Lactococcus,lactis@GSH,1,4,23,89,7.62694
GPX_Lactococcus,lactis@GSH,1,4,24,90,3.59828
GPX_Lactococcus,lactis@GSH,1,4,25,91,9.53826
GPX_Lactococcus,lactis@GSH,1,4,26,95,7.25744
GPX_Lactococcus,lactis@GSH,1,4,27,96,7.96647
GPX_Lactococcus,lactis@GSH,1,4,28,97,5.49271
GPX_Lactococcus,lactis@GSH,1,4,29,99,5.44136
GPX_Lactococcus,lactis@GSH,1,5,0,0,5.86778
GPX_Lactococcus,lactis@GSH,1,5,1,1,7.62653
GPX_Lactococcus,lactis@GSH,1,5,2,2,8.01728
GPX_Lactococcus,lactis@GSH,1,5,3,11,7.2223
GPX_Lactococcus,lactis@GSH,1,5,4,19,6.93768
GPX_Lactococcus,lactis@GSH,1,5,5,23,7.69761
GPX_Lactococcus,lactis@GSH,1,5,6,25,6.85438
GPX_Lactococcus,lactis@GSH,1,5,7,26,6.66688
GPX_Lactococcus,lactis@GSH,1,5,8,51,7.7877
GPX_Lactococcus,lactis@GSH,1,5,9,57,6.74157
GPX_Lactococcus,lactis@GSH,1,5,10,67,7.06636
GPX_Lactococcus,lactis@GSH,1,5,11,69,6.81867
GPX_Lactococcus,lactis@GSH,1,5,12,82,6.94393
GPX_Lactococcus,lactis@GSH,1,5,13,91,6.77555
GPX_Lactococcus,lactis@GSH,1,6,0,0,5.7192
GPX_Lactococcus,lactis@GSH,1,6,1,1,7.74545
GPX_Lactococcus,lactis@GSH,1,6,2,2,8.52523
GPX_Lactococcus,lactis@GSH,1,6,3,3,7.89038
GPX_Lactococcus,lactis@GSH,1,6,4,5,6.84674
GPX_Lactococcus,lactis@GSH,1,6,5,10,7.12757
GPX_Lactococcus,lactis@GSH,1,6,6,16,6.42263
GPX_Lactococcus,lactis@GSH,1,6,7,19,7.05058
GPX_Lactococcus,lactis@GSH,1,6,8,25,3.75436
GPX_Lactococcus,lactis@GSH,1,6,9,26,4.22111
GPX_Lactococcus,lactis@GSH,1,6,10,31,3.9559
GPX_Lactococcus,lactis@GSH,1,6,11,33,4.31231
GPX_Lactococcus,lactis@GSH,1,6,12,36,3.68198
GPX_Lactococcus,lactis@GSH,1,6,13,37,3.528
GPX_Lactococcus,lactis@GSH,1,6,14,42,3.5763
GPX_Lactococcus,lactis@GSH,1,6,15,48,3.51806
GPX_Lactococcus,lactis@GSH,1,6,16,49,3.60162
GPX_Lactococcus,lactis@GSH,1,6,17,50,3.69067
GPX_Lactococcus,lactis@GSH,1,6,18,56,3.93997
GPX_Lactococcus,lactis@GSH,1,6,19,57,3.73722
GPX_Lactococcus,lactis@GSH,1,6,20,64,3.73709
GPX_Lactococcus,lactis@GSH,1,6,21,66,5.14531
GPX_Lactococcus,lactis@GSH,1,6,22,67,6.96165
GPX_Lactococcus,lactis@GSH,1,6,23,74,7.72099
GPX_Lactococcus,lactis@GSH,1,6,24,75,7.81788
GPX_Lactococcus,lactis@GSH,1,6,25,77,6.79576
GPX_Lactococcus,lactis@GSH,1,6,26,79,6.66061
GPX_Lactococcus,lactis@GSH,1,6,27,80,7.28975
GPX_Lactococcus,lactis@GSH,1,6,28,81,6.39822
GPX_Lactococcus,lactis@GSH,1,6,29,84,6.30442
GPX_Lactococcus,lactis@GSH,1,6,30,87,5.88515
GPX_Lactococcus,lactis@GSH,1,6,31,90,5.52985
GPX_Lactococcus,lactis@GSH,1,6,32,92,6.27541
GPX_Lactococcus,lactis@GSH,1,6,33,94,6.72817
GPX_Lactococcus,lactis@GSH,1,6,34,96,6.21046
GPX_Lactococcus,lactis@GSH,1,6,35,98,7.95421
GPX_Lactococcus,lactis@GSH,1,6,36,99,6.44967
GPX_Lactococcus,lactis@GSH,1,7,0,0,6.71585
GPX_Lactococcus,lactis@GSH,1,7,1,1,8.21296
GPX_Lactococcus,lactis@GSH,1,7,2,6,7.8103
GPX_Lactococcus,lactis@GSH,1,7,3,8,7.96775
GPX_Lactococcus,lactis@GSH,1,7,4,29,6.70672
GPX_Lactococcus,lactis@GSH,1,7,5,31,6.0302
GPX_Lactococcus,lactis@GSH,1,7,6,33,6.07056
GPX_Lactococcus,lactis@GSH,1,7,7,36,7.07595
GPX_Lactococcus,lactis@GSH,1,7,8,39,6.14649
GPX_Lactococcus,lactis@GSH,1,7,9,41,5.64754
GPX_Lactococcus,lactis@GSH,1,7,10,42,5.79478
GPX_Lactococcus,lactis@GSH,1,7,11,46,6.49977
GPX_Lactococcus,lactis@GSH,1,7,12,53,5.19953
GPX_Lactococcus,lactis@GSH,1,7,13,58,4.91828
GPX_Lactococcus,lactis@GSH,1,7,14,61,5.46606
GPX_Lactococcus,lactis@GSH,1,7,15,69,5.30347
GPX_Lactococcus,lactis@GSH,1,7,16,72,4.88983
GPX_Lactococcus,lactis@GSH,1,7,17,76,4.7658
GPX_Lactococcus,lactis@GSH,1,7,18,77,5.38859
GPX_Lactococcus,lactis@GSH,1,7,19,78,5.29891
GPX_Lactococcus,lactis@GSH,1,7,20,82,5.28401
GPX_Lactococcus,lactis@GSH,1,7,21,83,5.28809
GPX_Lactococcus,lactis@GSH,1,7,22,85,4.85843
GPX_Lactococcus,lactis@GSH,1,7,23,91,4.2079
GPX_Lactococcus,lactis@GSH,1,8,0,0,5.74636
GPX_Lactococcus,lactis@GSH,1,8,1,1,3.83334
GPX_Lactococcus,lactis@GSH,1,8,2,3,3.91895
GPX_Lactococcus,lactis@GSH,1,8,3,5,6.94409
GPX_Lactococcus,lactis@GSH,1,8,4,8,7.1265
GPX_Lactococcus,lactis@GSH,1,8,5,10,6.61198
GPX_Lactococcus,lactis@GSH,1,8,6,11,6.88942
