Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,distance_A35SG_L1S1
GPX_Neisseria,meningitidis@GSH,0,1,0,0,6.22406
GPX_Neisseria,meningitidis@GSH,0,1,1,1,6.21383
GPX_Neisseria,meningitidis@GSH,0,2,0,0,5.51334
GPX_Neisseria,meningitidis@GSH,0,2,1,1,5.56043
GPX_Neisseria,meningitidis@GSH,0,3,0,0,5.2783
GPX_Neisseria,meningitidis@GSH,0,3,1,1,5.3102
GPX_Neisseria,meningitidis@GSH,0,4,0,0,5.28956
GPX_Neisseria,meningitidis@GSH,0,4,1,1,5.16258
GPX_Neisseria,meningitidis@GSH,0,5,0,0,6.28372
GPX_Neisseria,meningitidis@GSH,0,5,1,1,6.27913
GPX_Neisseria,meningitidis@GSH,0,6,0,0,5.25034
GPX_Neisseria,meningitidis@GSH,0,6,1,1,5.17776
GPX_Neisseria,meningitidis@GSH,0,7,0,0,5.30012
GPX_Neisseria,meningitidis@GSH,0,7,1,1,5.29088
GPX_Neisseria,meningitidis@GSH,0,8,0,0,5.5644
GPX_Neisseria,meningitidis@GSH,0,8,1,1,5.53055
GPX_Neisseria,meningitidis@GSH,0,9,0,0,5.87198
GPX_Neisseria,meningitidis@GSH,0,9,1,1,5.89517
GPX_Neisseria,meningitidis@GSH,0,10,0,0,6.16191
GPX_Neisseria,meningitidis@GSH,0,10,1,1,6.18001
GPX_Neisseria,meningitidis@GSH,0,11,0,0,6.12508
GPX_Neisseria,meningitidis@GSH,0,11,1,1,6.11977
GPX_Neisseria,meningitidis@GSH,0,12,0,0,5.38674
GPX_Neisseria,meningitidis@GSH,0,12,1,1,5.43705
GPX_Neisseria,meningitidis@GSH,0,13,0,0,6.09823
GPX_Neisseria,meningitidis@GSH,0,13,1,1,6.10979
GPX_Neisseria,meningitidis@GSH,0,14,0,0,6.16533
GPX_Neisseria,meningitidis@GSH,0,15,0,0,6.12753
GPX_Neisseria,meningitidis@GSH,0,15,1,1,5.61927
GPX_Neisseria,meningitidis@GSH,0,16,0,0,5.30348
GPX_Neisseria,meningitidis@GSH,0,16,1,1,5.29343
GPX_Neisseria,meningitidis@GSH,0,17,0,0,5.32272
GPX_Neisseria,meningitidis@GSH,0,17,1,1,6.09375
GPX_Neisseria,meningitidis@GSH,0,18,0,0,5.50249
GPX_Neisseria,meningitidis@GSH,0,18,1,1,5.54826
GPX_Neisseria,meningitidis@GSH,0,19,0,0,5.78191
GPX_Neisseria,meningitidis@GSH,0,19,1,1,5.7692
GPX_Neisseria,meningitidis@GSH,0,20,0,0,5.63683
GPX_Neisseria,meningitidis@GSH,0,20,1,1,5.64864
GPX_Neisseria,meningitidis@GSH,0,21,0,0,5.78118
GPX_Neisseria,meningitidis@GSH,0,21,1,1,5.79377
GPX_Neisseria,meningitidis@GSH,0,22,0,0,5.3133
GPX_Neisseria,meningitidis@GSH,0,22,1,1,5.35955
GPX_Neisseria,meningitidis@GSH,0,23,0,0,5.16823
GPX_Neisseria,meningitidis@GSH,0,23,1,1,5.14325
GPX_Neisseria,meningitidis@GSH,0,24,0,0,5.17245
GPX_Neisseria,meningitidis@GSH,0,24,1,1,5.16234
GPX_Neisseria,meningitidis@GSH,0,25,0,0,5.56545
GPX_Neisseria,meningitidis@GSH,0,25,1,1,5.56042
GPX_Neisseria,meningitidis@GSH,0,26,0,0,5.71078
GPX_Neisseria,meningitidis@GSH,0,26,1,1,5.72715
GPX_Neisseria,meningitidis@GSH,0,27,0,0,5.77009
GPX_Neisseria,meningitidis@GSH,0,27,1,1,5.76728
GPX_Neisseria,meningitidis@GSH,0,28,0,0,6.09473
GPX_Neisseria,meningitidis@GSH,0,28,1,1,6.09169
GPX_Neisseria,meningitidis@GSH,0,29,0,0,5.50355
GPX_Neisseria,meningitidis@GSH,0,29,1,1,6.09863
GPX_Neisseria,meningitidis@GSH,0,30,0,0,5.13946
GPX_Neisseria,meningitidis@GSH,0,30,1,1,5.1293
GPX_Neisseria,meningitidis@GSH,0,31,0,0,5.61646
GPX_Neisseria,meningitidis@GSH,0,31,1,1,5.64037
GPX_Neisseria,meningitidis@GSH,0,32,0,0,5.85772
GPX_Neisseria,meningitidis@GSH,0,32,1,1,5.8478
GPX_Neisseria,meningitidis@GSH,0,33,0,0,5.30185
GPX_Neisseria,meningitidis@GSH,0,33,1,1,5.3174
GPX_Neisseria,meningitidis@GSH,0,34,0,0,5.27254
GPX_Neisseria,meningitidis@GSH,0,34,1,1,5.20342
GPX_Neisseria,meningitidis@GSH,0,35,0,0,6.14561
GPX_Neisseria,meningitidis@GSH,0,35,1,1,6.24006
GPX_Neisseria,meningitidis@GSH,0,36,0,0,6.12325
GPX_Neisseria,meningitidis@GSH,0,36,1,1,6.13051
GPX_Neisseria,meningitidis@GSH,0,37,0,0,5.29696
GPX_Neisseria,meningitidis@GSH,0,37,1,1,5.2836
GPX_Neisseria,meningitidis@GSH,0,38,0,0,5.05311
GPX_Neisseria,meningitidis@GSH,0,38,1,1,4.96508
GPX_Neisseria,meningitidis@GSH,0,39,0,0,5.68791
GPX_Neisseria,meningitidis@GSH,0,39,1,1,5.69863
GPX_Neisseria,meningitidis@GSH,0,40,0,0,5.63006
GPX_Neisseria,meningitidis@GSH,0,40,1,1,5.61772
GPX_Neisseria,meningitidis@GSH,0,41,0,0,5.67878
GPX_Neisseria,meningitidis@GSH,0,41,1,1,5.67179
GPX_Neisseria,meningitidis@GSH,0,42,0,0,5.2723
GPX_Neisseria,meningitidis@GSH,0,42,1,1,5.25476
GPX_Neisseria,meningitidis@GSH,0,43,0,0,5.08103
GPX_Neisseria,meningitidis@GSH,0,43,1,1,5.0724
GPX_Neisseria,meningitidis@GSH,0,44,0,0,5.62404
GPX_Neisseria,meningitidis@GSH,0,44,1,1,5.55154
GPX_Neisseria,meningitidis@GSH,0,45,0,0,5.32752
GPX_Neisseria,meningitidis@GSH,0,45,1,1,6.21148
GPX_Neisseria,meningitidis@GSH,0,46,0,0,5.82329
GPX_Neisseria,meningitidis@GSH,0,46,1,1,5.85858
GPX_Neisseria,meningitidis@GSH,0,47,0,0,6.22622
GPX_Neisseria,meningitidis@GSH,0,47,1,1,5.37601
GPX_Neisseria,meningitidis@GSH,0,48,0,0,5.63705
GPX_Neisseria,meningitidis@GSH,0,48,1,1,5.62936
GPX_Neisseria,meningitidis@GSH,0,49,0,0,6.18716
GPX_Neisseria,meningitidis@GSH,0,49,1,1,6.21876
GPX_Neisseria,meningitidis@GSH,0,50,0,0,5.65959
GPX_Neisseria,meningitidis@GSH,0,50,1,1,5.67311
GPX_Neisseria,meningitidis@GSH,0,51,0,0,6.17367
GPX_Neisseria,meningitidis@GSH,0,51,1,1,6.19601
GPX_Neisseria,meningitidis@GSH,0,52,0,0,5.88999
GPX_Neisseria,meningitidis@GSH,0,52,1,1,5.88508
GPX_Neisseria,meningitidis@GSH,0,53,0,0,5.57531
GPX_Neisseria,meningitidis@GSH,0,53,1,1,5.51943
GPX_Neisseria,meningitidis@GSH,0,54,0,0,5.42243
GPX_Neisseria,meningitidis@GSH,0,54,1,1,5.36502
GPX_Neisseria,meningitidis@GSH,0,55,0,0,6.21998
GPX_Neisseria,meningitidis@GSH,0,55,1,1,6.21077
GPX_Neisseria,meningitidis@GSH,0,56,0,0,5.24169
GPX_Neisseria,meningitidis@GSH,0,56,1,1,5.14151
GPX_Neisseria,meningitidis@GSH,0,57,0,0,5.40927
GPX_Neisseria,meningitidis@GSH,0,57,1,1,5.29715
GPX_Neisseria,meningitidis@GSH,0,58,0,0,6.20269
GPX_Neisseria,meningitidis@GSH,0,58,1,1,6.22745
GPX_Neisseria,meningitidis@GSH,0,59,0,0,5.41886
GPX_Neisseria,meningitidis@GSH,0,59,1,1,6.26046
GPX_Neisseria,meningitidis@GSH,0,60,0,0,5.25659
GPX_Neisseria,meningitidis@GSH,0,60,1,1,6.43019
GPX_Neisseria,meningitidis@GSH,0,61,0,0,6.60137
GPX_Neisseria,meningitidis@GSH,0,61,1,1,6.62453
GPX_Neisseria,meningitidis@GSH,0,62,0,0,6.25014
GPX_Neisseria,meningitidis@GSH,0,62,1,1,6.2273
GPX_Neisseria,meningitidis@GSH,0,63,0,0,5.09819
GPX_Neisseria,meningitidis@GSH,0,63,1,1,5.07008
GPX_Neisseria,meningitidis@GSH,0,64,0,0,5.80032
GPX_Neisseria,meningitidis@GSH,0,64,1,1,5.7955
GPX_Neisseria,meningitidis@GSH,0,65,0,0,6.0948
GPX_Neisseria,meningitidis@GSH,0,65,1,1,4.90812
GPX_Neisseria,meningitidis@GSH,0,66,0,0,5.48108
GPX_Neisseria,meningitidis@GSH,0,66,1,1,5.4845
GPX_Neisseria,meningitidis@GSH,0,67,0,0,5.85558
GPX_Neisseria,meningitidis@GSH,0,67,1,1,5.85144
GPX_Neisseria,meningitidis@GSH,0,68,0,0,5.68779
GPX_Neisseria,meningitidis@GSH,0,68,1,1,5.61631
