Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,Total Energy,Binding Energy,Ligand SASA
GPX_Bacillus,subtilis@GSH,1,1,0,0,-6281.5,-1.67373,0.571238
GPX_Bacillus,subtilis@GSH,1,1,1,1,-6467.12,-14.5098,0.537513
GPX_Bacillus,subtilis@GSH,1,1,2,2,-6469.19,-13.5471,0.528832
GPX_Bacillus,subtilis@GSH,1,1,3,4,-6477.28,-15.288,0.528035
GPX_Bacillus,subtilis@GSH,1,1,4,5,-6489.6,-16.3082,0.555386
GPX_Bacillus,subtilis@GSH,1,1,5,6,-6488.82,-14.4479,0.552837
GPX_Bacillus,subtilis@GSH,1,1,6,7,-6489.15,-16.1987,0.551801
GPX_Bacillus,subtilis@GSH,1,1,7,8,-6491.72,-15.935,0.548622
GPX_Bacillus,subtilis@GSH,1,1,8,9,-6493.87,-15.678,0.551617
GPX_Bacillus,subtilis@GSH,1,1,9,11,-6497.05,-14.0771,0.556255
GPX_Bacillus,subtilis@GSH,1,1,10,12,-6496.26,-16.2063,0.554923
GPX_Bacillus,subtilis@GSH,1,1,11,14,-6498.14,-16.1052,0.553662
GPX_Bacillus,subtilis@GSH,1,1,12,15,-6498.2,-14.3508,0.555086
GPX_Bacillus,subtilis@GSH,1,1,13,16,-6499.42,-15.2567,0.556731
GPX_Bacillus,subtilis@GSH,1,1,14,18,-6500.84,-16.4844,0.557672
GPX_Bacillus,subtilis@GSH,1,1,15,21,-6498.84,-15.9159,0.552991
GPX_Bacillus,subtilis@GSH,1,1,16,22,-6498.31,-16.1356,0.552178
GPX_Bacillus,subtilis@GSH,1,1,17,24,-6498.06,-15.2264,0.553628
GPX_Bacillus,subtilis@GSH,1,1,18,27,-6498.25,-15.2632,0.554402
GPX_Bacillus,subtilis@GSH,1,1,19,30,-6496.48,-15.4016,0.555621
GPX_Bacillus,subtilis@GSH,1,1,20,32,-6496.32,-15.7437,0.556298
GPX_Bacillus,subtilis@GSH,1,1,21,33,-6497.47,-15.5183,0.535537
GPX_Bacillus,subtilis@GSH,1,1,22,43,-6494.98,-13.6097,0.532127
GPX_Bacillus,subtilis@GSH,1,1,23,44,-6495.09,-14.0948,0.534926
GPX_Bacillus,subtilis@GSH,1,1,24,45,-6496.95,-14.3535,0.533412
GPX_Bacillus,subtilis@GSH,1,1,25,46,-6493.54,-13.6057,0.531436
GPX_Bacillus,subtilis@GSH,1,1,26,47,-6497.07,-13.6879,0.531108
GPX_Bacillus,subtilis@GSH,1,1,27,49,-6494.41,-14.4758,0.533855
GPX_Bacillus,subtilis@GSH,1,1,28,52,-6492.22,-13.8256,0.530906
GPX_Bacillus,subtilis@GSH,1,1,29,53,-6497.49,-14.1275,0.532257
GPX_Bacillus,subtilis@GSH,1,1,30,55,-6498.95,-14.3471,0.537057
GPX_Bacillus,subtilis@GSH,1,1,31,57,-6500.39,-14.4168,0.539786
GPX_Bacillus,subtilis@GSH,1,1,32,58,-6499.05,-13.8652,0.533833
GPX_Bacillus,subtilis@GSH,1,1,33,59,-6497.05,-14.3095,0.533157
GPX_Bacillus,subtilis@GSH,1,1,34,61,-6497.4,-15.0083,0.534191
GPX_Bacillus,subtilis@GSH,1,1,35,63,-6496.5,-14.7321,0.540981
GPX_Bacillus,subtilis@GSH,1,1,36,64,-6500.59,-14.0755,0.54386
GPX_Bacillus,subtilis@GSH,1,1,37,66,-6497.95,-13.9455,0.537868
GPX_Bacillus,subtilis@GSH,1,1,38,67,-6499.34,-12.712,0.554451
GPX_Bacillus,subtilis@GSH,1,1,39,68,-6498.98,-13.5485,0.553514
GPX_Bacillus,subtilis@GSH,1,1,40,71,-6498.1,-14.634,0.540703
GPX_Bacillus,subtilis@GSH,1,1,41,72,-6497.14,-14.4853,0.54055
GPX_Bacillus,subtilis@GSH,1,1,42,74,-6495.72,-13.7553,0.540414
GPX_Bacillus,subtilis@GSH,1,1,43,75,-6497.23,-14.1784,0.540125
GPX_Bacillus,subtilis@GSH,1,1,44,76,-6497.32,-13.8507,0.539425
GPX_Bacillus,subtilis@GSH,1,1,45,77,-6493.98,-13.6044,0.53208
GPX_Bacillus,subtilis@GSH,1,1,46,78,-6492.19,-14.3287,0.562038
GPX_Bacillus,subtilis@GSH,1,1,47,80,-6495.33,-15.3392,0.558493
GPX_Bacillus,subtilis@GSH,1,1,48,81,-6495.93,-14.4827,0.554796
GPX_Bacillus,subtilis@GSH,1,1,49,82,-6494.7,-13.4931,0.548989
GPX_Bacillus,subtilis@GSH,1,1,50,84,-6496.38,-14.7758,0.547615
GPX_Bacillus,subtilis@GSH,1,1,51,85,-6494.61,-14.8374,0.557888
GPX_Bacillus,subtilis@GSH,1,1,52,86,-6493.7,-14.6973,0.546439
GPX_Bacillus,subtilis@GSH,1,1,53,88,-6494.83,-14.1361,0.547926
GPX_Bacillus,subtilis@GSH,1,1,54,89,-6493.18,-15.0102,0.550624
GPX_Bacillus,subtilis@GSH,1,1,55,92,-6493.25,-14.1592,0.547484
GPX_Bacillus,subtilis@GSH,1,1,56,93,-6493.29,-12.9976,0.549856
GPX_Bacillus,subtilis@GSH,1,1,57,94,-6493.95,-13.7128,0.546458
GPX_Bacillus,subtilis@GSH,1,1,58,96,-6496.2,-13.3521,0.54723
GPX_Bacillus,subtilis@GSH,1,1,59,97,-6495.83,-12.9698,0.551886
GPX_Bacillus,subtilis@GSH,1,1,60,98,-6496.43,-14.5902,0.546126
GPX_Bacillus,subtilis@GSH,1,1,61,99,-6496.66,-14.7003,0.551654
GPX_Bacillus,subtilis@GSH,1,2,0,0,-6281.5,-1.67373,0.571238
GPX_Bacillus,subtilis@GSH,1,2,1,1,-6444.31,-9.99122,0.53711
