Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,Total Energy,Binding Energy,Ligand SASA
GPX_Gossypium,hirsutum@GSH,1,1,0,0,-6212.22,-2.42195,0.519686
GPX_Gossypium,hirsutum@GSH,1,1,1,1,-6380.46,-19.7951,0.510666
GPX_Gossypium,hirsutum@GSH,1,1,2,2,-6406.27,-21.5745,0.527633
GPX_Gossypium,hirsutum@GSH,1,1,3,3,-6412.92,-24.9807,0.502329
GPX_Gossypium,hirsutum@GSH,1,1,4,4,-6426.34,-28.3441,0.503206
GPX_Gossypium,hirsutum@GSH,1,1,5,5,-6425.78,-27.7001,0.503486
GPX_Gossypium,hirsutum@GSH,1,1,6,7,-6425.77,-28.0126,0.498612
GPX_Gossypium,hirsutum@GSH,1,1,7,8,-6420.48,-29.064,0.489641
GPX_Gossypium,hirsutum@GSH,1,1,8,9,-6427.4,-29.1358,0.495392
GPX_Gossypium,hirsutum@GSH,1,1,9,13,-6426.46,-28.7543,0.497731
GPX_Gossypium,hirsutum@GSH,1,1,10,20,-6424.04,-29.2157,0.498037
GPX_Gossypium,hirsutum@GSH,1,1,11,23,-6426.47,-29.0566,0.499565
GPX_Gossypium,hirsutum@GSH,1,1,12,24,-6424.63,-29.582,0.498776
GPX_Gossypium,hirsutum@GSH,1,1,13,29,-6424.44,-28.6676,0.499564
GPX_Gossypium,hirsutum@GSH,1,1,14,30,-6424.32,-29.398,0.495671
GPX_Gossypium,hirsutum@GSH,1,1,15,31,-6420.18,-29.0816,0.497224
GPX_Gossypium,hirsutum@GSH,1,1,16,33,-6423.31,-30.1219,0.493629
GPX_Gossypium,hirsutum@GSH,1,1,17,37,-6424.63,-29.4619,0.497078
GPX_Gossypium,hirsutum@GSH,1,1,18,38,-6425.08,-29.3704,0.493724
GPX_Gossypium,hirsutum@GSH,1,1,19,41,-6423.69,-29.1085,0.493647
GPX_Gossypium,hirsutum@GSH,1,1,20,45,-6423.71,-29.5031,0.499932
GPX_Gossypium,hirsutum@GSH,1,1,21,49,-6421.55,-28.9927,0.496803
GPX_Gossypium,hirsutum@GSH,1,1,22,50,-6425.62,-28.4366,0.496716
GPX_Gossypium,hirsutum@GSH,1,1,23,52,-6422.79,-28.6354,0.499253
GPX_Gossypium,hirsutum@GSH,1,1,24,53,-6426.96,-29.0168,0.494068
GPX_Gossypium,hirsutum@GSH,1,1,25,61,-6426.21,-28.5035,0.496865
GPX_Gossypium,hirsutum@GSH,1,1,26,66,-6424.18,-28.9192,0.493806
GPX_Gossypium,hirsutum@GSH,1,1,27,69,-6422.09,-26.484,0.493972
GPX_Gossypium,hirsutum@GSH,1,1,28,73,-6424.23,-28.2959,0.49736
GPX_Gossypium,hirsutum@GSH,1,1,29,74,-6428.21,-28.7943,0.499518
GPX_Gossypium,hirsutum@GSH,1,1,30,75,-6427.33,-22.8648,0.504153
GPX_Gossypium,hirsutum@GSH,1,1,31,76,-6431.25,-23.3899,0.505399
GPX_Gossypium,hirsutum@GSH,1,1,32,78,-6431.52,-23.6619,0.49805
GPX_Gossypium,hirsutum@GSH,1,1,33,79,-6431.84,-23.2402,0.500064
GPX_Gossypium,hirsutum@GSH,1,1,34,82,-6432.23,-23.4386,0.500388
GPX_Gossypium,hirsutum@GSH,1,1,35,87,-6430.89,-23.4599,0.500964
GPX_Gossypium,hirsutum@GSH,1,1,36,97,-6429.4,-23.9104,0.500141
GPX_Gossypium,hirsutum@GSH,1,1,37,98,-6430.7,-23.0158,0.504996
GPX_Gossypium,hirsutum@GSH,1,1,38,99,-6431.31,-23.8095,0.501512
GPX_Gossypium,hirsutum@GSH,1,1,39,100,-6431.74,-23.8296,0.500988
GPX_Gossypium,hirsutum@GSH,1,2,0,0,-6212.22,-2.42195,0.519686
GPX_Gossypium,hirsutum@GSH,1,2,1,1,-6392.62,-20.2799,0.515533
GPX_Gossypium,hirsutum@GSH,1,2,2,2,-6402.07,-20.7743,0.51774
GPX_Gossypium,hirsutum@GSH,1,2,3,3,-6414.6,-20.3929,0.525776
GPX_Gossypium,hirsutum@GSH,1,2,4,4,-6416.48,-19.3339,0.526417
GPX_Gossypium,hirsutum@GSH,1,2,5,5,-6416.92,-20.1216,0.522877
GPX_Gossypium,hirsutum@GSH,1,2,6,6,-6419.02,-20.403,0.522042
GPX_Gossypium,hirsutum@GSH,1,2,7,8,-6420.36,-19.7388,0.526025
GPX_Gossypium,hirsutum@GSH,1,2,8,9,-6420.84,-20.0577,0.524985
GPX_Gossypium,hirsutum@GSH,1,2,9,10,-6419.74,-21.0154,0.521105
GPX_Gossypium,hirsutum@GSH,1,2,10,11,-6421.06,-20.493,0.520807
GPX_Gossypium,hirsutum@GSH,1,2,11,12,-6422.69,-21.204,0.519911
GPX_Gossypium,hirsutum@GSH,1,2,12,14,-6422.31,-21.0153,0.522004
GPX_Gossypium,hirsutum@GSH,1,2,13,15,-6421.34,-19.9762,0.526107
GPX_Gossypium,hirsutum@GSH,1,2,14,16,-6423.5,-20.4122,0.524393
GPX_Gossypium,hirsutum@GSH,1,2,15,19,-6422.54,-20.3135,0.523479
GPX_Gossypium,hirsutum@GSH,1,2,16,20,-6423.71,-20.4748,0.52411
GPX_Gossypium,hirsutum@GSH,1,2,17,21,-6421.52,-20.0878,0.525137
GPX_Gossypium,hirsutum@GSH,1,2,18,22,-6422.46,-19.9883,0.526241
GPX_Gossypium,hirsutum@GSH,1,2,19,27,-6421.25,-20.7762,0.522605
GPX_Gossypium,hirsutum@GSH,1,2,20,29,-6418.41,-20.5248,0.522076
GPX_Gossypium,hirsutum@GSH,1,2,21,30,-6417.35,-21.0941,0.522906
