Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,Total Energy,Binding Energy,Ligand SASA
GPX_Lactococcus,lactis@GSH,1,1,0,0,-6247.3,-2.86113,0.479667
GPX_Lactococcus,lactis@GSH,1,1,1,1,-6429.88,-17.1628,0.432217
GPX_Lactococcus,lactis@GSH,1,1,2,2,-6437.72,-18.2432,0.434165
GPX_Lactococcus,lactis@GSH,1,1,3,4,-6437.52,-17.314,0.432831
GPX_Lactococcus,lactis@GSH,1,1,4,5,-6434.01,-16.6878,0.429966
GPX_Lactococcus,lactis@GSH,1,1,5,6,-6436.89,-18.0844,0.4154
GPX_Lactococcus,lactis@GSH,1,1,6,8,-6436.17,-18.8503,0.421054
GPX_Lactococcus,lactis@GSH,1,1,7,9,-6447.31,-21.3161,0.406648
GPX_Lactococcus,lactis@GSH,1,1,8,12,-6450.99,-21.0184,0.41173
GPX_Lactococcus,lactis@GSH,1,1,9,14,-6447.25,-21.2508,0.405903
GPX_Lactococcus,lactis@GSH,1,1,10,15,-6455.09,-21.3188,0.411979
GPX_Lactococcus,lactis@GSH,1,1,11,17,-6455.8,-21.5598,0.415918
GPX_Lactococcus,lactis@GSH,1,1,12,18,-6452.01,-21.4512,0.416132
GPX_Lactococcus,lactis@GSH,1,1,13,19,-6449.08,-17.8184,0.386726
GPX_Lactococcus,lactis@GSH,1,1,14,20,-6453.89,-19.135,0.385081
GPX_Lactococcus,lactis@GSH,1,1,15,21,-6455.2,-20.6562,0.408097
GPX_Lactococcus,lactis@GSH,1,1,16,22,-6457.15,-20.6574,0.409529
GPX_Lactococcus,lactis@GSH,1,1,17,27,-6457.59,-20.1716,0.405463
GPX_Lactococcus,lactis@GSH,1,1,18,30,-6458.01,-19.5685,0.405957
GPX_Lactococcus,lactis@GSH,1,1,19,33,-6457.08,-20.9442,0.40885
GPX_Lactococcus,lactis@GSH,1,1,20,46,-6458.42,-19.9277,0.409638
GPX_Lactococcus,lactis@GSH,1,1,21,53,-6457.03,-20.5471,0.406963
GPX_Lactococcus,lactis@GSH,1,1,22,55,-6457.43,-21.4963,0.405449
GPX_Lactococcus,lactis@GSH,1,1,23,56,-6458.45,-20.5554,0.40707
GPX_Lactococcus,lactis@GSH,1,1,24,57,-6457.41,-20.2553,0.403241
GPX_Lactococcus,lactis@GSH,1,1,25,60,-6456.9,-20.8519,0.403863
GPX_Lactococcus,lactis@GSH,1,1,26,61,-6457.36,-20.6238,0.412328
GPX_Lactococcus,lactis@GSH,1,1,27,66,-6459.06,-20.2048,0.409202
GPX_Lactococcus,lactis@GSH,1,1,28,70,-6460.1,-20.2784,0.407331
GPX_Lactococcus,lactis@GSH,1,1,29,73,-6460.25,-20.9379,0.40719
GPX_Lactococcus,lactis@GSH,1,1,30,76,-6459.46,-20.8498,0.406086
GPX_Lactococcus,lactis@GSH,1,1,31,78,-6459.77,-20.3749,0.40802
GPX_Lactococcus,lactis@GSH,1,1,32,79,-6454.69,-19.2372,0.408446
GPX_Lactococcus,lactis@GSH,1,1,33,82,-6457.15,-19.072,0.408638
GPX_Lactococcus,lactis@GSH,1,1,34,83,-6457.61,-19.6747,0.408767
GPX_Lactococcus,lactis@GSH,1,1,35,84,-6459.48,-19.903,0.408994
GPX_Lactococcus,lactis@GSH,1,1,36,92,-6458.7,-19.8104,0.41334
GPX_Lactococcus,lactis@GSH,1,1,37,95,-6455.22,-19.1246,0.408831
GPX_Lactococcus,lactis@GSH,1,1,38,98,-6459.96,-19.1224,0.410713
