Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,Total Energy,Binding Energy,Ligand SASA
GPX_Neisseria,meningitidis@GSH,1,1,0,0,-6976.9,-0.547171,0.31389
GPX_Neisseria,meningitidis@GSH,1,1,1,1,-7134.84,-7.85396,0.346796
GPX_Neisseria,meningitidis@GSH,1,1,2,2,-7143.19,-7.71694,0.348491
GPX_Neisseria,meningitidis@GSH,1,1,3,3,-7154.06,-11.4838,0.328907
GPX_Neisseria,meningitidis@GSH,1,1,4,4,-7158.34,-11.8076,0.32935
GPX_Neisseria,meningitidis@GSH,1,1,5,5,-7159.63,-11.9345,0.350193
GPX_Neisseria,meningitidis@GSH,1,1,6,7,-7171.08,-11.6573,0.349894
GPX_Neisseria,meningitidis@GSH,1,1,7,8,-7170.07,-12.271,0.345481
GPX_Neisseria,meningitidis@GSH,1,1,8,9,-7176.82,-9.42368,0.346472
GPX_Neisseria,meningitidis@GSH,1,1,9,10,-7179.24,-10.3876,0.34583
GPX_Neisseria,meningitidis@GSH,1,1,10,11,-7177.94,-11.4716,0.34602
GPX_Neisseria,meningitidis@GSH,1,1,11,12,-7177.51,-11.2716,0.344271
GPX_Neisseria,meningitidis@GSH,1,1,12,14,-7180.72,-11.3278,0.346727
GPX_Neisseria,meningitidis@GSH,1,1,13,15,-7180.48,-11.6324,0.346694
GPX_Neisseria,meningitidis@GSH,1,1,14,18,-7179.8,-11.4706,0.342598
GPX_Neisseria,meningitidis@GSH,1,1,15,20,-7181.17,-11.9294,0.341932
GPX_Neisseria,meningitidis@GSH,1,1,16,21,-7179.3,-11.5873,0.344035
GPX_Neisseria,meningitidis@GSH,1,1,17,23,-7181.78,-11.334,0.344945
GPX_Neisseria,meningitidis@GSH,1,1,18,24,-7183.62,-11.863,0.352759
GPX_Neisseria,meningitidis@GSH,1,1,19,25,-7186.64,-12.2074,0.350151
GPX_Neisseria,meningitidis@GSH,1,1,20,26,-7185.54,-12.8949,0.347982
GPX_Neisseria,meningitidis@GSH,1,1,21,27,-7187.03,-12.3409,0.349761
GPX_Neisseria,meningitidis@GSH,1,1,22,28,-7182.55,-12.2562,0.347864
GPX_Neisseria,meningitidis@GSH,1,1,23,29,-7186.57,-12.5245,0.347577
GPX_Neisseria,meningitidis@GSH,1,1,24,30,-7186.86,-11.95,0.347888
GPX_Neisseria,meningitidis@GSH,1,1,25,31,-7186.8,-12.1126,0.346679
GPX_Neisseria,meningitidis@GSH,1,1,26,33,-7184.45,-11.8524,0.346948
GPX_Neisseria,meningitidis@GSH,1,1,27,35,-7184.39,-10.7016,0.347956
GPX_Neisseria,meningitidis@GSH,1,1,28,36,-7184.44,-10.1419,0.346245
GPX_Neisseria,meningitidis@GSH,1,1,29,38,-7185.1,-11.2966,0.348114
GPX_Neisseria,meningitidis@GSH,1,1,30,40,-7185.24,-11.9658,0.348663
GPX_Neisseria,meningitidis@GSH,1,1,31,42,-7186.23,-12.0332,0.348541
GPX_Neisseria,meningitidis@GSH,1,1,32,48,-7186.2,-12.3067,0.348329
GPX_Neisseria,meningitidis@GSH,1,1,33,54,-7185.22,-11.4347,0.348375
GPX_Neisseria,meningitidis@GSH,1,1,34,60,-7181.58,-12.2881,0.348595
GPX_Neisseria,meningitidis@GSH,1,1,35,61,-7183.36,-10.9496,0.345486
GPX_Neisseria,meningitidis@GSH,1,1,36,62,-7183.19,-9.95172,0.361864
GPX_Neisseria,meningitidis@GSH,1,1,37,63,-7183.85,-12.0558,0.343528
GPX_Neisseria,meningitidis@GSH,1,1,38,65,-7183.71,-13.4168,0.338311
GPX_Neisseria,meningitidis@GSH,1,1,39,68,-7184.5,-13.5022,0.335066
GPX_Neisseria,meningitidis@GSH,1,1,40,72,-7184.46,-12.8032,0.336578
GPX_Neisseria,meningitidis@GSH,1,1,41,73,-7177.68,-11.8897,0.345432
GPX_Neisseria,meningitidis@GSH,1,1,42,74,-7183.09,-11.9942,0.347094
GPX_Neisseria,meningitidis@GSH,1,1,43,76,-7181.93,-9.68799,0.344547
GPX_Neisseria,meningitidis@GSH,1,1,44,77,-7186.41,-12.5909,0.342352
GPX_Neisseria,meningitidis@GSH,1,1,45,78,-7186.97,-12.3078,0.344085
