Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,Total Energy,Binding Energy,Ligand SASA
GPX_Staphylococcus,aureus@GSH,1,1,0,0,-6321.76,11.8288,0.48893
GPX_Staphylococcus,aureus@GSH,1,1,1,1,-6517.84,-11.8598,0.485427
GPX_Staphylococcus,aureus@GSH,1,1,2,2,-6517.83,-13.8437,0.481365
GPX_Staphylococcus,aureus@GSH,1,1,3,5,-6521.47,-13.1352,0.485163
GPX_Staphylococcus,aureus@GSH,1,1,4,10,-6520.02,-12.7482,0.485378
GPX_Staphylococcus,aureus@GSH,1,1,5,11,-6525.47,-12.7946,0.489673
GPX_Staphylococcus,aureus@GSH,1,1,6,14,-6525.07,-13.4267,0.485379
GPX_Staphylococcus,aureus@GSH,1,1,7,15,-6525.93,-13.4297,0.486998
GPX_Staphylococcus,aureus@GSH,1,1,8,17,-6522.57,-12.147,0.488245
GPX_Staphylococcus,aureus@GSH,1,1,9,22,-6517.53,-12.7955,0.487615
GPX_Staphylococcus,aureus@GSH,1,1,10,23,-6521.81,-12.6036,0.493473
GPX_Staphylococcus,aureus@GSH,1,1,11,24,-6520.22,-11.4426,0.490558
GPX_Staphylococcus,aureus@GSH,1,1,12,25,-6522.0,-12.1783,0.491331
GPX_Staphylococcus,aureus@GSH,1,1,13,28,-6520.64,-12.2965,0.490335
GPX_Staphylococcus,aureus@GSH,1,1,14,30,-6515.53,-10.3624,0.488662
GPX_Staphylococcus,aureus@GSH,1,1,15,32,-6520.27,-11.0653,0.489609
GPX_Staphylococcus,aureus@GSH,1,1,16,33,-6519.57,-11.4425,0.490382
GPX_Staphylococcus,aureus@GSH,1,1,17,34,-6513.96,-11.809,0.488536
GPX_Staphylococcus,aureus@GSH,1,1,18,36,-6517.82,-12.2702,0.486062
GPX_Staphylococcus,aureus@GSH,1,1,19,37,-6520.15,-12.4471,0.485824
GPX_Staphylococcus,aureus@GSH,1,1,20,39,-6512.96,-5.66199,0.483966
GPX_Staphylococcus,aureus@GSH,1,1,21,41,-6514.7,-7.97764,0.488207
GPX_Staphylococcus,aureus@GSH,1,1,22,42,-6511.39,-11.1265,0.482611
GPX_Staphylococcus,aureus@GSH,1,1,23,43,-6512.94,-8.77556,0.486808
GPX_Staphylococcus,aureus@GSH,1,1,24,47,-6515.33,-9.38914,0.487803
GPX_Staphylococcus,aureus@GSH,1,1,25,48,-6515.1,-9.42341,0.487323
GPX_Staphylococcus,aureus@GSH,1,1,26,49,-6517.34,-10.8146,0.488574
GPX_Staphylococcus,aureus@GSH,1,1,27,53,-6515.38,-10.395,0.488584
GPX_Staphylococcus,aureus@GSH,1,1,28,56,-6516.24,-10.3128,0.487987
GPX_Staphylococcus,aureus@GSH,1,1,29,57,-6513.1,-9.45888,0.489387
GPX_Staphylococcus,aureus@GSH,1,1,30,59,-6511.05,-8.40676,0.490298
GPX_Staphylococcus,aureus@GSH,1,1,31,60,-6509.71,-7.73538,0.486807
GPX_Staphylococcus,aureus@GSH,1,1,32,61,-6513.18,-11.0895,0.49032
GPX_Staphylococcus,aureus@GSH,1,1,33,65,-6513.08,-9.75686,0.489689
GPX_Staphylococcus,aureus@GSH,1,1,34,67,-6512.33,-16.6276,0.490486
GPX_Staphylococcus,aureus@GSH,1,1,35,69,-6514.34,-9.86496,0.49249
GPX_Staphylococcus,aureus@GSH,1,1,36,72,-6512.87,-10.6195,0.487505
GPX_Staphylococcus,aureus@GSH,1,1,37,77,-6511.86,-9.37431,0.484833
GPX_Staphylococcus,aureus@GSH,1,1,38,79,-6509.76,-7.98477,0.487865
GPX_Staphylococcus,aureus@GSH,1,1,39,80,-6512.09,-7.76011,0.48652
GPX_Staphylococcus,aureus@GSH,1,1,40,81,-6513.22,-9.7664,0.489488
GPX_Staphylococcus,aureus@GSH,1,1,41,83,-6513.62,-9.31144,0.488888
GPX_Staphylococcus,aureus@GSH,1,1,42,86,-6512.42,-8.48307,0.484821
GPX_Staphylococcus,aureus@GSH,1,1,43,89,-6512.49,-10.8835,0.488587
GPX_Staphylococcus,aureus@GSH,1,1,44,93,-6515.07,-10.4693,0.489477
GPX_Staphylococcus,aureus@GSH,1,1,45,94,-6516.06,-10.1772,0.489507
GPX_Staphylococcus,aureus@GSH,1,1,46,97,-6508.49,-9.40925,0.489449
GPX_Staphylococcus,aureus@GSH,1,1,47,99,-6507.74,-7.90992,0.489805
GPX_Staphylococcus,aureus@GSH,1,1,48,100,-6507.17,-8.64704,0.486347
GPX_Staphylococcus,aureus@GSH,1,2,0,0,-6321.76,11.8288,0.48893
GPX_Staphylococcus,aureus@GSH,1,2,1,1,-6494.6,-8.13872,0.491947
GPX_Staphylococcus,aureus@GSH,1,2,2,2,-6494.62,-13.0886,0.483133
GPX_Staphylococcus,aureus@GSH,1,2,3,3,-6517.29,-12.0287,0.489303
GPX_Staphylococcus,aureus@GSH,1,2,4,6,-6517.51,-12.2326,0.488677
GPX_Staphylococcus,aureus@GSH,1,2,5,11,-6515.64,-11.1086,0.487512
GPX_Staphylococcus,aureus@GSH,1,2,6,12,-6520.28,-10.495,0.487758
GPX_Staphylococcus,aureus@GSH,1,2,7,13,-6521.57,-9.85704,0.487169
GPX_Staphylococcus,aureus@GSH,1,2,8,15,-6520.11,-10.4843,0.491173
GPX_Staphylococcus,aureus@GSH,1,2,9,17,-6516.06,-11.7354,0.493395
GPX_Staphylococcus,aureus@GSH,1,2,10,18,-6511.52,-13.5871,0.489471
GPX_Staphylococcus,aureus@GSH,1,2,11,20,-6510.74,-13.1289,0.491544
GPX_Staphylococcus,aureus@GSH,1,2,12,21,-6514.13,-11.9214,0.492837
GPX_Staphylococcus,aureus@GSH,1,2,13,24,-6514.75,-12.1237,0.49231
GPX_Staphylococcus,aureus@GSH,1,2,14,25,-6516.27,-10.9474,0.492819
GPX_Staphylococcus,aureus@GSH,1,2,15,26,-6516.72,-11.8254,0.490797
GPX_Staphylococcus,aureus@GSH,1,2,16,27,-6517.5,-17.7958,0.487513
GPX_Staphylococcus,aureus@GSH,1,2,17,29,-6513.93,-16.9571,0.488349
GPX_Staphylococcus,aureus@GSH,1,2,18,31,-6518.51,-12.3479,0.488581
GPX_Staphylococcus,aureus@GSH,1,2,19,34,-6516.79,-11.4471,0.486325
GPX_Staphylococcus,aureus@GSH,1,2,20,36,-6517.76,-12.0876,0.487537
GPX_Staphylococcus,aureus@GSH,1,2,21,37,-6519.7,-11.2008,0.486765
GPX_Staphylococcus,aureus@GSH,1,2,22,39,-6514.07,-11.086,0.488421
GPX_Staphylococcus,aureus@GSH,1,2,23,40,-6518.71,-11.1429,0.487768
GPX_Staphylococcus,aureus@GSH,1,2,24,42,-6514.8,-11.984,0.485833
GPX_Staphylococcus,aureus@GSH,1,2,25,43,-6516.46,-12.3508,0.490631
GPX_Staphylococcus,aureus@GSH,1,2,26,45,-6516.82,-11.8546,0.488428
GPX_Staphylococcus,aureus@GSH,1,2,27,46,-6515.04,-13.107,0.488703
GPX_Staphylococcus,aureus@GSH,1,2,28,49,-6517.9,-12.5509,0.487617
GPX_Staphylococcus,aureus@GSH,1,2,29,50,-6516.09,-13.0595,0.487433
GPX_Staphylococcus,aureus@GSH,1,2,30,51,-6515.86,-10.4167,0.491594
GPX_Staphylococcus,aureus@GSH,1,2,31,58,-6515.23,-11.9129,0.489446
GPX_Staphylococcus,aureus@GSH,1,2,32,60,-6515.99,-9.94167,0.490935
GPX_Staphylococcus,aureus@GSH,1,2,33,61,-6516.01,-12.137,0.489446
GPX_Staphylococcus,aureus@GSH,1,2,34,63,-6514.46,-11.5578,0.492313
GPX_Staphylococcus,aureus@GSH,1,2,35,64,-6512.34,-13.392,0.492804
GPX_Staphylococcus,aureus@GSH,1,2,36,65,-6516.39,-13.3132,0.489724
GPX_Staphylococcus,aureus@GSH,1,2,37,72,-6513.06,-13.3338,0.490097
GPX_Staphylococcus,aureus@GSH,1,2,38,73,-6511.58,-11.5081,0.490536
GPX_Staphylococcus,aureus@GSH,1,2,39,76,-6513.83,-13.2858,0.490101
GPX_Staphylococcus,aureus@GSH,1,2,40,77,-6513.66,-13.2821,0.490378
GPX_Staphylococcus,aureus@GSH,1,2,41,82,-6513.95,-13.4637,0.490637
GPX_Staphylococcus,aureus@GSH,1,2,42,85,-6513.6,-11.8333,0.49042
GPX_Staphylococcus,aureus@GSH,1,2,43,86,-6512.5,-11.3298,0.491148
GPX_Staphylococcus,aureus@GSH,1,2,44,87,-6509.15,-10.6789,0.495544
GPX_Staphylococcus,aureus@GSH,1,2,45,89,-6511.95,-11.918,0.490842
GPX_Staphylococcus,aureus@GSH,1,2,46,90,-6509.42,-13.8572,0.49131
GPX_Staphylococcus,aureus@GSH,1,2,47,92,-6513.4,-12.7561,0.489369
GPX_Staphylococcus,aureus@GSH,1,2,48,98,-6513.4,-12.727,0.489466
GPX_Staphylococcus,aureus@GSH,1,2,49,99,-6514.73,-12.9168,0.489864
GPX_Staphylococcus,aureus@GSH,1,3,0,0,-6321.76,11.8288,0.48893
GPX_Staphylococcus,aureus@GSH,1,3,1,1,-6517.0,-10.9229,0.486449
GPX_Staphylococcus,aureus@GSH,1,3,2,2,-6518.39,-11.6011,0.483862
GPX_Staphylococcus,aureus@GSH,1,3,3,3,-6522.33,-11.8288,0.487828
GPX_Staphylococcus,aureus@GSH,1,3,4,5,-6521.52,-11.7984,0.486715
GPX_Staphylococcus,aureus@GSH,1,3,5,6,-6521.59,-11.6711,0.488303
GPX_Staphylococcus,aureus@GSH,1,3,6,7,-6522.71,-11.2626,0.489169
GPX_Staphylococcus,aureus@GSH,1,3,7,9,-6522.05,-11.1637,0.487978
GPX_Staphylococcus,aureus@GSH,1,3,8,12,-6522.63,-12.1031,0.488745
GPX_Staphylococcus,aureus@GSH,1,3,9,18,-6523.1,-11.716,0.489688
GPX_Staphylococcus,aureus@GSH,1,3,10,20,-6522.12,-11.159,0.488009
GPX_Staphylococcus,aureus@GSH,1,3,11,23,-6522.01,-11.6937,0.492359
GPX_Staphylococcus,aureus@GSH,1,3,12,27,-6521.15,-10.8168,0.490079
GPX_Staphylococcus,aureus@GSH,1,3,13,28,-6518.68,-12.3497,0.487786
GPX_Staphylococcus,aureus@GSH,1,3,14,30,-6515.79,-11.9528,0.487215
GPX_Staphylococcus,aureus@GSH,1,3,15,31,-6517.71,-9.18011,0.487279
GPX_Staphylococcus,aureus@GSH,1,3,16,33,-6516.04,-10.7175,0.490406
GPX_Staphylococcus,aureus@GSH,1,3,17,34,-6519.97,-12.1112,0.486952
