Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step
GPX_Gossypium,hirsutum@GSH,0,1,0,0
GPX_Gossypium,hirsutum@GSH,0,1,1,1
GPX_Gossypium,hirsutum@GSH,0,2,0,0
GPX_Gossypium,hirsutum@GSH,0,2,1,1
GPX_Gossypium,hirsutum@GSH,0,3,0,0
GPX_Gossypium,hirsutum@GSH,0,3,1,1
GPX_Gossypium,hirsutum@GSH,0,4,0,0
GPX_Gossypium,hirsutum@GSH,0,4,1,1
GPX_Gossypium,hirsutum@GSH,0,5,0,0
GPX_Gossypium,hirsutum@GSH,0,5,1,1
GPX_Gossypium,hirsutum@GSH,0,6,0,0
GPX_Gossypium,hirsutum@GSH,0,6,1,1
GPX_Gossypium,hirsutum@GSH,0,7,0,0
GPX_Gossypium,hirsutum@GSH,0,7,1,1
GPX_Gossypium,hirsutum@GSH,0,8,0,0
GPX_Gossypium,hirsutum@GSH,0,8,1,1
GPX_Gossypium,hirsutum@GSH,0,9,0,0
GPX_Gossypium,hirsutum@GSH,0,9,1,1
GPX_Gossypium,hirsutum@GSH,0,10,0,0
GPX_Gossypium,hirsutum@GSH,0,10,1,1
GPX_Gossypium,hirsutum@GSH,0,11,0,0
GPX_Gossypium,hirsutum@GSH,0,11,1,1
GPX_Gossypium,hirsutum@GSH,0,12,0,0
GPX_Gossypium,hirsutum@GSH,0,12,1,1
GPX_Gossypium,hirsutum@GSH,0,13,0,0
GPX_Gossypium,hirsutum@GSH,0,13,1,1
GPX_Gossypium,hirsutum@GSH,0,14,0,0
GPX_Gossypium,hirsutum@GSH,0,14,1,1
GPX_Gossypium,hirsutum@GSH,0,15,0,0
GPX_Gossypium,hirsutum@GSH,0,15,1,1
GPX_Gossypium,hirsutum@GSH,0,16,0,0
GPX_Gossypium,hirsutum@GSH,0,16,1,1
GPX_Gossypium,hirsutum@GSH,0,17,0,0
GPX_Gossypium,hirsutum@GSH,0,17,1,1
GPX_Gossypium,hirsutum@GSH,0,18,0,0
GPX_Gossypium,hirsutum@GSH,0,18,1,1
GPX_Gossypium,hirsutum@GSH,0,19,0,0
GPX_Gossypium,hirsutum@GSH,0,19,1,1
GPX_Gossypium,hirsutum@GSH,0,20,0,0
GPX_Gossypium,hirsutum@GSH,0,20,1,1
GPX_Gossypium,hirsutum@GSH,0,21,0,0
GPX_Gossypium,hirsutum@GSH,0,21,1,1
GPX_Gossypium,hirsutum@GSH,0,22,0,0
GPX_Gossypium,hirsutum@GSH,0,22,1,1
GPX_Gossypium,hirsutum@GSH,0,23,0,0
GPX_Gossypium,hirsutum@GSH,0,24,0,0
GPX_Gossypium,hirsutum@GSH,0,24,1,1
GPX_Gossypium,hirsutum@GSH,0,25,0,0
GPX_Gossypium,hirsutum@GSH,0,25,1,1
GPX_Gossypium,hirsutum@GSH,0,26,0,0
GPX_Gossypium,hirsutum@GSH,0,26,1,1
GPX_Gossypium,hirsutum@GSH,0,27,0,0
GPX_Gossypium,hirsutum@GSH,0,27,1,1
GPX_Gossypium,hirsutum@GSH,0,28,0,0
GPX_Gossypium,hirsutum@GSH,0,28,1,1
GPX_Gossypium,hirsutum@GSH,0,29,0,0
GPX_Gossypium,hirsutum@GSH,0,29,1,1
GPX_Gossypium,hirsutum@GSH,0,30,0,0
GPX_Gossypium,hirsutum@GSH,0,30,1,1
GPX_Gossypium,hirsutum@GSH,0,31,0,0
GPX_Gossypium,hirsutum@GSH,0,31,1,1
GPX_Gossypium,hirsutum@GSH,0,32,0,0
GPX_Gossypium,hirsutum@GSH,0,32,1,1
GPX_Gossypium,hirsutum@GSH,0,33,0,0
GPX_Gossypium,hirsutum@GSH,0,33,1,1
GPX_Gossypium,hirsutum@GSH,0,34,0,0
GPX_Gossypium,hirsutum@GSH,0,34,1,1
GPX_Gossypium,hirsutum@GSH,0,35,0,0
GPX_Gossypium,hirsutum@GSH,0,35,1,1
GPX_Gossypium,hirsutum@GSH,0,36,0,0
GPX_Gossypium,hirsutum@GSH,0,36,1,1
GPX_Gossypium,hirsutum@GSH,0,37,0,0
GPX_Gossypium,hirsutum@GSH,0,37,1,1
GPX_Gossypium,hirsutum@GSH,0,38,0,0
GPX_Gossypium,hirsutum@GSH,0,38,1,1
GPX_Gossypium,hirsutum@GSH,0,39,0,0
GPX_Gossypium,hirsutum@GSH,0,39,1,1
GPX_Gossypium,hirsutum@GSH,0,40,0,0
GPX_Gossypium,hirsutum@GSH,0,40,1,1
GPX_Gossypium,hirsutum@GSH,0,41,0,0
GPX_Gossypium,hirsutum@GSH,0,41,1,1
GPX_Gossypium,hirsutum@GSH,0,42,0,0
GPX_Gossypium,hirsutum@GSH,0,42,1,1
GPX_Gossypium,hirsutum@GSH,0,43,0,0
GPX_Gossypium,hirsutum@GSH,0,44,0,0
GPX_Gossypium,hirsutum@GSH,0,44,1,1
GPX_Gossypium,hirsutum@GSH,0,45,0,0
GPX_Gossypium,hirsutum@GSH,0,45,1,1
GPX_Gossypium,hirsutum@GSH,0,46,0,0
GPX_Gossypium,hirsutum@GSH,0,46,1,1
GPX_Gossypium,hirsutum@GSH,0,47,0,0
GPX_Gossypium,hirsutum@GSH,0,47,1,1
GPX_Gossypium,hirsutum@GSH,0,48,0,0
GPX_Gossypium,hirsutum@GSH,0,48,1,1
GPX_Gossypium,hirsutum@GSH,0,49,0,0
GPX_Gossypium,hirsutum@GSH,0,49,1,1
GPX_Gossypium,hirsutum@GSH,0,50,0,0
GPX_Gossypium,hirsutum@GSH,0,50,1,1
GPX_Gossypium,hirsutum@GSH,0,51,0,0
GPX_Gossypium,hirsutum@GSH,0,51,1,1
GPX_Gossypium,hirsutum@GSH,0,52,0,0
GPX_Gossypium,hirsutum@GSH,0,52,1,1
GPX_Gossypium,hirsutum@GSH,0,53,0,0
GPX_Gossypium,hirsutum@GSH,0,53,1,1
GPX_Gossypium,hirsutum@GSH,0,54,0,0
GPX_Gossypium,hirsutum@GSH,0,54,1,1
GPX_Gossypium,hirsutum@GSH,0,55,0,0
GPX_Gossypium,hirsutum@GSH,0,55,1,1
GPX_Gossypium,hirsutum@GSH,0,56,0,0
GPX_Gossypium,hirsutum@GSH,0,56,1,1
GPX_Gossypium,hirsutum@GSH,0,57,0,0
GPX_Gossypium,hirsutum@GSH,0,57,1,1
GPX_Gossypium,hirsutum@GSH,0,58,0,0
GPX_Gossypium,hirsutum@GSH,0,58,1,1
GPX_Gossypium,hirsutum@GSH,0,59,0,0
GPX_Gossypium,hirsutum@GSH,0,59,1,1
GPX_Gossypium,hirsutum@GSH,0,60,0,0
GPX_Gossypium,hirsutum@GSH,0,60,1,1
GPX_Gossypium,hirsutum@GSH,0,61,0,0
GPX_Gossypium,hirsutum@GSH,0,61,1,1
GPX_Gossypium,hirsutum@GSH,0,62,0,0
GPX_Gossypium,hirsutum@GSH,0,62,1,1
GPX_Gossypium,hirsutum@GSH,0,63,0,0
GPX_Gossypium,hirsutum@GSH,0,63,1,1
GPX_Gossypium,hirsutum@GSH,0,64,0,0
GPX_Gossypium,hirsutum@GSH,0,64,1,1
GPX_Gossypium,hirsutum@GSH,0,65,0,0
GPX_Gossypium,hirsutum@GSH,0,65,1,1
GPX_Gossypium,hirsutum@GSH,0,66,0,0
GPX_Gossypium,hirsutum@GSH,0,66,1,1
GPX_Gossypium,hirsutum@GSH,0,67,0,0
GPX_Gossypium,hirsutum@GSH,0,67,1,1
GPX_Gossypium,hirsutum@GSH,0,68,0,0
GPX_Gossypium,hirsutum@GSH,0,68,1,1
GPX_Gossypium,hirsutum@GSH,0,69,0,0
GPX_Gossypium,hirsutum@GSH,0,69,1,1
GPX_Gossypium,hirsutum@GSH,0,70,0,0
GPX_Gossypium,hirsutum@GSH,0,70,1,1
GPX_Gossypium,hirsutum@GSH,0,71,0,0
GPX_Gossypium,hirsutum@GSH,0,71,1,1
GPX_Gossypium,hirsutum@GSH,0,72,0,0
GPX_Gossypium,hirsutum@GSH,0,72,1,1
GPX_Gossypium,hirsutum@GSH,0,73,0,0
GPX_Gossypium,hirsutum@GSH,0,73,1,1
GPX_Gossypium,hirsutum@GSH,0,74,0,0
GPX_Gossypium,hirsutum@GSH,0,74,1,1
GPX_Gossypium,hirsutum@GSH,0,75,0,0
GPX_Gossypium,hirsutum@GSH,0,75,1,1
GPX_Gossypium,hirsutum@GSH,0,76,0,0
GPX_Gossypium,hirsutum@GSH,0,76,1,1
GPX_Gossypium,hirsutum@GSH,0,77,0,0
GPX_Gossypium,hirsutum@GSH,0,77,1,1
GPX_Gossypium,hirsutum@GSH,0,78,0,0
GPX_Gossypium,hirsutum@GSH,0,78,1,1
GPX_Gossypium,hirsutum@GSH,0,79,0,0
GPX_Gossypium,hirsutum@GSH,0,79,1,1
GPX_Gossypium,hirsutum@GSH,0,80,0,0
GPX_Gossypium,hirsutum@GSH,0,80,1,1
GPX_Gossypium,hirsutum@GSH,0,81,0,0
GPX_Gossypium,hirsutum@GSH,0,82,0,0
GPX_Gossypium,hirsutum@GSH,0,82,1,1
GPX_Gossypium,hirsutum@GSH,0,83,0,0
GPX_Gossypium,hirsutum@GSH,0,83,1,1
GPX_Gossypium,hirsutum@GSH,0,84,0,0
GPX_Gossypium,hirsutum@GSH,0,84,1,1
GPX_Gossypium,hirsutum@GSH,0,85,0,0
GPX_Gossypium,hirsutum@GSH,0,85,1,1
GPX_Gossypium,hirsutum@GSH,0,86,0,0
GPX_Gossypium,hirsutum@GSH,0,86,1,1
GPX_Gossypium,hirsutum@GSH,0,87,0,0
GPX_Gossypium,hirsutum@GSH,0,87,1,1
GPX_Gossypium,hirsutum@GSH,0,88,0,0
GPX_Gossypium,hirsutum@GSH,0,88,1,1
GPX_Gossypium,hirsutum@GSH,0,89,0,0
GPX_Gossypium,hirsutum@GSH,0,89,1,1
GPX_Gossypium,hirsutum@GSH,0,90,0,0
GPX_Gossypium,hirsutum@GSH,0,90,1,1
GPX_Gossypium,hirsutum@GSH,0,91,0,0
GPX_Gossypium,hirsutum@GSH,0,91,1,1
GPX_Gossypium,hirsutum@GSH,0,92,0,0
GPX_Gossypium,hirsutum@GSH,0,92,1,1
GPX_Gossypium,hirsutum@GSH,0,93,0,0
GPX_Gossypium,hirsutum@GSH,0,93,1,1
GPX_Gossypium,hirsutum@GSH,0,94,0,0
GPX_Gossypium,hirsutum@GSH,0,94,1,1
GPX_Gossypium,hirsutum@GSH,0,95,0,0
GPX_Gossypium,hirsutum@GSH,0,95,1,1
GPX_Gossypium,hirsutum@GSH,1,1,0,0
GPX_Gossypium,hirsutum@GSH,1,1,1,1
GPX_Gossypium,hirsutum@GSH,1,1,2,6
GPX_Gossypium,hirsutum@GSH,1,1,3,18
GPX_Gossypium,hirsutum@GSH,1,1,4,19
GPX_Gossypium,hirsutum@GSH,1,1,5,21
GPX_Gossypium,hirsutum@GSH,1,1,6,23
GPX_Gossypium,hirsutum@GSH,1,1,7,29
GPX_Gossypium,hirsutum@GSH,1,1,8,33
GPX_Gossypium,hirsutum@GSH,1,1,9,34
GPX_Gossypium,hirsutum@GSH,1,1,10,37
GPX_Gossypium,hirsutum@GSH,1,1,11,43
GPX_Gossypium,hirsutum@GSH,1,1,12,44
GPX_Gossypium,hirsutum@GSH,1,1,13,45
GPX_Gossypium,hirsutum@GSH,1,1,14,47
GPX_Gossypium,hirsutum@GSH,1,1,15,49
GPX_Gossypium,hirsutum@GSH,1,1,16,51
GPX_Gossypium,hirsutum@GSH,1,1,17,57
GPX_Gossypium,hirsutum@GSH,1,1,18,73
GPX_Gossypium,hirsutum@GSH,1,1,19,77
GPX_Gossypium,hirsutum@GSH,1,1,20,89
GPX_Gossypium,hirsutum@GSH,1,2,0,0
GPX_Gossypium,hirsutum@GSH,1,2,1,1
GPX_Gossypium,hirsutum@GSH,1,2,2,9
GPX_Gossypium,hirsutum@GSH,1,2,3,11
GPX_Gossypium,hirsutum@GSH,1,2,4,14
GPX_Gossypium,hirsutum@GSH,1,2,5,16
GPX_Gossypium,hirsutum@GSH,1,2,6,17
GPX_Gossypium,hirsutum@GSH,1,2,7,21
GPX_Gossypium,hirsutum@GSH,1,2,8,31
GPX_Gossypium,hirsutum@GSH,1,2,9,37
GPX_Gossypium,hirsutum@GSH,1,2,10,42
GPX_Gossypium,hirsutum@GSH,1,2,11,51
GPX_Gossypium,hirsutum@GSH,1,2,12,57
GPX_Gossypium,hirsutum@GSH,1,2,13,64
GPX_Gossypium,hirsutum@GSH,1,2,14,69
GPX_Gossypium,hirsutum@GSH,1,2,15,72
GPX_Gossypium,hirsutum@GSH,1,2,16,73
GPX_Gossypium,hirsutum@GSH,1,2,17,79
GPX_Gossypium,hirsutum@GSH,1,2,18,84
GPX_Gossypium,hirsutum@GSH,1,2,19,85
GPX_Gossypium,hirsutum@GSH,1,2,20,89
GPX_Gossypium,hirsutum@GSH,1,3,0,0
GPX_Gossypium,hirsutum@GSH,1,3,1,1
GPX_Gossypium,hirsutum@GSH,1,3,2,2
GPX_Gossypium,hirsutum@GSH,1,3,3,3
GPX_Gossypium,hirsutum@GSH,1,3,4,5
GPX_Gossypium,hirsutum@GSH,1,3,5,7
GPX_Gossypium,hirsutum@GSH,1,3,6,9
GPX_Gossypium,hirsutum@GSH,1,3,7,11
GPX_Gossypium,hirsutum@GSH,1,3,8,12
GPX_Gossypium,hirsutum@GSH,1,3,9,16
GPX_Gossypium,hirsutum@GSH,1,3,10,24
GPX_Gossypium,hirsutum@GSH,1,3,11,27
GPX_Gossypium,hirsutum@GSH,1,3,12,29
GPX_Gossypium,hirsutum@GSH,1,3,13,49
GPX_Gossypium,hirsutum@GSH,1,3,14,53
GPX_Gossypium,hirsutum@GSH,1,3,15,54
GPX_Gossypium,hirsutum@GSH,1,3,16,61
GPX_Gossypium,hirsutum@GSH,1,3,17,63
GPX_Gossypium,hirsutum@GSH,1,3,18,64
GPX_Gossypium,hirsutum@GSH,1,3,19,65
GPX_Gossypium,hirsutum@GSH,1,3,20,67
GPX_Gossypium,hirsutum@GSH,1,3,21,68
GPX_Gossypium,hirsutum@GSH,1,3,22,73
GPX_Gossypium,hirsutum@GSH,1,3,23,77
GPX_Gossypium,hirsutum@GSH,1,3,24,78
GPX_Gossypium,hirsutum@GSH,1,3,25,80
GPX_Gossypium,hirsutum@GSH,1,3,26,81
GPX_Gossypium,hirsutum@GSH,1,3,27,82
GPX_Gossypium,hirsutum@GSH,1,3,28,83
GPX_Gossypium,hirsutum@GSH,1,3,29,85
GPX_Gossypium,hirsutum@GSH,1,3,30,89
GPX_Gossypium,hirsutum@GSH,1,3,31,96
GPX_Gossypium,hirsutum@GSH,1,3,32,97
GPX_Gossypium,hirsutum@GSH,1,3,33,99
GPX_Gossypium,hirsutum@GSH,1,4,0,0
GPX_Gossypium,hirsutum@GSH,1,4,1,1
GPX_Gossypium,hirsutum@GSH,1,4,2,3
GPX_Gossypium,hirsutum@GSH,1,4,3,4
GPX_Gossypium,hirsutum@GSH,1,4,4,5
GPX_Gossypium,hirsutum@GSH,1,4,5,6
GPX_Gossypium,hirsutum@GSH,1,4,6,8
GPX_Gossypium,hirsutum@GSH,1,4,7,13
GPX_Gossypium,hirsutum@GSH,1,4,8,14
GPX_Gossypium,hirsutum@GSH,1,4,9,17
GPX_Gossypium,hirsutum@GSH,1,4,10,18
GPX_Gossypium,hirsutum@GSH,1,4,11,21
GPX_Gossypium,hirsutum@GSH,1,4,12,33
GPX_Gossypium,hirsutum@GSH,1,4,13,36
GPX_Gossypium,hirsutum@GSH,1,4,14,44
GPX_Gossypium,hirsutum@GSH,1,4,15,50
GPX_Gossypium,hirsutum@GSH,1,4,16,55
GPX_Gossypium,hirsutum@GSH,1,4,17,59
GPX_Gossypium,hirsutum@GSH,1,4,18,61
GPX_Gossypium,hirsutum@GSH,1,4,19,68
GPX_Gossypium,hirsutum@GSH,1,4,20,78
GPX_Gossypium,hirsutum@GSH,1,4,21,80
GPX_Gossypium,hirsutum@GSH,1,4,22,81
GPX_Gossypium,hirsutum@GSH,1,4,23,88
GPX_Gossypium,hirsutum@GSH,1,4,24,93
GPX_Gossypium,hirsutum@GSH,1,4,25,94
GPX_Gossypium,hirsutum@GSH,1,4,26,97
GPX_Gossypium,hirsutum@GSH,1,5,0,0
GPX_Gossypium,hirsutum@GSH,1,5,1,1
GPX_Gossypium,hirsutum@GSH,1,5,2,3
GPX_Gossypium,hirsutum@GSH,1,5,3,7
GPX_Gossypium,hirsutum@GSH,1,5,4,12
GPX_Gossypium,hirsutum@GSH,1,5,5,17
GPX_Gossypium,hirsutum@GSH,1,5,6,22
GPX_Gossypium,hirsutum@GSH,1,5,7,35
GPX_Gossypium,hirsutum@GSH,1,5,8,60
GPX_Gossypium,hirsutum@GSH,1,5,9,61
GPX_Gossypium,hirsutum@GSH,1,5,10,62
GPX_Gossypium,hirsutum@GSH,1,5,11,65
GPX_Gossypium,hirsutum@GSH,1,5,12,69
GPX_Gossypium,hirsutum@GSH,1,5,13,70
GPX_Gossypium,hirsutum@GSH,1,5,14,75
GPX_Gossypium,hirsutum@GSH,1,5,15,76
GPX_Gossypium,hirsutum@GSH,1,5,16,79
GPX_Gossypium,hirsutum@GSH,1,5,17,83
GPX_Gossypium,hirsutum@GSH,1,5,18,84
GPX_Gossypium,hirsutum@GSH,1,5,19,85
GPX_Gossypium,hirsutum@GSH,1,5,20,95
GPX_Gossypium,hirsutum@GSH,1,5,21,98
GPX_Gossypium,hirsutum@GSH,1,6,0,0
GPX_Gossypium,hirsutum@GSH,1,6,1,1
GPX_Gossypium,hirsutum@GSH,1,6,2,9
GPX_Gossypium,hirsutum@GSH,1,6,3,13
GPX_Gossypium,hirsutum@GSH,1,6,4,15
GPX_Gossypium,hirsutum@GSH,1,6,5,19
GPX_Gossypium,hirsutum@GSH,1,6,6,21
GPX_Gossypium,hirsutum@GSH,1,6,7,22
GPX_Gossypium,hirsutum@GSH,1,6,8,24
GPX_Gossypium,hirsutum@GSH,1,6,9,25
GPX_Gossypium,hirsutum@GSH,1,6,10,28
GPX_Gossypium,hirsutum@GSH,1,6,11,31
GPX_Gossypium,hirsutum@GSH,1,6,12,32
GPX_Gossypium,hirsutum@GSH,1,6,13,33
GPX_Gossypium,hirsutum@GSH,1,6,14,34
GPX_Gossypium,hirsutum@GSH,1,6,15,42
GPX_Gossypium,hirsutum@GSH,1,6,16,44
GPX_Gossypium,hirsutum@GSH,1,6,17,48
GPX_Gossypium,hirsutum@GSH,1,6,18,50
GPX_Gossypium,hirsutum@GSH,1,6,19,51
GPX_Gossypium,hirsutum@GSH,1,6,20,55
GPX_Gossypium,hirsutum@GSH,1,6,21,57
GPX_Gossypium,hirsutum@GSH,1,6,22,58
GPX_Gossypium,hirsutum@GSH,1,6,23,60
GPX_Gossypium,hirsutum@GSH,1,6,24,61
GPX_Gossypium,hirsutum@GSH,1,6,25,72
GPX_Gossypium,hirsutum@GSH,1,6,26,82
GPX_Gossypium,hirsutum@GSH,1,6,27,97
GPX_Gossypium,hirsutum@GSH,1,7,0,0
GPX_Gossypium,hirsutum@GSH,1,7,1,1
GPX_Gossypium,hirsutum@GSH,1,7,2,3
GPX_Gossypium,hirsutum@GSH,1,7,3,4
GPX_Gossypium,hirsutum@GSH,1,7,4,6
GPX_Gossypium,hirsutum@GSH,1,7,5,8
GPX_Gossypium,hirsutum@GSH,1,7,6,11
GPX_Gossypium,hirsutum@GSH,1,7,7,13
GPX_Gossypium,hirsutum@GSH,1,7,8,19
GPX_Gossypium,hirsutum@GSH,1,7,9,20
GPX_Gossypium,hirsutum@GSH,1,7,10,21
GPX_Gossypium,hirsutum@GSH,1,7,11,23
GPX_Gossypium,hirsutum@GSH,1,7,12,25
GPX_Gossypium,hirsutum@GSH,1,7,13,32
GPX_Gossypium,hirsutum@GSH,1,7,14,33
GPX_Gossypium,hirsutum@GSH,1,7,15,34
GPX_Gossypium,hirsutum@GSH,1,7,16,35
GPX_Gossypium,hirsutum@GSH,1,7,17,37
GPX_Gossypium,hirsutum@GSH,1,7,18,47
GPX_Gossypium,hirsutum@GSH,1,7,19,63
GPX_Gossypium,hirsutum@GSH,1,7,20,65
GPX_Gossypium,hirsutum@GSH,1,7,21,71
GPX_Gossypium,hirsutum@GSH,1,7,22,73
GPX_Gossypium,hirsutum@GSH,1,7,23,92
GPX_Gossypium,hirsutum@GSH,1,7,24,95
GPX_Gossypium,hirsutum@GSH,1,7,25,96
GPX_Gossypium,hirsutum@GSH,1,8,0,0
GPX_Gossypium,hirsutum@GSH,1,8,1,1
GPX_Gossypium,hirsutum@GSH,1,8,2,2
GPX_Gossypium,hirsutum@GSH,1,8,3,3
GPX_Gossypium,hirsutum@GSH,1,8,4,5
GPX_Gossypium,hirsutum@GSH,1,8,5,6
GPX_Gossypium,hirsutum@GSH,1,8,6,8
GPX_Gossypium,hirsutum@GSH,1,8,7,9
GPX_Gossypium,hirsutum@GSH,1,8,8,17
GPX_Gossypium,hirsutum@GSH,1,8,9,18
GPX_Gossypium,hirsutum@GSH,1,8,10,19
