Protein,Ligand,Pose,A35SG-S1
GPX_Neisseria-meningitidis,GSH,1,10.526808807066129
GPX_Neisseria-meningitidis,GSH,2,10.37465694873064
GPX_Neisseria-meningitidis,GSH,3,7.818726636925032
GPX_Neisseria-meningitidis,GSH,4,9.637886042130246
GPX_Neisseria-meningitidis,GSH,5,10.38929771815386
GPX_Neisseria-meningitidis,GSH,6,10.148173616818791
GPX_Neisseria-meningitidis,GSH,7,10.544083598447093
GPX_Neisseria-meningitidis,GSH,8,10.481645861569737
GPX_Neisseria-meningitidis,GSH,9,10.337037809260979
GPX_Neisseria-meningitidis,GSH,10,10.583077424711679
GPX_Neisseria-meningitidis,GSH,11,7.304391477515289
GPX_Neisseria-meningitidis,GSH,12,9.114858987552303
GPX_Neisseria-meningitidis,GSH,13,10.272123605036205
GPX_Neisseria-meningitidis,GSH,14,5.597697513657736
GPX_Neisseria-meningitidis,GSH,15,6.387556242163665
GPX_Neisseria-meningitidis,GSH,16,7.772405612083044
GPX_Neisseria-meningitidis,GSH,17,10.842896009946097
GPX_Neisseria-meningitidis,GSH,18,11.126137258965215
GPX_Neisseria-meningitidis,GSH,19,7.354106004150743
GPX_Neisseria-meningitidis,GSH,20,7.87559238576972
GPX_Neisseria-meningitidis,GSH,21,7.003893792518986
GPX_Neisseria-meningitidis,GSH,22,7.688698225357203
GPX_Neisseria-meningitidis,GSH,23,7.0609939288616435
GPX_Neisseria-meningitidis,GSH,24,8.200944721417466
GPX_Neisseria-meningitidis,GSH,25,7.382116727802264
GPX_Neisseria-meningitidis,GSH,26,10.143373824820122
GPX_Neisseria-meningitidis,GSH,27,7.658954962980328
GPX_Neisseria-meningitidis,GSH,28,6.4103379346000935
GPX_Neisseria-meningitidis,GSH,29,9.195600721721066
GPX_Neisseria-meningitidis,GSH,30,9.701219201870558
GPX_Neisseria-meningitidis,GSH,31,5.763261373864196
GPX_Neisseria-meningitidis,GSH,32,10.409083478936799
GPX_Neisseria-meningitidis,GSH,33,7.573964909541764
