Protein,Ligand,Pose,Score,RMSD,SASA
GPX_Gossypium-hirsutum,GSH,1,-4.85980276878053,0.0,267.6452218088211
GPX_Gossypium-hirsutum,GSH,2,-4.68662606248186,0.13098749560351394,267.0538504421991
GPX_Gossypium-hirsutum,GSH,3,-4.61483792529032,0.1136462995110234,274.0192297987548
GPX_Gossypium-hirsutum,GSH,4,-4.60442173737435,0.14766112888414387,279.4817015766638
GPX_Gossypium-hirsutum,GSH,5,-4.50946972048055,0.18239394061314407,266.21574709937937
GPX_Gossypium-hirsutum,GSH,6,-4.47304387575706,0.16659221693962759,282.35297260531377
GPX_Gossypium-hirsutum,GSH,7,-4.4489862761316,0.14369049919171245,289.01210643510655
GPX_Gossypium-hirsutum,GSH,8,-4.39983691309505,0.1544629133562748,285.8766492290613
GPX_Gossypium-hirsutum,GSH,9,-4.39637014493926,0.1568183648098561,290.9414271889305
GPX_Gossypium-hirsutum,GSH,10,-4.38955999427452,0.1632964909145013,278.1840032927875
GPX_Gossypium-hirsutum,GSH,11,-4.37245197850027,0.18107966128959163,283.5161122422965
GPX_Gossypium-hirsutum,GSH,12,-4.37199902779694,0.31455705618857444,278.58024066009904
GPX_Gossypium-hirsutum,GSH,13,-4.3681934136534,0.18793212447456695,281.66058134615326
GPX_Gossypium-hirsutum,GSH,14,-4.36240614690232,0.32459907435512203,282.8562071257422
GPX_Gossypium-hirsutum,GSH,15,-4.36160715016197,0.20622349062714868,275.1208066396842
GPX_Gossypium-hirsutum,GSH,16,-4.33954523059511,0.1939413694411649,284.2392800754903
GPX_Gossypium-hirsutum,GSH,17,-4.31855304455285,0.1426508834851855,286.632239027012
GPX_Gossypium-hirsutum,GSH,18,-4.30228846924672,0.08343921934671424,258.25014804958016
GPX_Gossypium-hirsutum,GSH,19,-4.27150236632357,0.2944599222326118,288.1124966982978
GPX_Gossypium-hirsutum,GSH,20,-4.16855853360888,0.3053772341632913,283.1803727647744
GPX_Gossypium-hirsutum,GSH,21,-4.16047545273023,0.17377865872491674,288.77159508826514
GPX_Gossypium-hirsutum,GSH,22,-4.14697363541719,0.20682182981509742,263.63951337236205
GPX_Gossypium-hirsutum,GSH,23,-4.13897842352872,0.2317000623897158,272.3844456509721
GPX_Gossypium-hirsutum,GSH,24,-4.12561724844495,0.20897884063132702,306.25276912015903
GPX_Gossypium-hirsutum,GSH,25,-4.11882989979725,0.26389221756652265,279.6515668619632
GPX_Gossypium-hirsutum,GSH,26,-4.10786245358715,0.2096018418027053,269.2849764405235
GPX_Gossypium-hirsutum,GSH,27,-4.07274424413215,0.27258176608214024,281.58774172013557
GPX_Gossypium-hirsutum,GSH,28,-4.0710843210357,0.19414766570709704,263.99393916957035
GPX_Gossypium-hirsutum,GSH,29,-4.06119424063353,0.24742632717283844,293.582107334615
GPX_Gossypium-hirsutum,GSH,30,-4.04893593297582,0.15926444032463735,276.4205242233119
