Protein,Ligand,Pose,Score,RMSD,SASA
GPX_Neisseria-meningitidis,GSH,1,-6.08383733346469,0.0,130.1617673764225
GPX_Neisseria-meningitidis,GSH,2,-5.95305368419435,0.25628635908200564,141.90632046024263
GPX_Neisseria-meningitidis,GSH,3,-5.88341787217181,0.2101673119666351,153.18010006844256
GPX_Neisseria-meningitidis,GSH,4,-5.85144104308059,0.19158865843409864,142.5559261686452
GPX_Neisseria-meningitidis,GSH,5,-5.81789994780223,0.24597979669860673,141.88618147219836
GPX_Neisseria-meningitidis,GSH,6,-5.73307401977952,0.24634345551872755,141.74836534211363
GPX_Neisseria-meningitidis,GSH,7,-5.58496222550321,0.23718452235496063,133.71120889676203
GPX_Neisseria-meningitidis,GSH,8,-5.5843550647494,0.21115583737333507,136.59563562856587
GPX_Neisseria-meningitidis,GSH,9,-5.14544921149993,0.26106820077888837,139.89555508308555
GPX_Neisseria-meningitidis,GSH,10,-5.14351106459563,0.22130499656104716,141.0713572859416
GPX_Neisseria-meningitidis,GSH,11,-5.10459259900232,0.29833663834067764,143.221725333308
GPX_Neisseria-meningitidis,GSH,12,-4.81425267071408,0.3061557663193561,164.08656261584107
GPX_Neisseria-meningitidis,GSH,13,-4.73962995035283,0.7901785048414024,176.43682221577234
GPX_Neisseria-meningitidis,GSH,14,-4.66521429938668,0.940949780858529,169.3638290694977
GPX_Neisseria-meningitidis,GSH,15,-4.62026783613621,0.914537628832156,160.22750090918632
GPX_Neisseria-meningitidis,GSH,16,-4.59601591839855,0.8877517217938902,171.8250648366333
GPX_Neisseria-meningitidis,GSH,17,-4.39059088843356,0.15945545234920638,134.3450849160234
GPX_Neisseria-meningitidis,GSH,18,-4.37723807736729,0.7739579413485133,167.57764502007905
GPX_Neisseria-meningitidis,GSH,19,-4.32654957924437,1.109769605744503,231.676541276546
GPX_Neisseria-meningitidis,GSH,20,-4.2322234240485,0.8472005916326748,179.03930190425467
GPX_Neisseria-meningitidis,GSH,21,-4.17026783402949,0.8774535300949485,170.0861426739256
GPX_Neisseria-meningitidis,GSH,22,-4.16762718015266,0.8106280965369191,179.98215197582033
GPX_Neisseria-meningitidis,GSH,23,-4.12917982411862,0.8555005837927377,178.25328700409983
GPX_Neisseria-meningitidis,GSH,24,-4.11787746420444,0.8543571581850914,177.58337540099768
GPX_Neisseria-meningitidis,GSH,25,-4.0871052224487,0.4509126358717874,162.2587872190702
GPX_Neisseria-meningitidis,GSH,26,-4.07207184643359,0.23509779750762863,161.57176885695532
GPX_Neisseria-meningitidis,GSH,27,-4.06896548109335,0.8392386793004402,198.65434011851593
GPX_Neisseria-meningitidis,GSH,28,-3.9905438902631,0.9401062709346181,184.1537695692428
GPX_Neisseria-meningitidis,GSH,29,-3.91688167979572,0.26030478482210834,168.41231844017756
GPX_Neisseria-meningitidis,GSH,30,-3.89860039930731,0.8342308799073656,148.75190150421395
GPX_Neisseria-meningitidis,GSH,31,-3.88974494837314,0.9479331536922546,176.47397795185717
GPX_Neisseria-meningitidis,GSH,32,-3.84187498325537,0.24133000771153312,146.64977163542005
GPX_Neisseria-meningitidis,GSH,33,-3.78430468357019,1.0074310716789332,205.42092582946563
GPX_Neisseria-meningitidis,GSH,34,-3.77146096398206,1.0686694597108264,224.11791837680906
GPX_Neisseria-meningitidis,GSH,35,-3.75220780718254,1.079078182760003,233.94430918019094
GPX_Neisseria-meningitidis,GSH,36,-3.75177501505221,1.0942402064614416,225.09145812191068
GPX_Neisseria-meningitidis,GSH,37,-3.74214205738101,1.1244393259429242,245.519424984882
GPX_Neisseria-meningitidis,GSH,38,-3.73721857109146,0.33669701176688477,174.60584261711705
GPX_Neisseria-meningitidis,GSH,39,-3.70633098396127,0.9178973810299671,163.977559221657
GPX_Neisseria-meningitidis,GSH,40,-3.69906820332999,0.5774305094618496,162.16905076988914
GPX_Neisseria-meningitidis,GSH,41,-3.6850512241539,0.9141318028100454,165.11133518894107
GPX_Neisseria-meningitidis,GSH,42,-3.67466932871743,0.9999825461750045,210.39679437577968
GPX_Neisseria-meningitidis,GSH,43,-3.65070723933177,0.3587738463114001,178.299915464085
GPX_Neisseria-meningitidis,GSH,44,-3.64721153246225,0.20892459486313322,168.63939246411107
GPX_Neisseria-meningitidis,GSH,45,-3.64663727939873,0.4353541756363663,162.72505602292705
GPX_Neisseria-meningitidis,GSH,46,-3.61428947580485,0.48803507505051436,172.33007831966597
GPX_Neisseria-meningitidis,GSH,47,-3.59675510121674,0.19545602397235853,164.70846856446687
GPX_Neisseria-meningitidis,GSH,48,-3.59367650393571,0.7706118785003537,168.14907207993238
GPX_Neisseria-meningitidis,GSH,49,-3.57819378181533,1.1570195289921736,191.12626453019436
GPX_Neisseria-meningitidis,GSH,50,-3.55658855991475,0.808683217994761,169.21925729232504
GPX_Neisseria-meningitidis,GSH,51,-3.54479447554059,0.8396140964154658,182.51631264315276
GPX_Neisseria-meningitidis,GSH,52,-3.53655464693555,0.8917462202134805,174.3460025411392
GPX_Neisseria-meningitidis,GSH,53,-3.50027136693916,1.20446958106004,202.90432870173575
GPX_Neisseria-meningitidis,GSH,54,-3.45256096128016,0.9066560662239458,182.5327659055021
GPX_Neisseria-meningitidis,GSH,55,-3.44106318202751,1.0253412761841667,221.1639627750444
GPX_Neisseria-meningitidis,GSH,56,-3.400239325756,1.028042544177485,228.94839036813292
GPX_Neisseria-meningitidis,GSH,57,-3.39848285068131,0.8618979750365362,169.87793910129855
GPX_Neisseria-meningitidis,GSH,58,-3.39684019101136,0.8389468297919197,157.84067759141166
GPX_Neisseria-meningitidis,GSH,59,-3.39385984341461,0.4552127887281734,152.90100958424767
GPX_Neisseria-meningitidis,GSH,60,-3.33594627808699,1.1733391222743197,273.94465250176586
GPX_Neisseria-meningitidis,GSH,61,-3.32538609777508,1.1729121900505808,219.42728027606842
GPX_Neisseria-meningitidis,GSH,62,-3.32106096747124,1.082260082083708,220.697271279884
GPX_Neisseria-meningitidis,GSH,63,-3.30325031002527,1.1780278565980518,236.432840759873
GPX_Neisseria-meningitidis,GSH,64,-3.29977358853667,0.5272197522906913,169.4930331244234
GPX_Neisseria-meningitidis,GSH,65,-3.28764044600191,0.8797215742819263,168.39481506289619
GPX_Neisseria-meningitidis,GSH,66,-3.25562477493335,0.4770777152009841,168.3324820716918
GPX_Neisseria-meningitidis,GSH,67,-3.25356093755874,0.8008292175271254,195.5208164469411
GPX_Neisseria-meningitidis,GSH,68,-3.25122776317522,1.0653107866800635,210.634538547586
GPX_Neisseria-meningitidis,GSH,69,-3.24944630172585,0.7972781017143855,189.59620849755328
GPX_Neisseria-meningitidis,GSH,70,-3.24904793683067,0.9002296834310403,161.6068707735709
GPX_Neisseria-meningitidis,GSH,71,-3.23983373010044,0.4908858179049426,164.43778342570886
GPX_Neisseria-meningitidis,GSH,72,-3.23519007099156,0.5285411786340586,170.4630762696963
GPX_Neisseria-meningitidis,GSH,73,-3.1960035604602,0.28420451169873323,177.4719157249691
GPX_Neisseria-meningitidis,GSH,74,-3.18047335275657,1.2704065886706937,218.2016413542256
GPX_Neisseria-meningitidis,GSH,75,-3.17987775706627,1.088724654237495,184.8216923778766
GPX_Neisseria-meningitidis,GSH,76,-3.14991171093546,0.48369411069201423,160.13845278160838
GPX_Neisseria-meningitidis,GSH,77,-3.11009767413839,1.2082439793887871,204.63304876442965
GPX_Neisseria-meningitidis,GSH,78,-3.09861683068127,1.1440487812381908,252.1092448262723
GPX_Neisseria-meningitidis,GSH,79,-3.09801249907769,1.1723050108682516,259.78893010232514
GPX_Neisseria-meningitidis,GSH,80,-3.09286227058815,0.984264948483867,190.85582140985346
GPX_Neisseria-meningitidis,GSH,81,-3.06713724471203,0.433034279564768,165.077891878421
GPX_Neisseria-meningitidis,GSH,82,-3.04743688996963,1.011522608082085,196.98708828903148
GPX_Neisseria-meningitidis,GSH,83,-3.04493670452773,0.3758642109799718,189.46529592746117
GPX_Neisseria-meningitidis,GSH,84,-3.01010049438246,1.303541581042207,217.49274059305617
GPX_Neisseria-meningitidis,GSH,85,-2.98955732945831,0.3216807095308653,176.0297710042921
GPX_Neisseria-meningitidis,GSH,86,-2.95980061534205,1.1443705827190491,243.52085406501809
GPX_Neisseria-meningitidis,GSH,87,-2.93013292879926,0.9716073746060204,199.216233100077
GPX_Neisseria-meningitidis,GSH,88,-2.92017215339068,1.109253744791979,232.86379268627132
GPX_Neisseria-meningitidis,GSH,89,-2.77193428233979,1.279548430137106,221.30984113839168
GPX_Neisseria-meningitidis,GSH,90,-2.66460469052487,0.41533597560126584,199.41874097329438
GPX_Neisseria-meningitidis,GSH,91,-2.63152717989992,0.4130804678751657,173.21982317338265
GPX_Neisseria-meningitidis,GSH,92,-2.51891415800672,1.1193642451160382,249.13136005341732
GPX_Neisseria-meningitidis,GSH,93,-2.44660481716972,0.7673503121460125,205.22709107952147
