Protein,Ligand,Pose,Score,RMSD,SASA
GPX_Staphylococcus-aureus,GSH,1,-4.33403990237611,0.0,269.46549609199246
GPX_Staphylococcus-aureus,GSH,2,-4.25003972586616,0.1026281123516701,271.52025998876223
GPX_Staphylococcus-aureus,GSH,3,-4.03054145102604,0.9227099103196787,245.12680961632145
GPX_Staphylococcus-aureus,GSH,4,-4.01819404085996,0.9658343649857764,292.02054513029753
GPX_Staphylococcus-aureus,GSH,5,-4.01136362990287,0.8827018708714562,261.5164992115259
GPX_Staphylococcus-aureus,GSH,6,-3.97160594208911,0.3564217700069076,258.2828469185786
GPX_Staphylococcus-aureus,GSH,7,-3.97091591584963,0.3789349695193499,251.4764565155174
GPX_Staphylococcus-aureus,GSH,8,-3.95913546599231,0.9578118720533045,290.0041115340592
GPX_Staphylococcus-aureus,GSH,9,-3.92478930531821,0.9123785897411572,230.96125818923537
GPX_Staphylococcus-aureus,GSH,10,-3.84156071231216,0.3759612918741725,258.5920388211454
GPX_Staphylococcus-aureus,GSH,11,-3.81755916781782,0.9490369843872098,294.4925146017006
GPX_Staphylococcus-aureus,GSH,12,-3.80565717293592,0.9221042289297203,274.9171692171898
GPX_Staphylococcus-aureus,GSH,13,-3.80173925716065,0.9281847982255884,264.32623152478396
GPX_Staphylococcus-aureus,GSH,14,-3.76647716946899,0.14776873715406028,276.39849479102327
GPX_Staphylococcus-aureus,GSH,15,-3.73822195731706,0.8965558502712292,254.49550919316695
GPX_Staphylococcus-aureus,GSH,16,-3.73019376503387,0.3731760655810312,251.18610228226035
GPX_Staphylococcus-aureus,GSH,17,-3.71043880247644,0.3900781448708065,258.6371537603352
GPX_Staphylococcus-aureus,GSH,18,-3.70225057930411,0.36274033199840167,249.34192316387853
GPX_Staphylococcus-aureus,GSH,19,-3.6850123189625,0.370694871584638,248.3106299346322
GPX_Staphylococcus-aureus,GSH,20,-3.68451423198002,0.8938179959804368,239.34173519274995
GPX_Staphylococcus-aureus,GSH,21,-3.64019304657555,0.8968652721087604,245.2515595798762
GPX_Staphylococcus-aureus,GSH,22,-3.63369909899238,0.14439102826415234,284.9180794368368
GPX_Staphylococcus-aureus,GSH,23,-3.61719709883773,0.887698831880204,273.7367657188546
GPX_Staphylococcus-aureus,GSH,24,-3.60831897348135,0.9182661534901111,277.92067291746355
GPX_Staphylococcus-aureus,GSH,25,-3.6079841692968,0.898861331921142,243.24771858673677
GPX_Staphylococcus-aureus,GSH,26,-3.57508150090032,0.9662328983060079,292.76362321060293
GPX_Staphylococcus-aureus,GSH,27,-3.5675592694548,0.23092853740440306,288.33666214348824
GPX_Staphylococcus-aureus,GSH,28,-3.5346730669369,0.9297837457051553,237.39024930780573
GPX_Staphylococcus-aureus,GSH,29,-3.51891910478353,0.9578786685498499,286.8372961176783
GPX_Staphylococcus-aureus,GSH,30,-3.49535236767788,0.9357632458745423,281.30370132160107
GPX_Staphylococcus-aureus,GSH,31,-3.48670869947169,0.9448013020747865,295.187214915523
GPX_Staphylococcus-aureus,GSH,32,-3.46760667981761,0.9234725304167707,278.44183194662753
GPX_Staphylococcus-aureus,GSH,33,-3.44669950868365,0.8579571427935607,247.4617762669615
GPX_Staphylococcus-aureus,GSH,34,-3.43987210638077,0.9672923619126612,306.9730384137881
GPX_Staphylococcus-aureus,GSH,35,-3.42610207061625,0.8787960232535982,242.87296040564087
