SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.78,-3.97092,"GPX_Staphylococcus-aureus",-3.97092,-0.253729,-0.765664,-0,-1.60931,-17.5898,-14.6491,1.7819,-0.0472615,-44.8128,-32.2389,3.26798
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.78,-4.33404,"GPX_Staphylococcus-aureus",-4.33404,-0.349815,-0.972662,-0,-1.47421,-15.1227,-16.3212,1.7819,-0.114942,-44.2684,-31.4439,5.34518
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.78,-3.73019,"GPX_Staphylococcus-aureus",-3.73019,-0.27607,-0.552236,-0,-1.61818,-17.9733,-14.1463,1.7819,-0.0449967,-43.9915,-32.1196,2.94788
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.79,-3.71044,"GPX_Staphylococcus-aureus",-3.71044,-0.26883,-0.547084,-0,-1.62443,-17.9143,-14.0733,1.7819,-0.0452974,-43.3426,-31.9875,3.83932
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.79,-3.97161,"GPX_Staphylococcus-aureus",-3.97161,-0.233598,-0.785893,-0,-1.62886,-16.0121,-15.0836,1.7819,-0.0420195,-42.952,-31.0957,4.70344
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.79,-4.25004,"GPX_Staphylococcus-aureus",-4.25004,-0.29079,-0.984458,-0,-1.54083,-15.0711,-15.7959,1.7819,-0.0929281,-42.8064,-30.867,6.50523
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.79,-3.68501,"GPX_Staphylococcus-aureus",-3.68501,-0.239075,-0.467411,-0,-1.68,-17.6698,-14.4388,1.7819,-0.031127,-42.6032,-32.1085,5.37964
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.79,-3.70225,"GPX_Staphylococcus-aureus",-3.70225,-0.257208,-0.465158,-0,-1.68426,-17.6693,-14.3935,1.7819,-0.0350421,-42.5961,-32.0628,5.4258
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.79,-4.01819,"GPX_Staphylococcus-aureus",-4.01819,-0.139341,-0.706861,-0,-1.5102,-12.9674,-18.3111,1.7819,-0.0486643,-41.8981,-31.2785,7.51484
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.79,-3.92479,"GPX_Staphylococcus-aureus",-3.92479,-0.265416,-0.689197,-0,-1.72904,-16.2792,-14.3752,1.7819,-0.0528032,-41.0818,-30.6543,7.23053
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.79,-3.80174,"GPX_Staphylococcus-aureus",-3.80174,-0.17086,-0.714316,-0,-1.57091,-13.1149,-16.1874,1.7819,-0.0437109,-40.6647,-29.3022,4.48025
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.8,-4.01136,"GPX_Staphylococcus-aureus",-4.01136,-0.142014,-0.812247,-0,-1.44715,-12.5485,-18.4295,1.7819,0,-40.4622,-30.978,9.72526
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.8,-4.03054,"GPX_Staphylococcus-aureus",-4.03054,-0.201283,-0.694569,-0,-1.51208,-15.5274,-16.9637,1.7819,-0.0835895,-40.26,-32.491,13.1455
