SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.91,-4.372,"GPX_Gossypium-hirsutum",-4.372,-0.253657,-0.974912,-0,-1.52331,-16.2398,-16.6397,1.7819,-0.0940827,-45.7286,-32.8795,5.84024
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.92,-4.8598,"GPX_Gossypium-hirsutum",-4.8598,-0.134108,-1.48201,-0,-1.42177,-15.405,-18.051,1.7819,-0.125919,-44.7861,-33.4559,12.3943
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.92,-4.2715,"GPX_Gossypium-hirsutum",-4.2715,-0.258868,-0.982229,-0,-1.53218,-15.8829,-16.0997,1.7819,-0.071026,-44.3228,-31.9826,6.1334
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.92,-4.68663,"GPX_Gossypium-hirsutum",-4.68663,-0.195804,-1.52092,-0,-1.3812,-13.9699,-17.0288,1.7819,-0.117797,-44.2527,-30.9987,7.3005
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.92,-4.30229,"GPX_Gossypium-hirsutum",-4.30229,-0.193781,-1.23753,-0,-1.35373,-16.4901,-15.7973,1.7819,-0.105053,-43.9732,-32.2874,7.64382
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.92,-4.60442,"GPX_Gossypium-hirsutum",-4.60442,-0.116674,-1.36412,-0,-1.41369,-13.2869,-17.9848,1.7819,-0.129771,-43.7653,-31.2717,8.22713
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.92,-4.50947,"GPX_Gossypium-hirsutum",-4.50947,-0.133556,-1.24885,-0,-1.42436,-15.9423,-17.0057,1.7819,-0.13663,-43.7081,-32.948,10.9858
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.92,-4.36241,"GPX_Gossypium-hirsutum",-4.36241,-0.257955,-0.975772,-0,-1.52155,-16.1882,-16.5704,1.7819,-0.0940619,-43.5246,-32.7586,9.9377
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.93,-4.10786,"GPX_Gossypium-hirsutum",-4.10786,-0.190633,-0.846706,-0,-1.48462,-15.2805,-16.5575,1.7819,-0.120155,-43.2031,-31.838,6.90303
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.93,-4.44899,"GPX_Gossypium-hirsutum",-4.44899,-0.135294,-1.25275,-0,-1.38109,-13.0221,-17.8702,1.7819,-0.130127,-43.1771,-30.8923,7.52476
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.93,-4.36161,"GPX_Gossypium-hirsutum",-4.36161,-0.149841,-1.42967,-0,-1.34992,-13.5913,-16.1381,1.7819,-0.113802,-43.0136,-29.7294,4.89496
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.93,-4.13898,"GPX_Gossypium-hirsutum",-4.13898,-0.197622,-0.901446,-0,-1.46643,-15.3693,-16.4646,1.7819,-0.117229,-42.6579,-31.8339,8.21004
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.93,-4.14697,"GPX_Gossypium-hirsutum",-4.14697,-0.106884,-0.907968,-0,-1.39898,-15.6115,-17.5316,1.7819,-0.104729,-42.5698,-33.1431,11.062
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.93,-4.33955,"GPX_Gossypium-hirsutum",-4.33955,-0.197604,-1.36614,-0,-1.35594,-13.3386,-16.1669,1.7819,-0.109799,-42.4519,-29.5055,5.41199
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.93,-4.02034,"GPX_Gossypium-hirsutum",-4.02034,-0.164801,-0.945365,-0,-1.49187,-16.5116,-15.1365,1.7819,-0.104151,-42.4224,-31.6481,7.45354
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.93,-4.61484,"GPX_Gossypium-hirsutum",-4.61484,-0.117166,-1.38779,-0,-1.45211,-13.8919,-17.3392,1.7819,-0.1442,-42.4121,-31.2311,10.9287
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.94,-4.39984,"GPX_Gossypium-hirsutum",-4.39984,-0.128918,-1.25114,-0,-1.38902,-13.4917,-17.3279,1.7819,-0.13889,-42.2296,-30.8197,8.91985
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.94,-4.31855,"GPX_Gossypium-hirsutum",-4.31855,-0.122348,-1.22904,-0,-1.3948,-13.5425,-16.9609,1.7819,-0.133009,-41.5278,-30.5034,9.10223
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.94,-3.94946,"GPX_Gossypium-hirsutum",-3.94946,-0.196586,-0.789209,-0,-1.43796,-14.2961,-16.4408,1.7819,-0.126682,-41.4993,-30.7369,6.966
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.94,-4.03078,"GPX_Gossypium-hirsutum",-4.03078,-0.166469,-0.944222,-0,-1.4935,-16.7158,-15.1262,1.7819,-0.103769,-41.2665,-31.842,10.2285
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.94,-4.07108,"GPX_Gossypium-hirsutum",-4.07108,-0.194443,-0.809899,-0,-1.4868,-15.5277,-16.446,1.7819,-0.118566,-41.2028,-31.9736,10.9098
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.94,-4.37245,"GPX_Gossypium-hirsutum",-4.37245,-0.0850342,-1.26678,-0,-1.35265,-12.9172,-18.1596,1.7819,-0.0800945,-41.1961,-31.0767,11.2996
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.95,-3.90481,"GPX_Gossypium-hirsutum",-3.90481,-0.209354,-0.772213,-0,-1.46029,-13.6616,-16.3402,1.7819,-0.110741,-41.0766,-30.0018,6.01629
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.95,-3.80761,"GPX_Gossypium-hirsutum",-3.80761,-0.00595978,-0.926565,-0,-1.51531,-14.3157,-15.6472,1.7819,-0.0788201,-40.856,-29.9629,5.68105
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.95,-4.36819,"GPX_Gossypium-hirsutum",-4.36819,-0.15484,-1.31569,-0,-1.43369,-14.5717,-16.0183,1.7819,-0.114542,-40.654,-30.59,11.3816
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.95,-4.06119,"GPX_Gossypium-hirsutum",-4.06119,-0.205849,-0.964025,-0,-1.44387,-13.7501,-16.273,1.7819,-0.100897,-40.4356,-30.0231,8.47146
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.95,-4.11883,"GPX_Gossypium-hirsutum",-4.11883,-0.151562,-1.10413,-0,-1.56661,-14.4646,-14.9044,1.7819,-0.119535,-40.1884,-29.3691,8.07349
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.95,-4.47304,"GPX_Gossypium-hirsutum",-4.47304,-0.174749,-1.45296,-0,-1.36012,-13.8391,-16.4351,1.7819,-0.109904,-40.1037,-30.2742,12.594
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.95,-3.99985,"GPX_Gossypium-hirsutum",-3.99985,-0.135373,-1.14134,-0,-1.37649,-11.5451,-16.467,1.7819,-0.0812447,-39.9388,-28.0121,4.99344
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.96,-3.89275,"GPX_Gossypium-hirsutum",-3.89275,-0.192015,-0.784212,-0,-1.46102,-13.6196,-16.2893,1.7819,-0.113036,-39.7508,-29.9089,8.39504
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.96,-4.39637,"GPX_Gossypium-hirsutum",-4.39637,-0.15746,-1.33333,-0,-1.34889,-13.0744,-17.1456,1.7819,-0.113038,-39.4104,-30.22,13.2468
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.96,-4.16856,"GPX_Gossypium-hirsutum",-4.16856,-0.299953,-0.853925,-0,-1.45552,-15.5008,-16.3035,1.7819,-0.120501,-39.3767,-31.8043,14.9265
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.96,-4.04894,"GPX_Gossypium-hirsutum",-4.04894,-0.1248,-1.14538,-0,-1.38849,-12.6597,-16.0709,1.7819,-0.128542,-39.3646,-28.7306,7.94014
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.96,-4.03622,"GPX_Gossypium-hirsutum",-4.03622,-0.192105,-0.95508,-0,-1.438,-13.1411,-16.4756,1.7819,-0.104544,-39.1669,-29.6167,10.0141
