#cluster size degeneracy contacts threshold density metric
0 4605 0 0.75 5.0000 1.0 -
1 2454 0 0.50 7.0000 1.0 -
2 114 0 0.65 5.0000 1.0 -
3 1030 0 0.30 7.0000 1.0 -
4 769 0 0.55 7.0000 1.0 -
5 564 0 0.30 7.0000 1.0 -
6 90 0 0.65 5.0000 1.0 -
7 131 0 0.45 7.0000 1.0 -
8 196 0 0.50 7.0000 1.0 -
9 99 0 0.45 7.0000 1.0 -
10 19 0 0.50 7.0000 1.0 -
11 16 0 0.40 7.0000 1.0 -
12 14 0 0.65 5.0000 1.0 -
13 30 0 0.70 5.0000 1.0 -
14 26 0 0.50 7.0000 1.0 -
15 45 0 0.20 7.0000 1.0 -
16 15 0 0.65 5.0000 1.0 -
17 1 0 0.20 7.0000 1.0 -
18 1 0 0.60 7.0000 1.0 -
