Protein,Ligand,Pose,A35SG-S1
GPX_Lactococcus-lactis,GSH,1,8.57583559933946
GPX_Lactococcus-lactis,GSH,2,8.685353825399515
GPX_Lactococcus-lactis,GSH,3,8.38662065315047
GPX_Lactococcus-lactis,GSH,4,8.86024757466607
GPX_Lactococcus-lactis,GSH,5,8.318904597291699
GPX_Lactococcus-lactis,GSH,6,7.280488564246015
GPX_Lactococcus-lactis,GSH,7,8.877408417117067
GPX_Lactococcus-lactis,GSH,8,8.466071509961274
GPX_Lactococcus-lactis,GSH,9,8.898622702820306
GPX_Lactococcus-lactis,GSH,10,10.4906357520483
GPX_Lactococcus-lactis,GSH,11,7.881076639203618
GPX_Lactococcus-lactis,GSH,12,5.6232119466602
GPX_Lactococcus-lactis,GSH,13,7.8488597595513845
GPX_Lactococcus-lactis,GSH,14,8.394036176885466
GPX_Lactococcus-lactis,GSH,15,8.456757813195138
GPX_Lactococcus-lactis,GSH,16,7.423409861712203
GPX_Lactococcus-lactis,GSH,17,7.441342253815571
GPX_Lactococcus-lactis,GSH,18,8.258948018379884
GPX_Lactococcus-lactis,GSH,19,7.399897764653035
GPX_Lactococcus-lactis,GSH,20,9.328268411169404
GPX_Lactococcus-lactis,GSH,21,9.166771329227645
GPX_Lactococcus-lactis,GSH,22,8.914103580995734
GPX_Lactococcus-lactis,GSH,23,10.368417969265561
GPX_Lactococcus-lactis,GSH,24,8.298143084701481
GPX_Lactococcus-lactis,GSH,25,7.857747700752106
GPX_Lactococcus-lactis,GSH,26,10.040940366264655
GPX_Lactococcus-lactis,GSH,27,9.341013476118638
GPX_Lactococcus-lactis,GSH,28,7.8161080837261325
GPX_Lactococcus-lactis,GSH,29,6.359292632717101
GPX_Lactococcus-lactis,GSH,30,7.584972742214832
GPX_Lactococcus-lactis,GSH,31,7.6537105151549865
GPX_Lactococcus-lactis,GSH,32,6.589498894614369
GPX_Lactococcus-lactis,GSH,33,10.463766432948987
GPX_Lactococcus-lactis,GSH,34,9.628887979023641
GPX_Lactococcus-lactis,GSH,35,8.869503819304942
GPX_Lactococcus-lactis,GSH,36,8.809409342145248
GPX_Lactococcus-lactis,GSH,37,9.569670247781215
GPX_Lactococcus-lactis,GSH,38,8.677661031893097
GPX_Lactococcus-lactis,GSH,39,9.19642432137551
GPX_Lactococcus-lactis,GSH,40,7.1000616398356
GPX_Lactococcus-lactis,GSH,41,7.754761820584368
GPX_Lactococcus-lactis,GSH,42,11.029001339145534
GPX_Lactococcus-lactis,GSH,43,9.195579159142996
GPX_Lactococcus-lactis,GSH,44,8.115783053523362
GPX_Lactococcus-lactis,GSH,45,10.071143723134378
GPX_Lactococcus-lactis,GSH,46,8.592146449276337
GPX_Lactococcus-lactis,GSH,47,8.998205611982257
GPX_Lactococcus-lactis,GSH,48,11.34578723222051
GPX_Lactococcus-lactis,GSH,49,9.753969813911768
GPX_Lactococcus-lactis,GSH,50,9.301250304382203
GPX_Lactococcus-lactis,GSH,51,10.816024393920115
GPX_Lactococcus-lactis,GSH,52,9.73620253306483
GPX_Lactococcus-lactis,GSH,53,9.21775120265507
GPX_Lactococcus-lactis,GSH,54,10.465972022051082
GPX_Lactococcus-lactis,GSH,55,9.9096367168482
GPX_Lactococcus-lactis,GSH,56,10.51200628355715
GPX_Lactococcus-lactis,GSH,57,9.241856056259584
GPX_Lactococcus-lactis,GSH,58,9.273483447231358
GPX_Lactococcus-lactis,GSH,59,7.985054625631121
GPX_Lactococcus-lactis,GSH,60,9.248871985861681
GPX_Lactococcus-lactis,GSH,61,8.856677407495996
GPX_Lactococcus-lactis,GSH,62,11.78921775244295
GPX_Lactococcus-lactis,GSH,63,11.832212561129088
GPX_Lactococcus-lactis,GSH,64,7.665328035956843
GPX_Lactococcus-lactis,GSH,65,9.685352341255841
GPX_Lactococcus-lactis,GSH,66,9.2378661287838
GPX_Lactococcus-lactis,GSH,67,6.7580201981933286
GPX_Lactococcus-lactis,GSH,68,10.703741225471633
GPX_Lactococcus-lactis,GSH,69,10.988863795637881
GPX_Lactococcus-lactis,GSH,70,8.810260563343743
GPX_Lactococcus-lactis,GSH,71,11.49856391980916
GPX_Lactococcus-lactis,GSH,72,10.84875367327759
GPX_Lactococcus-lactis,GSH,73,9.552431267775287
GPX_Lactococcus-lactis,GSH,74,9.679451693834368
GPX_Lactococcus-lactis,GSH,75,9.37430881553952
GPX_Lactococcus-lactis,GSH,76,8.57718926322866
GPX_Lactococcus-lactis,GSH,77,9.30253053215828
GPX_Lactococcus-lactis,GSH,78,9.854777329541749
GPX_Lactococcus-lactis,GSH,79,9.319662150499555
GPX_Lactococcus-lactis,GSH,80,8.61530872855558
GPX_Lactococcus-lactis,GSH,81,8.60964985390637
GPX_Lactococcus-lactis,GSH,82,7.631980373724371
GPX_Lactococcus-lactis,GSH,83,11.999232801941671
GPX_Lactococcus-lactis,GSH,84,9.037125810899504
GPX_Lactococcus-lactis,GSH,85,8.666615596326976
GPX_Lactococcus-lactis,GSH,86,9.85867084290149
GPX_Lactococcus-lactis,GSH,87,11.324838672577016
GPX_Lactococcus-lactis,GSH,88,10.332528502656357
GPX_Lactococcus-lactis,GSH,89,7.054478378601
GPX_Lactococcus-lactis,GSH,90,8.862318711612328
