SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.4,-3.94232,"GPX_Bacillus-subtilis",-3.94232,-0.482841,-0.350327,-0,-1.80212,-19.8215,-13.6744,1.7819,-0.0466949,-45.8364,-33.4959,2.37192
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.41,-3.83315,"GPX_Bacillus-subtilis",-3.83315,-0.467018,-0.420054,-0,-1.73227,-19.4511,-13.2393,1.7819,-0.0372695,-44.5781,-32.6904,2.50344
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.41,-3.52055,"GPX_Bacillus-subtilis",-3.52055,-0.494758,-0.259973,-0,-1.64221,-20.4454,-12.3142,1.7819,-0.0361085,-42.3971,-32.7596,4.88034
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.41,-3.70678,"GPX_Bacillus-subtilis",-3.70678,-0.459805,-0.390367,-0,-1.82409,-19.2499,-12.192,1.7819,-0.0231255,-40.1591,-31.4419,7.97927
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.42,-3.71274,"GPX_Bacillus-subtilis",-3.71274,-0.383635,-0.597141,-0,-1.65294,-15.983,-13.4703,1.7819,-0.0412448,-38.8102,-29.4532,6.75282
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.42,-4.19249,"GPX_Bacillus-subtilis",-4.19249,-0.255063,-1.03436,-0,-1.48206,-12.5714,-16.9039,1.7819,-0.0387596,-38.5349,-29.4753,10.6498
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.42,-3.66932,"GPX_Bacillus-subtilis",-3.66932,-0.287714,-0.803781,-0,-1.59634,-14.6116,-13.1583,1.7819,-0.0590644,-37.8839,-27.7699,4.94856
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.42,-3.23808,"GPX_Bacillus-subtilis",-3.23808,-0.351474,-0.637496,-0,-1.47822,-17.6616,-10.7779,1.7819,-0.0530303,-37.5661,-28.4395,3.9671
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.43,-3.92602,"GPX_Bacillus-subtilis",-3.92602,-0.220115,-0.924548,-0,-1.72404,-14.3363,-13.8171,1.7819,-0.0498369,-37.5192,-28.1534,8.20813
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.43,-3.39843,"GPX_Bacillus-subtilis",-3.39843,-0.208972,-0.643607,-0,-1.73159,-16.4271,-11.4506,1.7819,-0.057212,-37.5098,-27.8777,4.00942
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.43,-3.86405,"GPX_Bacillus-subtilis",-3.86405,-0.320932,-0.779384,-0,-1.58978,-15.5409,-14.2165,1.7819,-0.0463392,-37.4199,-29.7574,11.1704
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.43,-3.68096,"GPX_Bacillus-subtilis",-3.68096,-0.233719,-0.869449,-0,-1.47828,-14.3488,-14.1005,1.7819,-0.0488961,-36.4994,-28.4493,9.15907
