SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.44,-4.01843,"GPX_Lactococcus-lactis",-4.01843,-0.320775,-0.563024,-0,-1.59594,-15.352,-16.5092,1.7819,-0.076611,-42.9802,-31.8612,6.57565
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.44,-3.99332,"GPX_Lactococcus-lactis",-3.99332,-0.317334,-0.56087,-0,-1.58535,-15.3436,-16.451,1.7819,-0.0768478,-42.9532,-31.7945,6.31351
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.44,-4.1356,"GPX_Lactococcus-lactis",-4.1356,-0.31537,-0.557154,-0,-1.71962,-15.9768,-16.3546,1.7819,-0.0733183,-42.5579,-32.3314,9.20268
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.44,-4.2258,"GPX_Lactococcus-lactis",-4.2258,-0.312619,-0.527778,-0,-1.69908,-14.7335,-17.6444,1.7819,-0.0848777,-42.4262,-32.3779,10.2068
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.44,-4.04047,"GPX_Lactococcus-lactis",-4.04047,-0.278914,-0.577843,-0,-1.65453,-14.2837,-16.8359,1.7819,-0.07151,-41.9838,-31.1196,7.23446
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.44,-3.76217,"GPX_Lactococcus-lactis",-3.76217,-0.283228,-0.613411,-0,-1.48144,-15.5683,-15.6089,1.7819,-0.0462372,-41.549,-31.1773,6.23214
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.45,-3.61145,"GPX_Lactococcus-lactis",-3.61145,-0.524437,-0.318631,-0,-1.90324,-19.4351,-10.8559,1.7819,-0.0468973,-41.1275,-30.291,4.21433
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.45,-4.01523,"GPX_Lactococcus-lactis",-4.01523,-0.260447,-0.495627,-0,-1.71604,-15.0713,-16.5918,1.7819,-0.0826828,-40.8445,-31.6631,10.431
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.45,-3.71555,"GPX_Lactococcus-lactis",-3.71555,-0.180087,-0.549047,-0,-1.63033,-13.5888,-15.7968,1.7819,-0.0890231,-40.7511,-29.3856,3.91369
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.45,-3.70751,"GPX_Lactococcus-lactis",-3.70751,-0.363986,-0.485435,-0,-1.93328,-19.0964,-11.4426,1.7819,-0.035489,-40.4682,-30.539,6.72793
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.45,-4.00237,"GPX_Lactococcus-lactis",-4.00237,-0.691754,-0.541878,-0,-1.83179,-21.1012,-10.9663,1.7819,-0.0188509,-40.2355,-32.0675,12.3655
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.45,-3.83863,"GPX_Lactococcus-lactis",-3.83863,-0.0545459,-0.928509,-0,-1.34636,-12.0588,-17.1213,1.7819,-0.119992,-38.9641,-29.1801,7.95598
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.45,-3.39846,"GPX_Lactococcus-lactis",-3.39846,-0.32903,-0.638269,-0,-1.60262,-17.3203,-11.2713,1.7819,-0.0537283,-38.7391,-28.5916,4.07582
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.46,-3.44498,"GPX_Lactococcus-lactis",-3.44498,-0.0294078,-0.717112,-0,-1.38369,-12.7764,-15.8362,1.7819,-0.0824314,-38.6509,-28.6125,4.62743
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.46,-3.34287,"GPX_Lactococcus-lactis",-3.34287,-0.422441,-0.469626,-0,-1.95692,-19.9525,-8.43326,1.7819,-0.0131619,-38.5187,-28.3858,3.70495
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.46,-3.34876,"GPX_Lactococcus-lactis",-3.34876,-0.119358,-0.476389,-0,-1.56311,-14.1822,-14.8066,1.7819,-0.0417016,-38.4918,-28.9889,5.00388
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.46,-3.27963,"GPX_Lactococcus-lactis",-3.27963,-0.296468,-0.545431,-0,-1.64077,-17.7923,-10.9069,1.7819,-0.053203,-38.4784,-28.6993,3.96035
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.46,-3.72563,"GPX_Lactococcus-lactis",-3.72563,-0.261951,-0.878236,-0,-1.35529,-13.0224,-15.3997,1.7819,-0.050971,-38.4093,-28.4221,6.74228
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.46,-3.42314,"GPX_Lactococcus-lactis",-3.42314,-0.0532609,-0.459662,-0,-1.54491,-15.4882,-15.3908,1.7819,-0.0641836,-38.3154,-30.8789,9.67226
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.46,-3.70186,"GPX_Lactococcus-lactis",-3.70186,-0.1112,-0.561772,-0,-1.5385,-11.6855,-17.3506,1.7819,-0.0854217,-38.2976,-29.0361,8.02056
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.47,-3.44562,"GPX_Lactococcus-lactis",-3.44562,-0.436622,-0.653063,-0,-1.57194,-18.1454,-10.6994,1.7819,-0.0537136,-37.776,-28.8448,6.8465
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.47,-3.37216,"GPX_Lactococcus-lactis",-3.37216,-0.26234,-0.643534,-0,-1.45709,-15.8751,-12.7913,1.7819,-0.0786566,-37.7425,-28.6663,6.01764
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.47,-3.44573,"GPX_Lactococcus-lactis",-3.44573,-0.186355,-0.820954,-0,-1.39234,-12.661,-14.1823,1.7819,-0.0675853,-37.5183,-26.8433,3.35869
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.47,-3.28529,"GPX_Lactococcus-lactis",-3.28529,-0.351654,-0.262716,-0,-1.76883,-16.5582,-12.2861,1.7819,-0.013164,-37.4541,-28.8443,6.33821
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.47,-3.42469,"GPX_Lactococcus-lactis",-3.42469,-0.260223,-0.527995,-0,-1.45175,-14.6951,-14.0667,1.7819,-0.12187,-37.357,-28.7618,7.36067
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,26.47,-3.36766,"GPX_Lactococcus-lactis",-3.36766,-0.37909,-0.567747,-0,-1.7838,-18.6862,-9.77747,1.7819,-0.0179996,-37.245,-28.4637,6.58603
