SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,31.81,-5.85144,"GPX_Neisseria-meningitidis",-5.85144,-0.823624,-0.406475,-0,-2.49758,-21.5786,-14.6975,1.24733,-0.087529,-55.101,-36.2761,9.19046
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,31.81,-6.08384,"GPX_Neisseria-meningitidis",-6.08384,-1.02975,-0.507138,-0,-2.63905,-21.8489,-13.3073,1.24733,-0.0666954,-54.4601,-35.1562,9.93644
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,31.81,-5.88342,"GPX_Neisseria-meningitidis",-5.88342,-0.824006,-0.445071,-0,-2.47975,-21.411,-14.8345,1.24733,-0.0861969,-54.2269,-36.2455,11.1365
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,31.81,-5.8179,"GPX_Neisseria-meningitidis",-5.8179,-0.652586,-0.545504,-0,-2.3651,-20.0271,-16.0541,1.24733,-0.0925765,-53.2676,-36.0812,12.1994
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,31.81,-5.95305,"GPX_Neisseria-meningitidis",-5.95305,-0.612146,-0.539143,-0,-2.49112,-20.9512,-16.1127,1.24733,-0.0935157,-53.0057,-37.0638,15.7723
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,31.82,-5.58496,"GPX_Neisseria-meningitidis",-5.58496,-0.897019,-0.295013,-0,-2.62537,-23.3228,-11.9067,1.24733,-0.0627409,-51.0445,-35.2295,13.0289
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,31.82,-5.73307,"GPX_Neisseria-meningitidis",-5.73307,-0.619975,-0.510086,-0,-2.39674,-20.1293,-15.7075,1.24733,-0.0910166,-50.5497,-35.8368,16.4618
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,31.82,-5.58436,"GPX_Neisseria-meningitidis",-5.58436,-0.813456,-0.476602,-0,-2.51749,-19.631,-13.005,1.24733,-0.0918335,-48.2268,-32.636,13.5215
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,31.82,-4.17027,"GPX_Neisseria-meningitidis",-4.17027,-0.936784,-0.509105,-0,-2.08834,-24.7987,-7.54615,1.7819,-0.0460822,-47.429,-32.3449,3.19593
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,31.83,-4.59602,"GPX_Neisseria-meningitidis",-4.59602,-0.922833,-0.755299,-0,-2.03627,-23.0388,-9.87069,1.7819,-0.0309729,-47.2577,-32.9095,8.07059
