#cluster size degeneracy contacts threshold density metric
0 464 0 1.10 2.0000 1.0 -
1 4222 0 0.95 5.0000 1.0 -
2 1259 0 1.00 5.0000 1.0 -
3 842 0 0.65 5.0000 1.0 -
4 1004 0 0.75 5.0000 1.0 -
5 469 0 0.65 5.0000 1.0 -
6 1407 0 0.55 7.0000 1.0 -
7 290 0 0.85 5.0000 1.0 -
8 542 0 0.60 7.0000 1.0 -
9 468 0 0.60 7.0000 1.0 -
10 330 0 0.40 7.0000 1.0 -
11 143 0 0.40 7.0000 1.0 -
12 67 0 0.50 7.0000 1.0 -
13 2 0 0.45 7.0000 1.0 -
14 21 0 0.60 7.0000 1.0 -
15 1 0 0.35 7.0000 1.0 -
16 3 0 1.20 2.0000 1.0 -
