Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step
GPX_Neisseria,meningitidis@GSH,0,1,0,0
GPX_Neisseria,meningitidis@GSH,0,1,1,1
GPX_Neisseria,meningitidis@GSH,0,2,0,0
GPX_Neisseria,meningitidis@GSH,0,2,1,1
GPX_Neisseria,meningitidis@GSH,0,3,0,0
GPX_Neisseria,meningitidis@GSH,0,3,1,1
GPX_Neisseria,meningitidis@GSH,0,4,0,0
GPX_Neisseria,meningitidis@GSH,0,4,1,1
GPX_Neisseria,meningitidis@GSH,0,5,0,0
GPX_Neisseria,meningitidis@GSH,0,5,1,1
GPX_Neisseria,meningitidis@GSH,0,6,0,0
GPX_Neisseria,meningitidis@GSH,0,6,1,1
GPX_Neisseria,meningitidis@GSH,0,7,0,0
GPX_Neisseria,meningitidis@GSH,0,7,1,1
GPX_Neisseria,meningitidis@GSH,0,8,0,0
GPX_Neisseria,meningitidis@GSH,0,8,1,1
GPX_Neisseria,meningitidis@GSH,0,9,0,0
GPX_Neisseria,meningitidis@GSH,0,9,1,1
GPX_Neisseria,meningitidis@GSH,0,10,0,0
GPX_Neisseria,meningitidis@GSH,0,10,1,1
GPX_Neisseria,meningitidis@GSH,0,11,0,0
GPX_Neisseria,meningitidis@GSH,0,11,1,1
GPX_Neisseria,meningitidis@GSH,0,12,0,0
GPX_Neisseria,meningitidis@GSH,0,12,1,1
GPX_Neisseria,meningitidis@GSH,0,13,0,0
GPX_Neisseria,meningitidis@GSH,0,13,1,1
GPX_Neisseria,meningitidis@GSH,0,14,0,0
GPX_Neisseria,meningitidis@GSH,0,15,0,0
GPX_Neisseria,meningitidis@GSH,0,15,1,1
GPX_Neisseria,meningitidis@GSH,0,16,0,0
GPX_Neisseria,meningitidis@GSH,0,16,1,1
GPX_Neisseria,meningitidis@GSH,0,17,0,0
GPX_Neisseria,meningitidis@GSH,0,17,1,1
GPX_Neisseria,meningitidis@GSH,0,18,0,0
GPX_Neisseria,meningitidis@GSH,0,18,1,1
GPX_Neisseria,meningitidis@GSH,0,19,0,0
GPX_Neisseria,meningitidis@GSH,0,19,1,1
GPX_Neisseria,meningitidis@GSH,0,20,0,0
GPX_Neisseria,meningitidis@GSH,0,20,1,1
GPX_Neisseria,meningitidis@GSH,0,21,0,0
GPX_Neisseria,meningitidis@GSH,0,21,1,1
GPX_Neisseria,meningitidis@GSH,0,22,0,0
GPX_Neisseria,meningitidis@GSH,0,22,1,1
GPX_Neisseria,meningitidis@GSH,0,23,0,0
GPX_Neisseria,meningitidis@GSH,0,23,1,1
GPX_Neisseria,meningitidis@GSH,0,24,0,0
GPX_Neisseria,meningitidis@GSH,0,24,1,1
GPX_Neisseria,meningitidis@GSH,0,25,0,0
GPX_Neisseria,meningitidis@GSH,0,25,1,1
GPX_Neisseria,meningitidis@GSH,0,26,0,0
GPX_Neisseria,meningitidis@GSH,0,26,1,1
GPX_Neisseria,meningitidis@GSH,0,27,0,0
GPX_Neisseria,meningitidis@GSH,0,27,1,1
GPX_Neisseria,meningitidis@GSH,0,28,0,0
GPX_Neisseria,meningitidis@GSH,0,28,1,1
GPX_Neisseria,meningitidis@GSH,0,29,0,0
GPX_Neisseria,meningitidis@GSH,0,29,1,1
GPX_Neisseria,meningitidis@GSH,0,30,0,0
GPX_Neisseria,meningitidis@GSH,0,30,1,1
GPX_Neisseria,meningitidis@GSH,0,31,0,0
GPX_Neisseria,meningitidis@GSH,0,31,1,1
GPX_Neisseria,meningitidis@GSH,0,32,0,0
GPX_Neisseria,meningitidis@GSH,0,32,1,1
GPX_Neisseria,meningitidis@GSH,0,33,0,0
