Protein,Ligand,Epoch,Trajectory,Accepted Pele Steps,Step,Total Energy,Binding Energy,Ligand SASA
GPX_Staphylococcus,aureus@GSH,0,1,0,0,-6490.7,-12.2142,0.490377
GPX_Staphylococcus,aureus@GSH,0,1,1,1,-6510.95,-13.3112,0.497162
GPX_Staphylococcus,aureus@GSH,0,2,0,0,-6492.91,-13.9809,0.490405
GPX_Staphylococcus,aureus@GSH,0,2,1,1,-6514.02,-14.3628,0.492025
GPX_Staphylococcus,aureus@GSH,0,3,0,0,-6485.66,-9.8286,0.495102
GPX_Staphylococcus,aureus@GSH,0,3,1,1,-6510.71,-11.0743,0.499006
GPX_Staphylococcus,aureus@GSH,0,4,0,0,-6500.06,-12.7149,0.489984
GPX_Staphylococcus,aureus@GSH,0,4,1,1,-6521.99,-15.54,0.491742
GPX_Staphylococcus,aureus@GSH,0,5,0,0,-6502.34,-12.2015,0.490016
GPX_Staphylococcus,aureus@GSH,0,5,1,1,-6524.71,-14.3168,0.491104
GPX_Staphylococcus,aureus@GSH,0,6,0,0,-6498.18,-6.99948,0.491427
GPX_Staphylococcus,aureus@GSH,0,6,1,1,-6513.7,-6.86302,0.490868
GPX_Staphylococcus,aureus@GSH,0,7,0,0,-6494.66,-10.9547,0.488325
GPX_Staphylococcus,aureus@GSH,0,7,1,1,-6515.56,-11.7186,0.488962
GPX_Staphylococcus,aureus@GSH,0,8,0,0,-6494.65,-9.73872,0.494474
GPX_Staphylococcus,aureus@GSH,0,8,1,1,-6523.29,-10.8521,0.496139
GPX_Staphylococcus,aureus@GSH,0,9,0,0,-6488.19,-9.9798,0.495858
GPX_Staphylococcus,aureus@GSH,0,9,1,1,-6511.47,-11.3976,0.495578
GPX_Staphylococcus,aureus@GSH,0,10,0,0,-6482.52,-9.1706,0.492261
GPX_Staphylococcus,aureus@GSH,0,10,1,1,-6505.88,-10.1898,0.493918
GPX_Staphylococcus,aureus@GSH,0,11,0,0,-6498.93,-10.1097,0.494134
GPX_Staphylococcus,aureus@GSH,0,11,1,1,-6521.84,-13.1398,0.488929
GPX_Staphylococcus,aureus@GSH,0,12,0,0,-6495.76,-13.2228,0.490208
GPX_Staphylococcus,aureus@GSH,0,12,1,1,-6518.7,-14.4079,0.490023
GPX_Staphylococcus,aureus@GSH,0,13,0,0,-6502.8,-13.0234,0.495673
GPX_Staphylococcus,aureus@GSH,0,13,1,1,-6524.07,-13.049,0.494152
GPX_Staphylococcus,aureus@GSH,0,14,0,0,-6497.89,-8.59966,0.490043
GPX_Staphylococcus,aureus@GSH,0,14,1,1,-6518.86,-9.48893,0.490986
GPX_Staphylococcus,aureus@GSH,0,15,0,0,-6480.06,-8.24615,0.474352
GPX_Staphylococcus,aureus@GSH,0,15,1,1,-6505.74,-11.2099,0.468858
GPX_Staphylococcus,aureus@GSH,0,16,0,0,-6488.73,-11.2867,0.496212
GPX_Staphylococcus,aureus@GSH,0,16,1,1,-6510.72,-14.2587,0.496013
GPX_Staphylococcus,aureus@GSH,0,17,0,0,-6499.36,-14.0664,0.489903
GPX_Staphylococcus,aureus@GSH,0,17,1,1,-6517.53,-13.5971,0.490515
GPX_Staphylococcus,aureus@GSH,0,18,0,0,-6491.67,-10.4257,0.495235
GPX_Staphylococcus,aureus@GSH,0,18,1,1,-6517.02,-13.5176,0.4895
GPX_Staphylococcus,aureus@GSH,0,19,0,0,-6496.33,-12.6986,0.492179
GPX_Staphylococcus,aureus@GSH,0,19,1,1,-6518.52,-11.8184,0.494853
GPX_Staphylococcus,aureus@GSH,0,20,0,0,-6488.81,-4.05442,0.469294
GPX_Staphylococcus,aureus@GSH,0,20,1,1,-6511.18,-5.98677,0.469385
GPX_Staphylococcus,aureus@GSH,0,21,0,0,-6491.56,-9.45971,0.491425
GPX_Staphylococcus,aureus@GSH,0,21,1,1,-6515.08,-10.4058,0.490379
GPX_Staphylococcus,aureus@GSH,0,22,0,0,-6493.86,-14.5318,0.489887
GPX_Staphylococcus,aureus@GSH,0,22,1,1,-6516.81,-15.0988,0.488977
GPX_Staphylococcus,aureus@GSH,0,23,0,0,-6495.92,-3.63265,0.471877
GPX_Staphylococcus,aureus@GSH,0,23,1,1,-6517.33,-9.92649,0.470303
GPX_Staphylococcus,aureus@GSH,0,24,0,0,-6488.64,-10.0763,0.493299
GPX_Staphylococcus,aureus@GSH,0,24,1,1,-6513.23,-11.1519,0.492106
GPX_Staphylococcus,aureus@GSH,0,25,0,0,-6490.57,-9.4282,0.466813
GPX_Staphylococcus,aureus@GSH,0,25,1,1,-6516.17,-9.43477,0.467728
GPX_Staphylococcus,aureus@GSH,0,26,0,0,-6496.12,-12.0579,0.495391
GPX_Staphylococcus,aureus@GSH,0,26,1,1,-6519.86,-12.9302,0.496132
GPX_Staphylococcus,aureus@GSH,0,27,0,0,-6495.25,-5.05766,0.517788
GPX_Staphylococcus,aureus@GSH,0,27,1,1,-6521.25,-5.14144,0.518512
GPX_Staphylococcus,aureus@GSH,0,28,0,0,-6477.87,-3.53555,0.483591
GPX_Staphylococcus,aureus@GSH,0,28,1,1,-6501.93,-4.62058,0.482522
GPX_Staphylococcus,aureus@GSH,0,29,0,0,-6504.08,-12.4872,0.493121
GPX_Staphylococcus,aureus@GSH,0,29,1,1,-6529.0,-12.5321,0.495376
GPX_Staphylococcus,aureus@GSH,0,30,0,0,-6489.97,-9.39556,0.486147
GPX_Staphylococcus,aureus@GSH,0,30,1,1,-6505.54,-11.1971,0.488305
GPX_Staphylococcus,aureus@GSH,0,31,0,0,-6489.3,-10.8118,0.492859
GPX_Staphylococcus,aureus@GSH,0,31,1,1,-6510.31,-12.1149,0.491402
GPX_Staphylococcus,aureus@GSH,0,32,0,0,-6498.31,-6.47093,0.518266
GPX_Staphylococcus,aureus@GSH,0,32,1,1,-6519.69,-6.99694,0.514676
GPX_Staphylococcus,aureus@GSH,0,33,0,0,-6488.92,-11.8533,0.494368
GPX_Staphylococcus,aureus@GSH,0,33,1,1,-6511.49,-11.1026,0.494873
GPX_Staphylococcus,aureus@GSH,0,34,0,0,-6502.8,-10.3164,0.49025
GPX_Staphylococcus,aureus@GSH,0,34,1,1,-6527.54,-11.7469,0.489584
GPX_Staphylococcus,aureus@GSH,0,35,0,0,-6490.08,-13.9541,0.491326
GPX_Staphylococcus,aureus@GSH,0,35,1,1,-6511.66,-14.4803,0.489765
GPX_Staphylococcus,aureus@GSH,0,36,0,0,-6500.35,-12.4733,0.491588
GPX_Staphylococcus,aureus@GSH,0,36,1,1,-6525.85,-13.8287,0.492321
GPX_Staphylococcus,aureus@GSH,0,37,0,0,-6492.61,-5.83504,0.495389
GPX_Staphylococcus,aureus@GSH,0,37,1,1,-6517.38,-8.12816,0.491447
GPX_Staphylococcus,aureus@GSH,0,38,0,0,-6489.18,-10.4594,0.490798
GPX_Staphylococcus,aureus@GSH,0,38,1,1,-6514.66,-12.8356,0.49142
GPX_Staphylococcus,aureus@GSH,0,39,0,0,-6492.53,-10.0251,0.488659
GPX_Staphylococcus,aureus@GSH,0,39,1,1,-6514.97,-11.057,0.489901
GPX_Staphylococcus,aureus@GSH,0,40,0,0,-6495.13,-17.9785,0.490947
GPX_Staphylococcus,aureus@GSH,0,40,1,1,-6519.19,-20.198,0.491209
GPX_Staphylococcus,aureus@GSH,0,41,0,0,-6493.34,-15.571,0.50491
GPX_Staphylococcus,aureus@GSH,0,41,1,1,-6505.58,-8.51954,0.497416
GPX_Staphylococcus,aureus@GSH,0,42,0,0,-6491.92,-15.2192,0.477972
GPX_Staphylococcus,aureus@GSH,0,42,1,1,-6515.95,-16.6771,0.478372
GPX_Staphylococcus,aureus@GSH,0,43,0,0,-6504.68,-11.472,0.489316
GPX_Staphylococcus,aureus@GSH,0,43,1,1,-6528.41,-12.5948,0.488078
GPX_Staphylococcus,aureus@GSH,0,44,0,0,-6496.49,-10.723,0.493923
GPX_Staphylococcus,aureus@GSH,0,44,1,1,-6520.85,-11.3076,0.494605
GPX_Staphylococcus,aureus@GSH,0,45,0,0,-6485.12,-2.47858,0.492847
GPX_Staphylococcus,aureus@GSH,0,45,1,1,-6511.02,-5.70907,0.47657
GPX_Staphylococcus,aureus@GSH,0,46,0,0,-6498.48,-10.25,0.492746
GPX_Staphylococcus,aureus@GSH,0,46,1,1,-6521.11,-12.635,0.497813
GPX_Staphylococcus,aureus@GSH,0,47,0,0,-6486.91,-12.2657,0.481361
GPX_Staphylococcus,aureus@GSH,0,47,1,1,-6501.69,-7.82357,0.471645
GPX_Staphylococcus,aureus@GSH,0,48,0,0,-6488.89,-11.7036,0.488089
GPX_Staphylococcus,aureus@GSH,0,48,1,1,-6508.15,-12.9802,0.495799
GPX_Staphylococcus,aureus@GSH,0,49,0,0,-6482.27,-11.7278,0.468283
GPX_Staphylococcus,aureus@GSH,0,49,1,1,-6504.89,-12.7203,0.469221
GPX_Staphylococcus,aureus@GSH,0,50,0,0,-6497.77,-15.3536,0.490929
GPX_Staphylococcus,aureus@GSH,0,50,1,1,-6525.14,-17.8424,0.490223
GPX_Staphylococcus,aureus@GSH,0,51,0,0,-6492.75,-10.3712,0.492327
GPX_Staphylococcus,aureus@GSH,0,51,1,1,-6513.6,-11.7807,0.488484
GPX_Staphylococcus,aureus@GSH,0,52,0,0,-6489.39,-10.8703,0.47189
GPX_Staphylococcus,aureus@GSH,0,52,1,1,-6512.92,-10.5614,0.517131
GPX_Staphylococcus,aureus@GSH,0,53,0,0,-6484.51,-9.84992,0.488052
GPX_Staphylococcus,aureus@GSH,0,53,1,1,-6511.34,-10.8038,0.486726
GPX_Staphylococcus,aureus@GSH,0,54,0,0,-6498.12,-10.692,0.48932
GPX_Staphylococcus,aureus@GSH,0,54,1,1,-6520.22,-13.3014,0.48861
GPX_Staphylococcus,aureus@GSH,0,55,0,0,-6491.04,-9.9033,0.495219
GPX_Staphylococcus,aureus@GSH,0,55,1,1,-6514.03,-9.50267,0.496765
GPX_Staphylococcus,aureus@GSH,0,56,0,0,-6493.54,-2.15239,0.471655
GPX_Staphylococcus,aureus@GSH,0,56,1,1,-6518.07,-3.30417,0.471154
GPX_Staphylococcus,aureus@GSH,0,57,0,0,-6488.72,-12.3244,0.489393
GPX_Staphylococcus,aureus@GSH,0,57,1,1,-6512.1,-15.5494,0.486467
GPX_Staphylococcus,aureus@GSH,0,58,0,0,-6493.35,-12.6077,0.495161
GPX_Staphylococcus,aureus@GSH,0,58,1,1,-6514.52,-10.8016,0.492069
GPX_Staphylococcus,aureus@GSH,0,59,0,0,-6489.94,-9.67606,0.495954
GPX_Staphylococcus,aureus@GSH,0,59,1,1,-6506.26,-10.0632,0.496147
GPX_Staphylococcus,aureus@GSH,0,60,0,0,-6498.11,-12.4677,0.493859
GPX_Staphylococcus,aureus@GSH,0,60,1,1,-6520.38,-12.8247,0.495536
GPX_Staphylococcus,aureus@GSH,0,61,0,0,-6484.35,-9.56688,0.461503
GPX_Staphylococcus,aureus@GSH,0,61,1,1,-6516.07,-11.4187,0.469831
GPX_Staphylococcus,aureus@GSH,0,62,0,0,-6491.7,-10.0518,0.489861
GPX_Staphylococcus,aureus@GSH,0,62,1,1,-6519.17,-10.408,0.495713
GPX_Staphylococcus,aureus@GSH,0,63,0,0,-6497.61,-11.6894,0.491009
GPX_Staphylococcus,aureus@GSH,0,63,1,1,-6521.54,-13.5709,0.490228
GPX_Staphylococcus,aureus@GSH,0,64,0,0,-6498.57,-11.3307,0.491066
GPX_Staphylococcus,aureus@GSH,0,64,1,1,-6522.94,-13.1931,0.489555
GPX_Staphylococcus,aureus@GSH,0,65,0,0,-6493.06,-13.06,0.489084
GPX_Staphylococcus,aureus@GSH,0,65,1,1,-6513.4,-11.3841,0.489666
GPX_Staphylococcus,aureus@GSH,0,66,0,0,-6495.6,-11.5185,0.485898
GPX_Staphylococcus,aureus@GSH,0,66,1,1,-6514.55,-12.4119,0.488807
GPX_Staphylococcus,aureus@GSH,0,67,0,0,-6491.71,-11.0801,0.494837
GPX_Staphylococcus,aureus@GSH,0,67,1,1,-6518.91,-10.6772,0.491327
GPX_Staphylococcus,aureus@GSH,0,68,0,0,-6492.58,-11.4769,0.490657
GPX_Staphylococcus,aureus@GSH,0,68,1,1,-6514.1,-12.6744,0.493445
GPX_Staphylococcus,aureus@GSH,0,69,0,0,-6490.23,-12.2512,0.49043
GPX_Staphylococcus,aureus@GSH,0,69,1,1,-6516.33,-12.4606,0.490094
GPX_Staphylococcus,aureus@GSH,0,70,0,0,-6487.88,-10.1763,0.494934
GPX_Staphylococcus,aureus@GSH,0,70,1,1,-6499.45,-14.3393,0.48918
GPX_Staphylococcus,aureus@GSH,0,71,0,0,-6493.92,-13.9355,0.495524
GPX_Staphylococcus,aureus@GSH,0,71,1,1,-6518.03,-17.9576,0.493095
GPX_Staphylococcus,aureus@GSH,0,72,0,0,-6494.23,-11.622,0.487071
GPX_Staphylococcus,aureus@GSH,0,72,1,1,-6521.64,-13.3965,0.488412
GPX_Staphylococcus,aureus@GSH,0,73,0,0,-6497.91,-6.92101,0.493889
GPX_Staphylococcus,aureus@GSH,0,73,1,1,-6523.76,-10.1288,0.496513
GPX_Staphylococcus,aureus@GSH,0,74,0,0,-6502.28,-9.45919,0.49822
GPX_Staphylococcus,aureus@GSH,0,74,1,1,-6527.59,-10.9242,0.495267
GPX_Staphylococcus,aureus@GSH,0,75,0,0,-6488.78,-13.9592,0.498444
GPX_Staphylococcus,aureus@GSH,0,75,1,1,-6514.18,-14.3137,0.489712
GPX_Staphylococcus,aureus@GSH,0,76,0,0,-6482.52,-11.4464,0.472186
GPX_Staphylococcus,aureus@GSH,0,76,1,1,-6514.1,-10.9049,0.482581
GPX_Staphylococcus,aureus@GSH,0,77,0,0,-6484.74,-2.09883,0.479349
GPX_Staphylococcus,aureus@GSH,0,77,1,1,-6507.54,-2.54832,0.481697
GPX_Staphylococcus,aureus@GSH,0,78,0,0,-6491.69,-9.80565,0.493714
GPX_Staphylococcus,aureus@GSH,0,78,1,1,-6517.01,-11.6953,0.495347
GPX_Staphylococcus,aureus@GSH,0,79,0,0,-6494.5,-4.47262,0.476357
GPX_Staphylococcus,aureus@GSH,0,79,1,1,-6519.69,-4.25686,0.471064
GPX_Staphylococcus,aureus@GSH,0,80,0,0,-6491.35,-18.0486,0.488863
